file,line,operator,before,after,mutant_id,paper_category
org/knowm/xchart/BitmapEncoder.java,269,NullifyReturnValue,return imageInBytes;,return null;,166,
org/knowm/xchart/BitmapEncoder.java,44,RelationalOperatorReplacement,if (fileName.length() <= newFileExtension.length(),if (fileName.length() < newFileExtension.length(),169,
org/knowm/xchart/BitmapEncoder.java,292,RelationalOperatorReplacement,for (int row = 0; row < rows; row++) {,for (int row = 0; row <= rows; row++) {,170,
org/knowm/xchart/BitmapEncoder.java,293,RelationalOperatorReplacement,for (int col = 0; col < cols; col++) {,for (int col = 0; col <= cols; col++) {,171,
org/knowm/xchart/CSVExporter.java,72,RelationalOperatorReplacement,for (int i = 1; i < seriesData.length; i++) {,for (int i = 1; i <= seriesData.length; i++) {,360,
org/knowm/xchart/CSVExporter.java,112,RelationalOperatorReplacement,for (int i = 0; i < xData.length; i++) {,for (int i = 0; i <= xData.length; i++) {,362,
org/knowm/xchart/CSVImporter.java,153,RelationalOperatorReplacement,if (dataArray.length > 2) {,if (dataArray.length >= 2) {,425,
org/knowm/xchart/CategoryChart.java,230,RelationalOperatorReplacement,for (int i = 1; i <= newYData.size(); i++) {,for (int i = 1; i < newYData.size(); i++) {,499,
org/knowm/xchart/DialChart.java,103,RelationalOperatorReplacement,if (value < 0 || value > 1) {,if (value <= 0 || value > 1) {,571,
org/knowm/xchart/DialChart.java,103,RelationalOperatorReplacement,if (value < 0 || value > 1) {,if (value < 0 || value >= 1) {,572,
org/knowm/xchart/HeatMapChart.java,183,RelationalOperatorReplacement,for (int i = 0; i < heatData.length; i++) {,for (int i = 0; i <= heatData.length; i++) {,641,
org/knowm/xchart/HeatMapChart.java,185,RelationalOperatorReplacement,for (int j = 0; j < array.length; j++) {,for (int j = 0; j <= array.length; j++) {,642,
org/knowm/xchart/HeatMapChart.java,225,RelationalOperatorReplacement,if (numbers[0].intValue() < 0 || numbers[1].intValue() < 0) {,if (numbers[0].intValue() <= 0 || numbers[1].intValue() < 0) {,654,
org/knowm/xchart/HeatMapChart.java,225,RelationalOperatorReplacement,if (numbers[0].intValue() < 0 || numbers[1].intValue() < 0) {,if (numbers[0].intValue() < 0 || numbers[1].intValue() <= 0) {,655,
org/knowm/xchart/HeatMapSeries.java,59,RelationalOperatorReplacement,if (min > number.doubleValue()) {,if (min >= number.doubleValue()) {,707,
org/knowm/xchart/HeatMapSeries.java,62,RelationalOperatorReplacement,if (max < number.doubleValue()) {,if (max <= number.doubleValue()) {,708,
org/knowm/xchart/Histogram.java,36,RelationalOperatorReplacement,if (value > tempMax) {,if (value >= tempMax) {,755,
org/knowm/xchart/Histogram.java,39,RelationalOperatorReplacement,if (value < tempMin) {,if (value <= tempMin) {,756,
