file,line,operator,before,after,mutant_id,paper_category
org/knowm/xchart/BitmapEncoder.java,293,RelationalOperatorReplacement,for (int col = 0; col < cols; col++) {,for (int col = 0; col >= cols; col++) {,82,
org/knowm/xchart/BitmapEncoder.java,292,RelationalOperatorReplacement,for (int row = 0; row < rows; row++) {,for (int row = 0; row >= rows; row++) {,83,
org/knowm/xchart/BitmapEncoder.java,44,RelationalOperatorReplacement,if (fileName.length() <= newFileExtension.length(),if (fileName.length() > newFileExtension.length(),84,
org/knowm/xchart/BoxChart.java,148,NullifyInputVariable,"public void paint(Graphics2D g, int width, int height) {","public void paint(Graphics2D g, int width, int height) { g = null;",1,
org/knowm/xchart/BubbleChart.java,213,NullifyInputVariable,"public void paint(Graphics2D g, int width, int height) {","public void paint(Graphics2D g, int width, int height) { g = null;",2,
org/knowm/xchart/CSVExporter.java,112,RelationalOperatorReplacement,for (int i = 0; i < xData.length; i++) {,for (int i = 0; i >= xData.length; i++) {,36,
org/knowm/xchart/CSVExporter.java,72,RelationalOperatorReplacement,for (int i = 1; i < seriesData.length; i++) {,for (int i = 1; i >= seriesData.length; i++) {,38,
org/knowm/xchart/CSVImporter.java,153,RelationalOperatorReplacement,if (dataArray.length > 2) {,if (dataArray.length <= 2) {,47,
org/knowm/xchart/CategoryChart.java,292,NullifyInputVariable,"public void paint(Graphics2D g, int width, int height) {","public void paint(Graphics2D g, int width, int height) { g = null;",3,
org/knowm/xchart/CategoryChart.java,230,RelationalOperatorReplacement,for (int i = 1; i <= newYData.size(); i++) {,for (int i = 1; i > newYData.size(); i++) {,65,
org/knowm/xchart/DialChart.java,103,RelationalOperatorReplacement,if (value < 0 || value > 1) {,if (value < 0 || value <= 1) {,17,
org/knowm/xchart/DialChart.java,103,RelationalOperatorReplacement,if (value < 0 || value > 1) {,if (value >= 0 || value > 1) {,18,
org/knowm/xchart/DialChart.java,109,NullifyInputVariable,"public void paint(Graphics2D g, int width, int height) {","public void paint(Graphics2D g, int width, int height) { g = null;",2,
org/knowm/xchart/HeatMapChart.java,225,RelationalOperatorReplacement,if (numbers[0].intValue() < 0 || numbers[1].intValue() < 0) {,if (numbers[0].intValue() < 0 || numbers[1].intValue() >= 0) {,50,
org/knowm/xchart/HeatMapChart.java,225,RelationalOperatorReplacement,if (numbers[0].intValue() < 0 || numbers[1].intValue() < 0) {,if (numbers[0].intValue() >= 0 || numbers[1].intValue() < 0) {,51,
org/knowm/xchart/HeatMapChart.java,185,RelationalOperatorReplacement,for (int j = 0; j < array.length; j++) {,for (int j = 0; j >= array.length; j++) {,63,
org/knowm/xchart/HeatMapChart.java,183,RelationalOperatorReplacement,for (int i = 0; i < heatData.length; i++) {,for (int i = 0; i >= heatData.length; i++) {,64,
org/knowm/xchart/HeatMapChart.java,149,NullifyInputVariable,"public void paint(Graphics2D g, int width, int height) {","public void paint(Graphics2D g, int width, int height) { g = null;",7,
org/knowm/xchart/HeatMapSeries.java,62,RelationalOperatorReplacement,if (max < number.doubleValue()) {,if (max >= number.doubleValue()) {,29,
org/knowm/xchart/HeatMapSeries.java,59,RelationalOperatorReplacement,if (min > number.doubleValue()) {,if (min <= number.doubleValue()) {,30,
org/knowm/xchart/Histogram.java,121,RelationalOperatorReplacement,for (int i = 0; i < numBins; i++) {,for (int i = 0; i >= numBins; i++) {,36,
org/knowm/xchart/Histogram.java,108,RelationalOperatorReplacement,if (bin < numBins) {,if (bin >= numBins) {,37,
org/knowm/xchart/Histogram.java,104,RelationalOperatorReplacement,if (doubleValue < min || doubleValue > max) {,if (doubleValue < min || doubleValue <= max) {,38,
org/knowm/xchart/Histogram.java,104,RelationalOperatorReplacement,if (doubleValue < min || doubleValue > max) {,if (doubleValue >= min || doubleValue > max) {,39,
org/knowm/xchart/Histogram.java,85,RelationalOperatorReplacement,if (numBins <= 0) {,if (numBins > 0) {,40,
org/knowm/xchart/Histogram.java,61,RelationalOperatorReplacement,if (max < min) {,if (max >= min) {,42,
org/knowm/xchart/Histogram.java,39,RelationalOperatorReplacement,if (value < tempMin) {,if (value >= tempMin) {,43,
org/knowm/xchart/Histogram.java,36,RelationalOperatorReplacement,if (value > tempMax) {,if (value <= tempMax) {,44,
org/knowm/xchart/OHLCChart.java,807,NullifyInputVariable,"public void paint(Graphics2D g, int width, int height) {","public void paint(Graphics2D g, int width, int height) { g = null;",7,
org/knowm/xchart/OHLCSeries.java,236,RelationalOperatorReplacement,if (!Double.isNaN(lows[i]) && lows[i] < min) {,if (!Double.isNaN(lows[i]) && lows[i] >= min) {,43,
org/knowm/xchart/OHLCSeries.java,233,RelationalOperatorReplacement,if (!Double.isNaN(highs[i]) && highs[i] > max) {,if (!Double.isNaN(highs[i]) && highs[i] <= max) {,44,
org/knowm/xchart/OHLCSeries.java,231,RelationalOperatorReplacement,for (int i = 0; i < highs.length; i++) {,for (int i = 0; i >= highs.length; i++) {,45,
org/knowm/xchart/PdfboxGraphicsEncoder.java,134,RelationalOperatorReplacement,if (fileName.length() <= PDF_FILE_EXTENSION.length(),if (fileName.length() > PDF_FILE_EXTENSION.length(),38,
org/knowm/xchart/PieChart.java,108,NullifyInputVariable,"public void paint(Graphics2D g, int width, int height) {","public void paint(Graphics2D g, int width, int height) { g = null;",1,
org/knowm/xchart/QuickChart.java,70,RelationalOperatorReplacement,for (int i = 0; i < yData.length; i++) {,for (int i = 0; i >= yData.length; i++) {,22,
org/knowm/xchart/RadarChart.java,143,NullifyInputVariable,"public void paint(Graphics2D g, int width, int height) {","public void paint(Graphics2D g, int width, int height) { g = null;",3,
org/knowm/xchart/RadarChart.java,137,RelationalOperatorReplacement,if (annotations != null && annotations.length < radiiLabels.length) {,if (annotations != null && annotations.length >= radiiLabels.length) {,34,
org/knowm/xchart/RadarChart.java,132,RelationalOperatorReplacement,if (d < 0 || d > 1) {,if (d < 0 || d <= 1) {,36,
org/knowm/xchart/RadarChart.java,132,RelationalOperatorReplacement,if (d < 0 || d > 1) {,if (d >= 0 || d > 1) {,37,
org/knowm/xchart/RadarChart.java,128,RelationalOperatorReplacement,if (values.length < radiiLabels.length) {,if (values.length >= radiiLabels.length) {,38,
org/knowm/xchart/RadarSeries.java,73,RelationalOperatorReplacement,if (this.lineWidth > 0.0f) {,if (this.lineWidth <= 0.0f) {,26,
org/knowm/xchart/VectorGraphicsEncoder.java,82,RelationalOperatorReplacement,if (fileName.length() <= newFileExtension.length(),if (fileName.length() > newFileExtension.length(),30,
org/knowm/xchart/XChartPanel.java,547,RelationalOperatorReplacement,if (pageIndex > 0) {,if (pageIndex <= 0) {,109,
