file,line,operator,before,after,mutant_id,paper_category
antomology/DefaultClock.java,8,NullifyObjectInitialization,return new Date().getTime();,return null.getTime();,1,
antomology/DefaultClock.java,7,RemoveMethod,public long getCurrentTime() {,public long getCurrentTime() {,2,
antomology/DefaultClock.java,7,RemoveMethod,public long getCurrentTime() {,public long getCurrentTime() {,3,
antomology/Duration.java,17,ArithmeticOperatorReplacementBinary,return finishTime - startTime;,return finishTime + startTime;,1,
antomology/Duration.java,16,RemoveMethod,public long getTime() {,public long getTime() {,2,
antomology/Duration.java,16,RemoveMethod,public long getTime() {,public long getTime() {,3,
antomology/Duration.java,12,RemoveMethod,public void setStartTime(long startTime) {,public void setStartTime(long startTime) {,4,
antomology/Duration.java,8,RemoveMethod,public void setFinishTime(long finishTime) {,public void setFinishTime(long finishTime) {,5,
antomology/ProjectTimer.java,19,NullifyInputVariable,public Timer getTaskTimer(String name) {,public Timer getTaskTimer(String name) { name = null;,1,
antomology/ProjectTimer.java,24,NullifyReturnValue,return targetMap.toSeriesMap();,return null;,10,
antomology/ProjectTimer.java,20,NullifyReturnValue,"return taskMap.find(name, clock);",return null;,11,
antomology/ProjectTimer.java,16,NullifyReturnValue,"return targetMap.find(name, clock);",return null;,12,
antomology/ProjectTimer.java,15,NullifyInputVariable,public Timer getTargetTimer(String name) {,public Timer getTargetTimer(String name) { name = null;,2,
antomology/ProjectTimer.java,12,NullifyObjectInitialization,taskMap = new TimerMap();,taskMap = null;,3,
antomology/ProjectTimer.java,11,NullifyObjectInitialization,targetMap = new TimerMap();,targetMap = null;,4,
antomology/ProjectTimer.java,27,RemoveMethod,public SeriesMap toTaskSeriesMap() {,public SeriesMap toTaskSeriesMap() {,5,
antomology/ProjectTimer.java,23,RemoveMethod,public SeriesMap toTargetSeriesMap() {,public SeriesMap toTargetSeriesMap() {,6,
antomology/ProjectTimer.java,19,RemoveMethod,public Timer getTaskTimer(String name) {,public Timer getTaskTimer(String name) {,7,
antomology/ProjectTimer.java,15,RemoveMethod,public Timer getTargetTimer(String name) {,public Timer getTargetTimer(String name) {,8,
antomology/ProjectTimer.java,28,NullifyReturnValue,return taskMap.toSeriesMap();,return null;,9,
antomology/ProjectTimerMap.java,15,NullifyInputVariable,"protected Timer createTimer(String name, Clock clock) {","protected Timer createTimer(String name, Clock clock) { clock = null;",1,
antomology/ProjectTimerMap.java,16,NullifyReturnValue,"return new ProjectTimer(name, clock);",return null;,10,
antomology/ProjectTimerMap.java,12,NullifyReturnValue,"return (ProjectTimer) find(project.getName(), clock);",return null;,11,
antomology/ProjectTimerMap.java,8,NullifyReturnValue,return (ProjectTimer) get(project.getName());,return null;,12,
antomology/ProjectTimerMap.java,15,NullifyInputVariable,"protected Timer createTimer(String name, Clock clock) {","protected Timer createTimer(String name, Clock clock) { name = null;",2,
antomology/ProjectTimerMap.java,11,NullifyInputVariable,"public ProjectTimer find(Project project, Clock clock) {","public ProjectTimer find(Project project, Clock clock) { clock = null;",3,
antomology/ProjectTimerMap.java,11,NullifyInputVariable,"public ProjectTimer find(Project project, Clock clock) {","public ProjectTimer find(Project project, Clock clock) { project = null;",4,
antomology/ProjectTimerMap.java,7,NullifyInputVariable,public ProjectTimer get(Project project) {,public ProjectTimer get(Project project) { project = null;,5,
antomology/ProjectTimerMap.java,16,NullifyObjectInitialization,"return new ProjectTimer(name, clock);",return null;,6,
antomology/ProjectTimerMap.java,15,RemoveMethod,"protected Timer createTimer(String name, Clock clock) {","protected Timer createTimer(String name, Clock clock) {",7,
antomology/ProjectTimerMap.java,11,RemoveMethod,"public ProjectTimer find(Project project, Clock clock) {","public ProjectTimer find(Project project, Clock clock) {",8,
antomology/ProjectTimerMap.java,7,RemoveMethod,public ProjectTimer get(Project project) {,public ProjectTimer get(Project project) {,9,
antomology/Series.java,34,AssignmentOperatorReplacementShortcut,time += ((Duration) list.get(i)).getTime();,time -= ((Duration) list.get(i)).getTime();,1,
antomology/Series.java,39,RemoveMethod,public long getAverageTime() {,public long getAverageTime() {,10,
antomology/Series.java,31,RemoveMethod,public long getTotalTime() {,public long getTotalTime() {,11,
antomology/Series.java,31,RemoveMethod,public long getTotalTime() {,public long getTotalTime() {,12,
antomology/Series.java,23,RemoveMethod,public long[] getTimes() {,public long[] getTimes() {,13,
antomology/Series.java,23,RemoveMethod,public long[] getTimes() {,public long[] getTimes() {,14,
antomology/Series.java,18,RemoveMethod,public void setFinishTime(long time) {,public void setFinishTime(long time) {,15,
antomology/Series.java,13,RemoveMethod,public void add(Duration duration) {,public void add(Duration duration) {,16,
antomology/Series.java,33,ArithmeticOperatorReplacementShortcut,for (int i = 0; i < list.size(); i++) {,for (int i = 0; i < list.size(); i--) {,17,
antomology/Series.java,25,ArithmeticOperatorReplacementShortcut,for (int i = 0; i < times.length; i++) {,for (int i = 0; i < times.length; i--) {,18,
antomology/Series.java,40,RelationalOperatorReplacement,if (list.size() == 0) {,if (list.size() != 0) {,19,
antomology/Series.java,43,ArithmeticOperatorReplacementBinary,return getTotalTime() / list.size();,return getTotalTime() * list.size();,2,
antomology/Series.java,33,RelationalOperatorReplacement,for (int i = 0; i < list.size(); i++) {,for (int i = 0; i >= list.size(); i++) {,20,
antomology/Series.java,25,RelationalOperatorReplacement,for (int i = 0; i < times.length; i++) {,for (int i = 0; i >= times.length; i++) {,21,
antomology/Series.java,51,NullifyReturnValue,return (Duration) stack.peek();,return null;,22,
antomology/Series.java,13,NullifyInputVariable,public void add(Duration duration) {,public void add(Duration duration) { duration = null;,3,
antomology/Series.java,11,NullifyObjectInitialization,private List list = new ArrayList();,private List list = null;,4,
antomology/Series.java,9,NullifyObjectInitialization,private Stack stack = new Stack();,private Stack stack = null;,5,
antomology/Series.java,50,RemoveMethod,public Duration current() {,public Duration current() {,6,
antomology/Series.java,46,RemoveMethod,public int size() {,public int size() {,7,
antomology/Series.java,46,RemoveMethod,public int size() {,public int size() {,8,
antomology/Series.java,39,RemoveMethod,public long getAverageTime() {,public long getAverageTime() {,9,
antomology/SeriesMap.java,19,NullifyInputVariable,"public void put(String key, Series series) {","public void put(String key, Series series) { series = null;",1,
antomology/SeriesMap.java,12,NullifyReturnValue,return (String[]) keySet.toArray(new String[keySet.size()]);,return null;,10,
antomology/SeriesMap.java,19,NullifyInputVariable,"public void put(String key, Series series) {","public void put(String key, Series series) { key = null;",2,
antomology/SeriesMap.java,15,NullifyInputVariable,public Series get(String name) {,public Series get(String name) { name = null;,3,
antomology/SeriesMap.java,8,NullifyObjectInitialization,protected Map map = new HashMap();,protected Map map = null;,4,
antomology/SeriesMap.java,19,RemoveMethod,"public void put(String key, Series series) {","public void put(String key, Series series) {",5,
antomology/SeriesMap.java,15,RemoveMethod,public Series get(String name) {,public Series get(String name) {,6,
antomology/SeriesMap.java,10,RemoveMethod,public String[] getNames() {,public String[] getNames() {,7,
antomology/SeriesMap.java,10,RemoveMethod,public String[] getNames() {,public String[] getNames() {,8,
antomology/SeriesMap.java,16,NullifyReturnValue,return (Series) map.get(name);,return null;,9,
antomology/StatisticsListener.java,96,NullifyInputVariable,private void updateDurationWithInitialProjectTimer(ProjectTimer projectTimer) {,private void updateDurationWithInitialProjectTimer(ProjectTimer projectTimer) { projectTimer = null;,1,
