file,line,operator,before,after,mutant_id,paper_category
antomology/DefaultClock.java,8,NullifyObjectInitialization,return new Date().getTime();,return null.getTime();,0,
antomology/DefaultClock.java,7,RemoveMethod,public long getCurrentTime() {,public long getCurrentTime() {,1,
antomology/DefaultClock.java,7,RemoveMethod,public long getCurrentTime() {,public long getCurrentTime() {,2,
antomology/Duration.java,17,ArithmeticOperatorReplacementBinary,return finishTime - startTime;,return finishTime + startTime;,3,
antomology/Duration.java,8,RemoveMethod,public void setFinishTime(long finishTime) {,public void setFinishTime(long finishTime) {,4,
antomology/Duration.java,12,RemoveMethod,public void setStartTime(long startTime) {,public void setStartTime(long startTime) {,5,
antomology/Duration.java,16,RemoveMethod,public long getTime() {,public long getTime() {,6,
antomology/Duration.java,16,RemoveMethod,public long getTime() {,public long getTime() {,7,
antomology/ProjectTimer.java,11,NullifyObjectInitialization,targetMap = new TimerMap();,targetMap = null;,10,
antomology/ProjectTimer.java,12,NullifyObjectInitialization,taskMap = new TimerMap();,taskMap = null;,11,
antomology/ProjectTimer.java,16,NullifyReturnValue,"return targetMap.find(name, clock);",return null;,12,
antomology/ProjectTimer.java,20,NullifyReturnValue,"return taskMap.find(name, clock);",return null;,13,
antomology/ProjectTimer.java,24,NullifyReturnValue,return targetMap.toSeriesMap();,return null;,14,
antomology/ProjectTimer.java,28,NullifyReturnValue,return taskMap.toSeriesMap();,return null;,15,
antomology/ProjectTimer.java,15,RemoveMethod,public Timer getTargetTimer(String name) {,public Timer getTargetTimer(String name) {,16,
antomology/ProjectTimer.java,19,RemoveMethod,public Timer getTaskTimer(String name) {,public Timer getTaskTimer(String name) {,17,
antomology/ProjectTimer.java,23,RemoveMethod,public SeriesMap toTargetSeriesMap() {,public SeriesMap toTargetSeriesMap() {,18,
antomology/ProjectTimer.java,27,RemoveMethod,public SeriesMap toTaskSeriesMap() {,public SeriesMap toTaskSeriesMap() {,19,
antomology/ProjectTimer.java,15,NullifyInputVariable,public Timer getTargetTimer(String name) {,public Timer getTargetTimer(String name) { name = null;,8,
antomology/ProjectTimer.java,19,NullifyInputVariable,public Timer getTaskTimer(String name) {,public Timer getTaskTimer(String name) { name = null;,9,
antomology/ProjectTimerMap.java,7,NullifyInputVariable,public ProjectTimer get(Project project) {,public ProjectTimer get(Project project) { project = null;,20,
antomology/ProjectTimerMap.java,11,NullifyInputVariable,"public ProjectTimer find(Project project, Clock clock) {","public ProjectTimer find(Project project, Clock clock) { clock = null;",21,
