file,line,operator,before,after,mutant_id,paper_category
antomology/Series.java,28,NullifyReturnValue,return times;,return null;,39,
antomology/Series.java,25,RelationalOperatorReplacement,for (int i = 0; i < times.length; i++) {,for (int i = 0; i <= times.length; i++) {,41,
antomology/Series.java,33,RelationalOperatorReplacement,for (int i = 0; i < list.size(); i++) {,for (int i = 0; i <= list.size(); i++) {,42,
antomology/StatisticsReport.java,33,RelationalOperatorReplacement,for (int i = 1; i < table.rows(); i++) {,for (int i = 1; i <= table.rows(); i++) {,137,
antomology/StatisticsReport.java,51,RelationalOperatorReplacement,for (int i = 0; i < totalTimes.length; i++) {,for (int i = 0; i <= totalTimes.length; i++) {,138,
antomology/StatisticsReport.java,66,RelationalOperatorReplacement,for (int i = 0; i < table.rows(); i++) {,for (int i = 0; i <= table.rows(); i++) {,139,
antomology/StatisticsReport.java,67,RelationalOperatorReplacement,for (int j = 0; j < table.columns(); j++) {,for (int j = 0; j <= table.columns(); j++) {,140,
antomology/StatisticsReport.java,87,RelationalOperatorReplacement,for (int i = 0; i < maxLengths.length; i++) {,for (int i = 0; i <= maxLengths.length; i++) {,142,
antomology/StringFormatter.java,23,RelationalOperatorReplacement,for (int i = 0; i < size; i++) {,for (int i = 0; i <= size; i++) {,175,
antomology/Table.java,23,NullifyReturnValue,return lengths;,return null;,190,
antomology/Table.java,27,NullifyReturnValue,return maxLengths;,return null;,191,
antomology/Table.java,12,RelationalOperatorReplacement,int columnSize = (rows >= 0) ? rows + 1 : 1;,int columnSize = (rows > 0) ? rows + 1 : 1;,194,
antomology/Table.java,20,RelationalOperatorReplacement,for (int i = 0; i < header.length; i++) {,for (int i = 0; i <= header.length; i++) {,195,
antomology/Table.java,37,RelationalOperatorReplacement,for (int i = 0; i < output.length; i++) {,for (int i = 0; i <= output.length; i++) {,196,
