file,line,operator,before,after,mutant_id,paper_category
antomology/Series.java,33,RelationalOperatorReplacement,for (int i = 0; i < list.size(); i++) {,for (int i = 0; i >= list.size(); i++) {,20,
antomology/Series.java,25,RelationalOperatorReplacement,for (int i = 0; i < times.length; i++) {,for (int i = 0; i >= times.length; i++) {,21,
antomology/StatisticsReport.java,87,RelationalOperatorReplacement,for (int i = 0; i < maxLengths.length; i++) {,for (int i = 0; i >= maxLengths.length; i++) {,49,
antomology/StatisticsReport.java,67,RelationalOperatorReplacement,for (int j = 0; j < table.columns(); j++) {,for (int j = 0; j >= table.columns(); j++) {,51,
antomology/StatisticsReport.java,66,RelationalOperatorReplacement,for (int i = 0; i < table.rows(); i++) {,for (int i = 0; i >= table.rows(); i++) {,52,
antomology/StatisticsReport.java,51,RelationalOperatorReplacement,for (int i = 0; i < totalTimes.length; i++) {,for (int i = 0; i >= totalTimes.length; i++) {,53,
antomology/StatisticsReport.java,33,RelationalOperatorReplacement,for (int i = 1; i < table.rows(); i++) {,for (int i = 1; i >= table.rows(); i++) {,54,
antomology/StringFormatter.java,23,RelationalOperatorReplacement,for (int i = 0; i < size; i++) {,for (int i = 0; i >= size; i++) {,23,
antomology/Table.java,37,RelationalOperatorReplacement,for (int i = 0; i < output.length; i++) {,for (int i = 0; i >= output.length; i++) {,21,
antomology/Table.java,20,RelationalOperatorReplacement,for (int i = 0; i < header.length; i++) {,for (int i = 0; i >= header.length; i++) {,22,
antomology/Table.java,12,RelationalOperatorReplacement,int columnSize = (rows >= 0) ? rows + 1 : 1;,int columnSize = (rows < 0) ? rows + 1 : 1;,23,
