file,line,operator,before,after,mutant_id,paper_category
org/apache/commons/cli/AlreadySelectedException.java,79,RemoveMethod,public OptionGroup getOptionGroup() {,public OptionGroup getOptionGroup() {,1,
org/apache/commons/cli/AlreadySelectedException.java,69,RemoveMethod,public Option getOption() {,public Option getOption() {,2,
org/apache/commons/cli/AlreadySelectedException.java,80,NullifyReturnValue,return group;,return null;,3,
org/apache/commons/cli/AlreadySelectedException.java,70,NullifyReturnValue,return option;,return null;,4,
org/apache/commons/cli/AmbiguousOptionException.java,41,NullifyInputVariable,"private static String createMessage(final String option, final Collection<String> matchingOptions) {","private static String createMessage(final String option, final Collection<String> matchingOptions) { matchingOptions = null;",1,
org/apache/commons/cli/AmbiguousOptionException.java,41,NullifyInputVariable,"private static String createMessage(final String option, final Collection<String> matchingOptions) {","private static String createMessage(final String option, final Collection<String> matchingOptions) { option = null;",2,
org/apache/commons/cli/AmbiguousOptionException.java,42,NullifyObjectInitialization,"final StringBuilder buf = new StringBuilder(""Ambiguous option: '"");",final StringBuilder buf = null;,3,
org/apache/commons/cli/AmbiguousOptionException.java,79,RemoveMethod,public Collection<String> getMatchingOptions() {,public Collection<String> getMatchingOptions() {,4,
org/apache/commons/cli/AmbiguousOptionException.java,41,RemoveMethod,"private static String createMessage(final String option, final Collection<String> matchingOptions) {","private static String createMessage(final String option, final Collection<String> matchingOptions) {",5,
org/apache/commons/cli/AmbiguousOptionException.java,41,RemoveMethod,"private static String createMessage(final String option, final Collection<String> matchingOptions) {","private static String createMessage(final String option, final Collection<String> matchingOptions) {",6,
org/apache/commons/cli/AmbiguousOptionException.java,80,NullifyReturnValue,return matchingOptions;,return null;,7,
org/apache/commons/cli/AmbiguousOptionException.java,57,NullifyReturnValue,return buf.toString();,return null;,8,
org/apache/commons/cli/BasicParser.java,45,NullifyInputVariable,"@SuppressWarnings(""unused"") final boolean stopAtNonOption) {","@SuppressWarnings(""unused"") final boolean stopAtNonOption) { arguments = null;",1,
org/apache/commons/cli/BasicParser.java,45,NullifyInputVariable,"@SuppressWarnings(""unused"") final boolean stopAtNonOption) {","@SuppressWarnings(""unused"") final boolean stopAtNonOption) { options = null;",2,
org/apache/commons/cli/BasicParser.java,45,RemoveMethod,"@SuppressWarnings(""unused"") final boolean stopAtNonOption) {","@SuppressWarnings(""unused"") final boolean stopAtNonOption) {",3,
org/apache/commons/cli/BasicParser.java,45,RemoveMethod,"@SuppressWarnings(""unused"") final boolean stopAtNonOption) {","@SuppressWarnings(""unused"") final boolean stopAtNonOption) {",4,
org/apache/commons/cli/BasicParser.java,47,NullifyReturnValue,return arguments;,return null;,5,
org/apache/commons/cli/CommandLine.java,783,RemoveNullCheck,if (actual != null) {,if (true) {,1,
org/apache/commons/cli/CommandLine.java,360,RemoveNullCheck,return values == null ? null : values[0];,return false ? null : values[0];,10,
org/apache/commons/cli/CommandLine.java,717,RemoveMethod,public boolean hasOption(final Option opt) {,public boolean hasOption(final Option opt) {,100,
org/apache/commons/cli/CommandLine.java,706,RemoveMethod,public boolean hasOption(final char opt) {,public boolean hasOption(final char opt) {,101,
org/apache/commons/cli/CommandLine.java,706,RemoveMethod,public boolean hasOption(final char opt) {,public boolean hasOption(final char opt) {,102,
org/apache/commons/cli/CommandLine.java,676,RemoveMethod,private void handleDeprecated(final Option option) {,private void handleDeprecated(final Option option) {,103,
org/apache/commons/cli/CommandLine.java,667,RemoveMethod,"public <T> T getParsedOptionValue(final String opt, final T defaultValue) throws ParseException {","public <T> T getParsedOptionValue(final String opt, final T defaultValue) throws ParseException {",104,
org/apache/commons/cli/CommandLine.java,652,RemoveMethod,"public <T> T getParsedOptionValue(final String opt, final Supplier<T> defaultValue) throws ParseException {","public <T> T getParsedOptionValue(final String opt, final Supplier<T> defaultValue) throws ParseException {",105,
org/apache/commons/cli/CommandLine.java,637,RemoveMethod,public <T> T getParsedOptionValue(final String opt) throws ParseException {,public <T> T getParsedOptionValue(final String opt) throws ParseException {,106,
org/apache/commons/cli/CommandLine.java,623,RemoveMethod,"public <T> T getParsedOptionValue(final OptionGroup optionGroup, final T defaultValue) throws ParseException {","public <T> T getParsedOptionValue(final OptionGroup optionGroup, final T defaultValue) throws ParseException {",107,
org/apache/commons/cli/CommandLine.java,605,RemoveMethod,"public <T> T getParsedOptionValue(final OptionGroup optionGroup, final Supplier<T> defaultValue) throws ParseException {","public <T> T getParsedOptionValue(final OptionGroup optionGroup, final Supplier<T> defaultValue) throws ParseException {",108,
org/apache/commons/cli/CommandLine.java,590,RemoveMethod,public <T> T getParsedOptionValue(final OptionGroup optionGroup) throws ParseException {,public <T> T getParsedOptionValue(final OptionGroup optionGroup) throws ParseException {,109,
org/apache/commons/cli/CommandLine.java,348,RemoveNullCheck,return answer != null ? answer : get(defaultValue);,return true ? answer : get(defaultValue);,11,
org/apache/commons/cli/CommandLine.java,576,RemoveMethod,"public <T> T getParsedOptionValue(final Option option, final T defaultValue) throws ParseException {","public <T> T getParsedOptionValue(final Option option, final T defaultValue) throws ParseException {",110,
org/apache/commons/cli/CommandLine.java,550,RemoveMethod,"public <T> T getParsedOptionValue(final Option option, final Supplier<T> defaultValue) throws ParseException {","public <T> T getParsedOptionValue(final Option option, final Supplier<T> defaultValue) throws ParseException {",111,
org/apache/commons/cli/CommandLine.java,534,RemoveMethod,public <T> T getParsedOptionValue(final Option option) throws ParseException {,public <T> T getParsedOptionValue(final Option option) throws ParseException {,112,
org/apache/commons/cli/CommandLine.java,520,RemoveMethod,"public <T> T getParsedOptionValue(final char opt, final T defaultValue) throws ParseException {","public <T> T getParsedOptionValue(final char opt, final T defaultValue) throws ParseException {",113,
org/apache/commons/cli/CommandLine.java,505,RemoveMethod,"public <T> T getParsedOptionValue(final char opt, final Supplier<T> defaultValue) throws ParseException {","public <T> T getParsedOptionValue(final char opt, final Supplier<T> defaultValue) throws ParseException {",114,
org/apache/commons/cli/CommandLine.java,490,RemoveMethod,public <T> T getParsedOptionValue(final char opt) throws ParseException {,public <T> T getParsedOptionValue(final char opt) throws ParseException {,115,
org/apache/commons/cli/CommandLine.java,476,RemoveMethod,public String[] getOptionValues(final String opt) {,public String[] getOptionValues(final String opt) {,116,
org/apache/commons/cli/CommandLine.java,476,RemoveMethod,public String[] getOptionValues(final String opt) {,public String[] getOptionValues(final String opt) {,117,
org/apache/commons/cli/CommandLine.java,463,RemoveMethod,public String[] getOptionValues(final OptionGroup optionGroup) {,public String[] getOptionValues(final OptionGroup optionGroup) {,118,
org/apache/commons/cli/CommandLine.java,463,RemoveMethod,public String[] getOptionValues(final OptionGroup optionGroup) {,public String[] getOptionValues(final OptionGroup optionGroup) {,119,
org/apache/commons/cli/CommandLine.java,323,RemoveNullCheck,return values == null ? null : values[0];,return false ? null : values[0];,12,
org/apache/commons/cli/CommandLine.java,440,RemoveMethod,public String[] getOptionValues(final Option option) {,public String[] getOptionValues(final Option option) {,120,
org/apache/commons/cli/CommandLine.java,440,RemoveMethod,public String[] getOptionValues(final Option option) {,public String[] getOptionValues(final Option option) {,121,
org/apache/commons/cli/CommandLine.java,429,RemoveMethod,public String[] getOptionValues(final char opt) {,public String[] getOptionValues(final char opt) {,122,
org/apache/commons/cli/CommandLine.java,429,RemoveMethod,public String[] getOptionValues(final char opt) {,public String[] getOptionValues(final char opt) {,123,
org/apache/commons/cli/CommandLine.java,418,RemoveMethod,"public String getOptionValue(final String opt, final Supplier<String> defaultValue) {","public String getOptionValue(final String opt, final Supplier<String> defaultValue) {",124,
org/apache/commons/cli/CommandLine.java,418,RemoveMethod,"public String getOptionValue(final String opt, final Supplier<String> defaultValue) {","public String getOptionValue(final String opt, final Supplier<String> defaultValue) {",125,
org/apache/commons/cli/CommandLine.java,406,RemoveMethod,"public String getOptionValue(final String opt, final String defaultValue) {","public String getOptionValue(final String opt, final String defaultValue) {",126,
org/apache/commons/cli/CommandLine.java,406,RemoveMethod,"public String getOptionValue(final String opt, final String defaultValue) {","public String getOptionValue(final String opt, final String defaultValue) {",127,
org/apache/commons/cli/CommandLine.java,395,RemoveMethod,public String getOptionValue(final String opt) {,public String getOptionValue(final String opt) {,128,
org/apache/commons/cli/CommandLine.java,395,RemoveMethod,public String getOptionValue(final String opt) {,public String getOptionValue(final String opt) {,129,
org/apache/commons/cli/CommandLine.java,181,RemoveNullCheck,return supplier == null ? null : supplier.get();,return false ? null : supplier.get();,13,
org/apache/commons/cli/CommandLine.java,383,RemoveMethod,"public String getOptionValue(final OptionGroup optionGroup, final Supplier<String> defaultValue) {","public String getOptionValue(final OptionGroup optionGroup, final Supplier<String> defaultValue) {",130,
org/apache/commons/cli/CommandLine.java,383,RemoveMethod,"public String getOptionValue(final OptionGroup optionGroup, final Supplier<String> defaultValue) {","public String getOptionValue(final OptionGroup optionGroup, final Supplier<String> defaultValue) {",131,
org/apache/commons/cli/CommandLine.java,371,RemoveMethod,"public String getOptionValue(final OptionGroup optionGroup, final String defaultValue) {","public String getOptionValue(final OptionGroup optionGroup, final String defaultValue) {",132,
org/apache/commons/cli/CommandLine.java,371,RemoveMethod,"public String getOptionValue(final OptionGroup optionGroup, final String defaultValue) {","public String getOptionValue(final OptionGroup optionGroup, final String defaultValue) {",133,
org/apache/commons/cli/CommandLine.java,358,RemoveMethod,public String getOptionValue(final OptionGroup optionGroup) {,public String getOptionValue(final OptionGroup optionGroup) {,134,
org/apache/commons/cli/CommandLine.java,358,RemoveMethod,public String getOptionValue(final OptionGroup optionGroup) {,public String getOptionValue(final OptionGroup optionGroup) {,135,
org/apache/commons/cli/CommandLine.java,346,RemoveMethod,"public String getOptionValue(final Option option, final Supplier<String> defaultValue) {","public String getOptionValue(final Option option, final Supplier<String> defaultValue) {",136,
org/apache/commons/cli/CommandLine.java,346,RemoveMethod,"public String getOptionValue(final Option option, final Supplier<String> defaultValue) {","public String getOptionValue(final Option option, final Supplier<String> defaultValue) {",137,
org/apache/commons/cli/CommandLine.java,334,RemoveMethod,"public String getOptionValue(final Option option, final String defaultValue) {","public String getOptionValue(final Option option, final String defaultValue) {",138,
org/apache/commons/cli/CommandLine.java,334,RemoveMethod,"public String getOptionValue(final Option option, final String defaultValue) {","public String getOptionValue(final Option option, final String defaultValue) {",139,
org/apache/commons/cli/CommandLine.java,175,RemoveNullCheck,if (opt != null) {,if (true) {,14,
org/apache/commons/cli/CommandLine.java,321,RemoveMethod,public String getOptionValue(final Option option) {,public String getOptionValue(final Option option) {,140,
