file,line,operator,before,after,mutant_id,paper_category
org/apache/commons/cli/AlreadySelectedException.java,70,NullifyReturnValue,return option;,return null;,0,
org/apache/commons/cli/AlreadySelectedException.java,80,NullifyReturnValue,return group;,return null;,1,
org/apache/commons/cli/AlreadySelectedException.java,69,RemoveMethod,public Option getOption() {,public Option getOption() {,2,
org/apache/commons/cli/AlreadySelectedException.java,79,RemoveMethod,public OptionGroup getOptionGroup() {,public OptionGroup getOptionGroup() {,3,
org/apache/commons/cli/AmbiguousOptionException.java,42,NullifyObjectInitialization,"final StringBuilder buf = new StringBuilder(""Ambiguous option: '"");",final StringBuilder buf = null;,4,
org/apache/commons/cli/AmbiguousOptionException.java,57,NullifyReturnValue,return buf.toString();,return null;,5,
org/apache/commons/cli/AmbiguousOptionException.java,80,NullifyReturnValue,return matchingOptions;,return null;,6,
org/apache/commons/cli/AmbiguousOptionException.java,41,RemoveMethod,"private static String createMessage(final String option, final Collection<String> matchingOptions) {","private static String createMessage(final String option, final Collection<String> matchingOptions) {",7,
org/apache/commons/cli/AmbiguousOptionException.java,41,RemoveMethod,"private static String createMessage(final String option, final Collection<String> matchingOptions) {","private static String createMessage(final String option, final Collection<String> matchingOptions) {",8,
org/apache/commons/cli/AmbiguousOptionException.java,79,RemoveMethod,public Collection<String> getMatchingOptions() {,public Collection<String> getMatchingOptions() {,9,
org/apache/commons/cli/BasicParser.java,47,NullifyReturnValue,return arguments;,return null;,10,
org/apache/commons/cli/BasicParser.java,45,RemoveMethod,"@SuppressWarnings(""unused"") final boolean stopAtNonOption) {","@SuppressWarnings(""unused"") final boolean stopAtNonOption) {",11,
org/apache/commons/cli/CommandLine.java,767,RelationalOperatorReplacement,if (i + 1 < values.size()) {,if (i + 1 <= values.size()) {,100,
org/apache/commons/cli/CommandLine.java,783,RelationalOperatorReplacement,if (actual != null) {,if (actual == null) {,101,
org/apache/commons/cli/CommandLine.java,72,RemoveMethod,public Builder addArg(final String arg) {,public Builder addArg(final String arg) {,102,
org/apache/commons/cli/CommandLine.java,86,RemoveMethod,public Builder addOption(final Option opt) {,public Builder addOption(final Option opt) {,103,
org/apache/commons/cli/CommandLine.java,98,RemoveMethod,public CommandLine build() {,public CommandLine build() {,104,
org/apache/commons/cli/CommandLine.java,109,RemoveMethod,public Builder setDeprecatedHandler(final Consumer<Option> deprecatedHandler) {,public Builder setDeprecatedHandler(final Consumer<Option> deprecatedHandler) {,105,
org/apache/commons/cli/CommandLine.java,124,RemoveMethod,public static Builder builder() {,public static Builder builder() {,106,
org/apache/commons/cli/CommandLine.java,163,RemoveMethod,protected void addArg(final String arg) {,protected void addArg(final String arg) {,107,
org/apache/commons/cli/CommandLine.java,174,RemoveMethod,protected void addOption(final Option opt) {,protected void addOption(final Option opt) {,108,
org/apache/commons/cli/CommandLine.java,180,RemoveMethod,private <T> T get(final Supplier<T> supplier) {,private <T> T get(final Supplier<T> supplier) {,109,
org/apache/commons/cli/CommandLine.java,189,RemoveMethod,public List<String> getArgList() {,public List<String> getArgList() {,110,
org/apache/commons/cli/CommandLine.java,198,RemoveMethod,public String[] getArgs() {,public String[] getArgs() {,111,
org/apache/commons/cli/CommandLine.java,210,RemoveMethod,public Object getOptionObject(final char opt) {,public Object getOptionObject(final char opt) {,112,
org/apache/commons/cli/CommandLine.java,222,RemoveMethod,public Object getOptionObject(final String opt) {,public Object getOptionObject(final String opt) {,113,
org/apache/commons/cli/CommandLine.java,242,RemoveMethod,public Properties getOptionProperties(final Option option) {,public Properties getOptionProperties(final Option option) {,114,
org/apache/commons/cli/CommandLine.java,262,RemoveMethod,public Properties getOptionProperties(final String opt) {,public Properties getOptionProperties(final String opt) {,115,
org/apache/commons/cli/CommandLine.java,277,RemoveMethod,public Option[] getOptions() {,public Option[] getOptions() {,116,
org/apache/commons/cli/CommandLine.java,287,RemoveMethod,public String getOptionValue(final char opt) {,public String getOptionValue(final char opt) {,117,
org/apache/commons/cli/CommandLine.java,287,RemoveMethod,public String getOptionValue(final char opt) {,public String getOptionValue(final char opt) {,118,
org/apache/commons/cli/CommandLine.java,298,RemoveMethod,"public String getOptionValue(final char opt, final String defaultValue) {","public String getOptionValue(final char opt, final String defaultValue) {",119,
org/apache/commons/cli/CommandLine.java,767,ArithmeticOperatorReplacementBinary,if (i + 1 < values.size()) {,if (i - 1 < values.size()) {,12,
org/apache/commons/cli/CommandLine.java,298,RemoveMethod,"public String getOptionValue(final char opt, final String defaultValue) {","public String getOptionValue(final char opt, final String defaultValue) {",120,
org/apache/commons/cli/CommandLine.java,310,RemoveMethod,"public String getOptionValue(final char opt, final Supplier<String> defaultValue) {","public String getOptionValue(final char opt, final Supplier<String> defaultValue) {",121,
org/apache/commons/cli/CommandLine.java,310,RemoveMethod,"public String getOptionValue(final char opt, final Supplier<String> defaultValue) {","public String getOptionValue(final char opt, final Supplier<String> defaultValue) {",122,
org/apache/commons/cli/CommandLine.java,321,RemoveMethod,public String getOptionValue(final Option option) {,public String getOptionValue(final Option option) {,123,
org/apache/commons/cli/CommandLine.java,321,RemoveMethod,public String getOptionValue(final Option option) {,public String getOptionValue(final Option option) {,124,
org/apache/commons/cli/CommandLine.java,334,RemoveMethod,"public String getOptionValue(final Option option, final String defaultValue) {","public String getOptionValue(final Option option, final String defaultValue) {",125,
org/apache/commons/cli/CommandLine.java,334,RemoveMethod,"public String getOptionValue(final Option option, final String defaultValue) {","public String getOptionValue(final Option option, final String defaultValue) {",126,
org/apache/commons/cli/CommandLine.java,346,RemoveMethod,"public String getOptionValue(final Option option, final Supplier<String> defaultValue) {","public String getOptionValue(final Option option, final Supplier<String> defaultValue) {",127,
org/apache/commons/cli/CommandLine.java,346,RemoveMethod,"public String getOptionValue(final Option option, final Supplier<String> defaultValue) {","public String getOptionValue(final Option option, final Supplier<String> defaultValue) {",128,
org/apache/commons/cli/CommandLine.java,358,RemoveMethod,public String getOptionValue(final OptionGroup optionGroup) {,public String getOptionValue(final OptionGroup optionGroup) {,129,
org/apache/commons/cli/CommandLine.java,768,ArithmeticOperatorReplacementBinary,"props.put(values.get(i), values.get(i + 1));","props.put(values.get(i), values.get(i - 1));",13,
org/apache/commons/cli/CommandLine.java,358,RemoveMethod,public String getOptionValue(final OptionGroup optionGroup) {,public String getOptionValue(final OptionGroup optionGroup) {,130,
org/apache/commons/cli/CommandLine.java,371,RemoveMethod,"public String getOptionValue(final OptionGroup optionGroup, final String defaultValue) {","public String getOptionValue(final OptionGroup optionGroup, final String defaultValue) {",131,
org/apache/commons/cli/CommandLine.java,371,RemoveMethod,"public String getOptionValue(final OptionGroup optionGroup, final String defaultValue) {","public String getOptionValue(final OptionGroup optionGroup, final String defaultValue) {",132,
org/apache/commons/cli/CommandLine.java,383,RemoveMethod,"public String getOptionValue(final OptionGroup optionGroup, final Supplier<String> defaultValue) {","public String getOptionValue(final OptionGroup optionGroup, final Supplier<String> defaultValue) {",133,
org/apache/commons/cli/CommandLine.java,383,RemoveMethod,"public String getOptionValue(final OptionGroup optionGroup, final Supplier<String> defaultValue) {","public String getOptionValue(final OptionGroup optionGroup, final Supplier<String> defaultValue) {",134,
org/apache/commons/cli/CommandLine.java,395,RemoveMethod,public String getOptionValue(final String opt) {,public String getOptionValue(final String opt) {,135,
org/apache/commons/cli/CommandLine.java,395,RemoveMethod,public String getOptionValue(final String opt) {,public String getOptionValue(final String opt) {,136,
org/apache/commons/cli/CommandLine.java,406,RemoveMethod,"public String getOptionValue(final String opt, final String defaultValue) {","public String getOptionValue(final String opt, final String defaultValue) {",137,
org/apache/commons/cli/CommandLine.java,406,RemoveMethod,"public String getOptionValue(final String opt, final String defaultValue) {","public String getOptionValue(final String opt, final String defaultValue) {",138,
org/apache/commons/cli/CommandLine.java,418,RemoveMethod,"public String getOptionValue(final String opt, final Supplier<String> defaultValue) {","public String getOptionValue(final String opt, final Supplier<String> defaultValue) {",139,
org/apache/commons/cli/CommandLine.java,766,AssignmentOperatorReplacementShortcut,for (int i = 0; i < values.size(); i += 2) {,for (int i = 0; i < values.size(); i -= 2) {,14,
org/apache/commons/cli/CommandLine.java,418,RemoveMethod,"public String getOptionValue(final String opt, final Supplier<String> defaultValue) {","public String getOptionValue(final String opt, final Supplier<String> defaultValue) {",140,
org/apache/commons/cli/CommandLine.java,429,RemoveMethod,public String[] getOptionValues(final char opt) {,public String[] getOptionValues(final char opt) {,141,
org/apache/commons/cli/CommandLine.java,440,RemoveMethod,public String[] getOptionValues(final Option option) {,public String[] getOptionValues(final Option option) {,142,
org/apache/commons/cli/CommandLine.java,463,RemoveMethod,public String[] getOptionValues(final OptionGroup optionGroup) {,public String[] getOptionValues(final OptionGroup optionGroup) {,143,
org/apache/commons/cli/CommandLine.java,476,RemoveMethod,public String[] getOptionValues(final String opt) {,public String[] getOptionValues(final String opt) {,144,
org/apache/commons/cli/CommandLine.java,490,RemoveMethod,public <T> T getParsedOptionValue(final char opt) throws ParseException {,public <T> T getParsedOptionValue(final char opt) throws ParseException {,145,
org/apache/commons/cli/CommandLine.java,505,RemoveMethod,"public <T> T getParsedOptionValue(final char opt, final Supplier<T> defaultValue) throws ParseException {","public <T> T getParsedOptionValue(final char opt, final Supplier<T> defaultValue) throws ParseException {",146,
org/apache/commons/cli/CommandLine.java,520,RemoveMethod,"public <T> T getParsedOptionValue(final char opt, final T defaultValue) throws ParseException {","public <T> T getParsedOptionValue(final char opt, final T defaultValue) throws ParseException {",147,
org/apache/commons/cli/CommandLine.java,534,RemoveMethod,public <T> T getParsedOptionValue(final Option option) throws ParseException {,public <T> T getParsedOptionValue(final Option option) throws ParseException {,148,
org/apache/commons/cli/CommandLine.java,550,RemoveMethod,"public <T> T getParsedOptionValue(final Option option, final Supplier<T> defaultValue) throws ParseException {","public <T> T getParsedOptionValue(final Option option, final Supplier<T> defaultValue) throws ParseException {",149,
org/apache/commons/cli/CommandLine.java,464,ConditionalOperatorDeletion,if (optionGroup == null || !optionGroup.isSelected()) {,if (optionGroup == null || optionGroup.isSelected()) {,15,
org/apache/commons/cli/CommandLine.java,576,RemoveMethod,"public <T> T getParsedOptionValue(final Option option, final T defaultValue) throws ParseException {","public <T> T getParsedOptionValue(final Option option, final T defaultValue) throws ParseException {",150,
org/apache/commons/cli/CommandLine.java,590,RemoveMethod,public <T> T getParsedOptionValue(final OptionGroup optionGroup) throws ParseException {,public <T> T getParsedOptionValue(final OptionGroup optionGroup) throws ParseException {,151,
org/apache/commons/cli/CommandLine.java,605,RemoveMethod,"public <T> T getParsedOptionValue(final OptionGroup optionGroup, final Supplier<T> defaultValue) throws ParseException {","public <T> T getParsedOptionValue(final OptionGroup optionGroup, final Supplier<T> defaultValue) throws ParseException {",152,
org/apache/commons/cli/CommandLine.java,623,RemoveMethod,"public <T> T getParsedOptionValue(final OptionGroup optionGroup, final T defaultValue) throws ParseException {","public <T> T getParsedOptionValue(final OptionGroup optionGroup, final T defaultValue) throws ParseException {",153,
org/apache/commons/cli/CommandLine.java,637,RemoveMethod,public <T> T getParsedOptionValue(final String opt) throws ParseException {,public <T> T getParsedOptionValue(final String opt) throws ParseException {,154,
org/apache/commons/cli/CommandLine.java,652,RemoveMethod,"public <T> T getParsedOptionValue(final String opt, final Supplier<T> defaultValue) throws ParseException {","public <T> T getParsedOptionValue(final String opt, final Supplier<T> defaultValue) throws ParseException {",155,
org/apache/commons/cli/CommandLine.java,667,RemoveMethod,"public <T> T getParsedOptionValue(final String opt, final T defaultValue) throws ParseException {","public <T> T getParsedOptionValue(final String opt, final T defaultValue) throws ParseException {",156,
org/apache/commons/cli/CommandLine.java,676,RemoveMethod,private void handleDeprecated(final Option option) {,private void handleDeprecated(final Option option) {,157,
org/apache/commons/cli/CommandLine.java,706,RemoveMethod,public boolean hasOption(final char opt) {,public boolean hasOption(final char opt) {,158,
org/apache/commons/cli/CommandLine.java,706,RemoveMethod,public boolean hasOption(final char opt) {,public boolean hasOption(final char opt) {,159,
org/apache/commons/cli/CommandLine.java,606,ConditionalOperatorDeletion,if (optionGroup == null || !optionGroup.isSelected()) {,if (optionGroup == null || optionGroup.isSelected()) {,16,
