file,line,operator,before,after,mutant_id,paper_category
org/apache/commons/cli/AmbiguousOptionException.java,41,NullifyInputVariable,"private static String createMessage(final String option, final Collection<String> matchingOptions) {","private static String createMessage(final String option, final Collection<String> matchingOptions) { matchingOptions = null;",1,reduced_nullify_final_param_non_compilable
org/apache/commons/cli/HelpFormatter.java,737,NullifyInputVariable,"final int descPad, final String footer, final boolean autoUsage) {","final int descPad, final String footer, final boolean autoUsage) { footer = null;",100,reduced_nullify_final_param_non_compilable
org/apache/commons/cli/CommandLine.java,334,NullifyInputVariable,"public String getOptionValue(final Option option, final String defaultValue) {","public String getOptionValue(final Option option, final String defaultValue) { option = null;",70,reduced_nullify_final_param_non_compilable
org/apache/commons/cli/Option.java,149,NullifyInputVariable,"public Builder converter(final Converter<?, ?> converter) {","public Builder converter(final Converter<?, ?> converter) { converter = null;",46,reduced_nullify_final_param_non_compilable
org/apache/commons/cli/TypeHandler.java,189,NullifyInputVariable,"private static <T> T createValueUnchecked(final String string, final Class<T> clazz) {","private static <T> T createValueUnchecked(final String string, final Class<T> clazz) { clazz = null;",4,reduced_nullify_final_param_non_compilable
org/apache/commons/cli/CommandLine.java,550,NullifyInputVariable,"public <T> T getParsedOptionValue(final Option option, final Supplier<T> defaultValue) throws ParseException {","public <T> T getParsedOptionValue(final Option option, final Supplier<T> defaultValue) throws ParseException { defaultValue = null;",49,reduced_nullify_final_param_non_compilable
org/apache/commons/cli/CommandLine.java,476,NullifyInputVariable,public String[] getOptionValues(final String opt) {,public String[] getOptionValues(final String opt) { opt = null;,54,reduced_nullify_final_param_non_compilable
org/apache/commons/cli/CommandLine.java,346,NullifyInputVariable,"public String getOptionValue(final Option option, final Supplier<String> defaultValue) {","public String getOptionValue(final Option option, final Supplier<String> defaultValue) { defaultValue = null;",67,reduced_nullify_final_param_non_compilable
org/apache/commons/cli/HelpFormatter.java,774,NullifyInputVariable,"public void printHelp(final String cmdLineSyntax, final Options options, final boolean autoUsage) {","public void printHelp(final String cmdLineSyntax, final Options options, final boolean autoUsage) { options = null;",96,reduced_nullify_final_param_non_compilable
org/apache/commons/cli/HelpFormatter.java,892,NullifyInputVariable,"public void printWrapped(final PrintWriter pw, final int width, final int nextLineTabStop, final String text) {","public void printWrapped(final PrintWriter pw, final int width, final int nextLineTabStop, final String text) { pw = null;",80,reduced_nullify_final_param_non_compilable
org/apache/commons/cli/OptionBuilder.java,240,NullifyInputVariable,public static OptionBuilder withArgName(final String name) {,public static OptionBuilder withArgName(final String name) { name = null;,6,reduced_nullify_final_param_non_compilable
org/apache/commons/cli/HelpFormatter.java,844,NullifyInputVariable,"public void printUsage(final PrintWriter pw, final int width, final String app, final Options options) {","public void printUsage(final PrintWriter pw, final int width, final String app, final Options options) { pw = null;",83,reduced_nullify_final_param_non_compilable
org/apache/commons/cli/Options.java,93,NullifyInputVariable,"public Options addOption(final String opt, final boolean hasArg, final String description) {","public Options addOption(final String opt, final boolean hasArg, final String description) { opt = null;",20,reduced_nullify_final_param_non_compilable
org/apache/commons/cli/HelpFormatter.java,718,NullifyInputVariable,"final int descPad, final String footer) {","final int descPad, final String footer) { header = null;",107,reduced_nullify_final_param_non_compilable
org/apache/commons/cli/Parser.java,210,NullifyInputVariable,"public void processArgs(final Option opt, final ListIterator<String> iter) throws ParseException {","public void processArgs(final Option opt, final ListIterator<String> iter) throws ParseException { iter = null;",28,reduced_nullify_final_param_non_compilable
org/apache/commons/cli/HelpFormatter.java,918,NullifyInputVariable,"protected StringBuffer renderOptions(final StringBuffer sb, final int width, final Options options, final int leftPad, final int descPad) {","protected StringBuffer renderOptions(final StringBuffer sb, final int width, final Options options, final int leftPad, final int descPad) { sb = null;",76,reduced_nullify_final_param_non_compilable
org/apache/commons/cli/DefaultParser.java,641,NullifyInputVariable,private boolean isOption(final String token) {,private boolean isOption(final String token) { token = null;,85,reduced_nullify_final_param_non_compilable
org/apache/commons/cli/HelpFormatter.java,844,NullifyInputVariable,"public void printUsage(final PrintWriter pw, final int width, final String app, final Options options) {","public void printUsage(final PrintWriter pw, final int width, final String app, final Options options) { app = null;",82,reduced_nullify_final_param_non_compilable
org/apache/commons/cli/AmbiguousOptionException.java,41,NullifyInputVariable,"private static String createMessage(final String option, final Collection<String> matchingOptions) {","private static String createMessage(final String option, final Collection<String> matchingOptions) { option = null;",2,reduced_nullify_final_param_non_compilable
org/apache/commons/cli/Parser.java,123,NullifyInputVariable,"public CommandLine parse(final Options options, final String[] arguments, final Properties properties) throws ParseException {","public CommandLine parse(final Options options, final String[] arguments, final Properties properties) throws ParseException { arguments = null;",34,reduced_nullify_final_param_non_compilable
org/apache/commons/cli/DefaultParser.java,703,NullifyInputVariable,throws ParseException {,throws ParseException { arguments = null;,75,reduced_nullify_input_other_filter
org/apache/commons/cli/Parser.java,240,NullifyInputVariable,"protected void processOption(final String arg, final ListIterator<String> iter) throws ParseException {","protected void processOption(final String arg, final ListIterator<String> iter) throws ParseException { iter = null;",26,reduced_nullify_final_param_non_compilable
org/apache/commons/cli/Parser.java,141,NullifyInputVariable,throws ParseException {,throws ParseException { properties = null;,30,reduced_nullify_input_other_filter
org/apache/commons/cli/HelpFormatter.java,980,NullifyInputVariable,protected String rtrim(final String s) {,protected String rtrim(final String s) { s = null;,70,reduced_nullify_final_param_non_compilable
org/apache/commons/cli/HelpFormatter.java,697,NullifyInputVariable,final boolean autoUsage) {,final boolean autoUsage) { options = null;,111,reduced_nullify_final_param_non_compilable
org/apache/commons/cli/Parser.java,123,NullifyInputVariable,"public CommandLine parse(final Options options, final String[] arguments, final Properties properties) throws ParseException {","public CommandLine parse(final Options options, final String[] arguments, final Properties properties) throws ParseException { options = null;",35,reduced_nullify_final_param_non_compilable
org/apache/commons/cli/HelpFormatter.java,737,NullifyInputVariable,"final int descPad, final String footer, final boolean autoUsage) {","final int descPad, final String footer, final boolean autoUsage) { pw = null;",104,reduced_nullify_final_param_non_compilable
org/apache/commons/cli/DefaultParser.java,703,NullifyInputVariable,throws ParseException {,throws ParseException { options = null;,76,reduced_nullify_input_other_filter
org/apache/commons/cli/Option.java,182,NullifyInputVariable,public Builder desc(final String description) {,public Builder desc(final String description) { description = null;,44,reduced_nullify_final_param_non_compilable
org/apache/commons/cli/HelpFormatter.java,533,NullifyInputVariable,private int determineMaxSinceLength(final Options options) {,private int determineMaxSinceLength(final Options options) { options = null;,119,reduced_nullify_final_param_non_compilable
org/apache/commons/cli/Option.java,224,NullifyInputVariable,public Builder longOpt(final String longOption) {,public Builder longOpt(final String longOption) { longOption = null;,43,reduced_nullify_final_param_non_compilable
org/apache/commons/cli/Option.java,374,NullifyInputVariable,public static Builder builder(final String option) {,public static Builder builder(final String option) { option = null;,39,reduced_nullify_final_param_non_compilable
