file,line,operator,before,after,mutant_id,paper_category
org/apache/commons/cli/AmbiguousOptionException.java,41,NullifyInputVariable,"private static String createMessage(final String option, final Collection<String> matchingOptions) {","private static String createMessage(final String option, final Collection<String> matchingOptions) { matchingOptions = null;",1,
org/apache/commons/cli/AmbiguousOptionException.java,41,NullifyInputVariable,"private static String createMessage(final String option, final Collection<String> matchingOptions) {","private static String createMessage(final String option, final Collection<String> matchingOptions) { option = null;",2,
org/apache/commons/cli/BasicParser.java,45,NullifyInputVariable,"@SuppressWarnings(""unused"") final boolean stopAtNonOption) {","@SuppressWarnings(""unused"") final boolean stopAtNonOption) { arguments = null;",1,
org/apache/commons/cli/BasicParser.java,45,NullifyInputVariable,"@SuppressWarnings(""unused"") final boolean stopAtNonOption) {","@SuppressWarnings(""unused"") final boolean stopAtNonOption) { options = null;",2,
org/apache/commons/cli/CommandLine.java,767,RelationalOperatorReplacement,if (i + 1 < values.size()) {,if (i + 1 >= values.size()) {,165,
org/apache/commons/cli/CommandLine.java,766,RelationalOperatorReplacement,for (int i = 0; i < values.size(); i += 2) {,for (int i = 0; i >= values.size(); i += 2) {,166,
org/apache/commons/cli/CommandLine.java,781,NullifyInputVariable,private Option resolveOption(final String opt) {,private Option resolveOption(final String opt) { opt = null;,30,
org/apache/commons/cli/CommandLine.java,765,NullifyInputVariable,"private void processPropertiesFromValues(final Properties props, final List<String> values) {","private void processPropertiesFromValues(final Properties props, final List<String> values) { values = null;",31,
org/apache/commons/cli/CommandLine.java,765,NullifyInputVariable,"private void processPropertiesFromValues(final Properties props, final List<String> values) {","private void processPropertiesFromValues(final Properties props, final List<String> values) { props = null;",32,
org/apache/commons/cli/CommandLine.java,745,NullifyInputVariable,public boolean hasOption(final String opt) {,public boolean hasOption(final String opt) { opt = null;,33,
org/apache/commons/cli/CommandLine.java,732,NullifyInputVariable,public boolean hasOption(final OptionGroup optionGroup) {,public boolean hasOption(final OptionGroup optionGroup) { optionGroup = null;,34,
org/apache/commons/cli/CommandLine.java,717,NullifyInputVariable,public boolean hasOption(final Option opt) {,public boolean hasOption(final Option opt) { opt = null;,35,
org/apache/commons/cli/CommandLine.java,676,NullifyInputVariable,private void handleDeprecated(final Option option) {,private void handleDeprecated(final Option option) { option = null;,36,
org/apache/commons/cli/CommandLine.java,667,NullifyInputVariable,"public <T> T getParsedOptionValue(final String opt, final T defaultValue) throws ParseException {","public <T> T getParsedOptionValue(final String opt, final T defaultValue) throws ParseException { defaultValue = null;",37,
org/apache/commons/cli/CommandLine.java,667,NullifyInputVariable,"public <T> T getParsedOptionValue(final String opt, final T defaultValue) throws ParseException {","public <T> T getParsedOptionValue(final String opt, final T defaultValue) throws ParseException { opt = null;",38,
org/apache/commons/cli/CommandLine.java,652,NullifyInputVariable,"public <T> T getParsedOptionValue(final String opt, final Supplier<T> defaultValue) throws ParseException {","public <T> T getParsedOptionValue(final String opt, final Supplier<T> defaultValue) throws ParseException { defaultValue = null;",39,
org/apache/commons/cli/CommandLine.java,652,NullifyInputVariable,"public <T> T getParsedOptionValue(final String opt, final Supplier<T> defaultValue) throws ParseException {","public <T> T getParsedOptionValue(final String opt, final Supplier<T> defaultValue) throws ParseException { opt = null;",40,
org/apache/commons/cli/CommandLine.java,637,NullifyInputVariable,public <T> T getParsedOptionValue(final String opt) throws ParseException {,public <T> T getParsedOptionValue(final String opt) throws ParseException { opt = null;,41,
org/apache/commons/cli/CommandLine.java,623,NullifyInputVariable,"public <T> T getParsedOptionValue(final OptionGroup optionGroup, final T defaultValue) throws ParseException {","public <T> T getParsedOptionValue(final OptionGroup optionGroup, final T defaultValue) throws ParseException { defaultValue = null;",42,
org/apache/commons/cli/CommandLine.java,623,NullifyInputVariable,"public <T> T getParsedOptionValue(final OptionGroup optionGroup, final T defaultValue) throws ParseException {","public <T> T getParsedOptionValue(final OptionGroup optionGroup, final T defaultValue) throws ParseException { optionGroup = null;",43,
org/apache/commons/cli/CommandLine.java,605,NullifyInputVariable,"public <T> T getParsedOptionValue(final OptionGroup optionGroup, final Supplier<T> defaultValue) throws ParseException {","public <T> T getParsedOptionValue(final OptionGroup optionGroup, final Supplier<T> defaultValue) throws ParseException { defaultValue = null;",44,
org/apache/commons/cli/CommandLine.java,605,NullifyInputVariable,"public <T> T getParsedOptionValue(final OptionGroup optionGroup, final Supplier<T> defaultValue) throws ParseException {","public <T> T getParsedOptionValue(final OptionGroup optionGroup, final Supplier<T> defaultValue) throws ParseException { optionGroup = null;",45,
org/apache/commons/cli/CommandLine.java,590,NullifyInputVariable,public <T> T getParsedOptionValue(final OptionGroup optionGroup) throws ParseException {,public <T> T getParsedOptionValue(final OptionGroup optionGroup) throws ParseException { optionGroup = null;,46,
org/apache/commons/cli/CommandLine.java,576,NullifyInputVariable,"public <T> T getParsedOptionValue(final Option option, final T defaultValue) throws ParseException {","public <T> T getParsedOptionValue(final Option option, final T defaultValue) throws ParseException { defaultValue = null;",47,
org/apache/commons/cli/CommandLine.java,576,NullifyInputVariable,"public <T> T getParsedOptionValue(final Option option, final T defaultValue) throws ParseException {","public <T> T getParsedOptionValue(final Option option, final T defaultValue) throws ParseException { option = null;",48,
org/apache/commons/cli/CommandLine.java,550,NullifyInputVariable,"public <T> T getParsedOptionValue(final Option option, final Supplier<T> defaultValue) throws ParseException {","public <T> T getParsedOptionValue(final Option option, final Supplier<T> defaultValue) throws ParseException { defaultValue = null;",49,
org/apache/commons/cli/CommandLine.java,550,NullifyInputVariable,"public <T> T getParsedOptionValue(final Option option, final Supplier<T> defaultValue) throws ParseException {","public <T> T getParsedOptionValue(final Option option, final Supplier<T> defaultValue) throws ParseException { option = null;",50,
