file,line,operator,before,after,mutant_id,paper_category
org/apache/commons/csv/CSVFormat.java,593,ArithmeticOperatorReplacementBinary,labels[i] = resultSetMetaData.getColumnLabel(i + 1);,labels[i] = resultSetMetaData.getColumnLabel(i - 1);,0,
org/apache/commons/csv/CSVFormat.java,781,ArithmeticOperatorReplacementBinary,this.quotedNullString = quoteCharacter + nullString + quoteCharacter;,this.quotedNullString = quoteCharacter - nullString + quoteCharacter;,1,
org/apache/commons/csv/CSVFormat.java,2030,ArithmeticOperatorReplacementBinary,"return prime * result + Objects.hash(allowMissingColumnNames, autoFlush, commentMarker, delimiter, duplicateHeaderMode, escapeCharacter,","return prime * result - Objects.hash(allowMissingColumnNames, autoFlush, commentMarker, delimiter, duplicateHeaderMode, escapeCharacter,",10,
org/apache/commons/csv/CSVFormat.java,1714,NullifyObjectInitialization,final StringWriter out = new StringWriter();,final StringWriter out = null;,100,
org/apache/commons/csv/CSVFormat.java,1715,NullifyObjectInitialization,"try (CSVPrinter csvPrinter = new CSVPrinter(out, this)) {",try (CSVPrinter csvPrinter = null) {,101,
org/apache/commons/csv/CSVFormat.java,2131,NullifyObjectInitialization,"return new CSVPrinter(out, this);",return null;,102,
org/apache/commons/csv/CSVFormat.java,2163,NullifyObjectInitialization,try (OutputStream outputStream = new Base64OutputStream(new AppendableOutputStream<>(out))) {,try (OutputStream outputStream = null) {,103,
org/apache/commons/csv/CSVFormat.java,2163,NullifyObjectInitialization,try (OutputStream outputStream = new Base64OutputStream(new AppendableOutputStream<>(out))) {,try (OutputStream outputStream = new Base64OutputStream(null)) {,104,
org/apache/commons/csv/CSVFormat.java,2273,NullifyObjectInitialization,"return new CSVPrinter(System.out, this);",return null;,105,
org/apache/commons/csv/CSVFormat.java,2362,NullifyObjectInitialization,final ExtendedBufferedReader bufferedReader = new ExtendedBufferedReader(reader);,final ExtendedBufferedReader bufferedReader = null;,106,
org/apache/commons/csv/CSVFormat.java,2366,NullifyObjectInitialization,final StringBuilder builder = new StringBuilder(IOUtils.DEFAULT_BUFFER_SIZE);,final StringBuilder builder = null;,107,
org/apache/commons/csv/CSVFormat.java,2373,NullifyObjectInitialization,final String test = builder.toString() + new String(lookAheadBuffer);,final String test = builder.toString() + null;,108,
org/apache/commons/csv/CSVFormat.java,2481,NullifyObjectInitialization,"throw new IllegalStateException(""Unexpected Quote value: "" + quoteModePolicy);",throw null;,109,
org/apache/commons/csv/CSVFormat.java,2061,ArithmeticOperatorReplacementBinary,if (startIndex + delimiterLength > len) {,if (startIndex - delimiterLength > len) {,11,
org/apache/commons/csv/CSVFormat.java,2536,NullifyObjectInitialization,final StringBuilder sb = new StringBuilder();,final StringBuilder sb = null;,110,
org/apache/commons/csv/CSVFormat.java,2606,NullifyObjectInitialization,"throw new IllegalArgumentException(""The quoteChar character and the delimiter cannot be the same ('"" + quoteCharacter + ""')"");",throw null;,111,
org/apache/commons/csv/CSVFormat.java,2609,NullifyObjectInitialization,"throw new IllegalArgumentException(""The escape character and the delimiter cannot be the same ('"" + escapeCharacter + ""')"");",throw null;,112,
org/apache/commons/csv/CSVFormat.java,2612,NullifyObjectInitialization,"throw new IllegalArgumentException(""The comment start character and the delimiter cannot be the same ('"" + commentMarker + ""')"");",throw null;,113,
org/apache/commons/csv/CSVFormat.java,2615,NullifyObjectInitialization,"throw new IllegalArgumentException(""The comment start character and the quoteChar cannot be the same ('"" + commentMarker + ""')"");",throw null;,114,
org/apache/commons/csv/CSVFormat.java,2618,NullifyObjectInitialization,"throw new IllegalArgumentException(""The comment start and the escape character cannot be the same ('"" + commentMarker + ""')"");",throw null;,115,
org/apache/commons/csv/CSVFormat.java,2621,NullifyObjectInitialization,"throw new IllegalArgumentException(""Quote mode set to NONE but no escape character is set"");",throw null;,116,
org/apache/commons/csv/CSVFormat.java,2625,NullifyObjectInitialization,final Set<String> dupCheckSet = new HashSet<>(headers.length);,final Set<String> dupCheckSet = null;,117,
org/apache/commons/csv/CSVFormat.java,2632,NullifyObjectInitialization,throw new IllegalArgumentException(String.format(,throw null;,118,
org/apache/commons/csv/CSVFormat.java,213,NullifyReturnValue,return new Builder(),return null;,119,
org/apache/commons/csv/CSVFormat.java,2065,ArithmeticOperatorReplacementBinary,if (charSeq.charAt(startIndex + i) != delimiter[i]) {,if (charSeq.charAt(startIndex - i) != delimiter[i]) {,12,
org/apache/commons/csv/CSVFormat.java,229,NullifyReturnValue,return new Builder(csvFormat);,return null;,120,
org/apache/commons/csv/CSVFormat.java,314,NullifyReturnValue,return get();,return null;,121,
org/apache/commons/csv/CSVFormat.java,325,NullifyReturnValue,return new CSVFormat(this);,return null;,122,
org/apache/commons/csv/CSVFormat.java,338,NullifyReturnValue,return this;,return null;,123,
org/apache/commons/csv/CSVFormat.java,351,NullifyReturnValue,return this;,return null;,124,
org/apache/commons/csv/CSVFormat.java,362,NullifyReturnValue,return this;,return null;,125,
org/apache/commons/csv/CSVFormat.java,401,NullifyReturnValue,return this;,return null;,126,
org/apache/commons/csv/CSVFormat.java,443,NullifyReturnValue,return this;,return null;,127,
org/apache/commons/csv/CSVFormat.java,453,NullifyReturnValue,return setDelimiter(String.valueOf(delimiter));,return null;,128,
org/apache/commons/csv/CSVFormat.java,470,NullifyReturnValue,return this;,return null;,129,
org/apache/commons/csv/CSVFormat.java,2344,ArithmeticOperatorReplacementBinary,start = pos + 1; // start on the current char after this one,start = pos - 1; // start on the current char after this one,13,
org/apache/commons/csv/CSVFormat.java,482,NullifyReturnValue,return this;,return null;,130,
org/apache/commons/csv/CSVFormat.java,494,NullifyReturnValue,return this;,return null;,131,
org/apache/commons/csv/CSVFormat.java,509,NullifyReturnValue,return this;,return null;,132,
org/apache/commons/csv/CSVFormat.java,540,NullifyReturnValue,return setHeader(header);,return null;,133,
org/apache/commons/csv/CSVFormat.java,564,NullifyReturnValue,return setHeader(resultSet != null ? resultSet.getMetaData() : null);,return null;,134,
org/apache/commons/csv/CSVFormat.java,596,NullifyReturnValue,return setHeader(labels);,return null;,135,
org/apache/commons/csv/CSVFormat.java,622,NullifyReturnValue,return this;,return null;,136,
org/apache/commons/csv/CSVFormat.java,663,NullifyReturnValue,return this;,return null;,137,
