file,line,operator,before,after,mutant_id,paper_category
org/apache/commons/csv/CSVFormat.java,2099,NullifyInputVariable,<T> IOStream<T> limit(final IOStream<T> stream) {,<T> IOStream<T> limit(final IOStream<T> stream) { stream = null;,149,reduced_nullify_final_param_non_compilable
org/apache/commons/csv/Lexer.java,512,NullifyInputVariable,void trimTrailingSpaces(final StringBuilder buffer) {,void trimTrailingSpaces(final StringBuilder buffer) { buffer = null;,31,reduced_nullify_final_param_non_compilable
org/apache/commons/csv/CSVPrinter.java,196,NullifyInputVariable,public synchronized void print(final Object value) throws IOException {,public synchronized void print(final Object value) throws IOException { value = null;,26,reduced_nullify_final_param_non_compilable
org/apache/commons/csv/CSVParser.java,320,NullifyInputVariable,"public static CSVParser parse(final File file, final Charset charset, final CSVFormat format) throws IOException {","public static CSVParser parse(final File file, final Charset charset, final CSVFormat format) throws IOException { file = null;",56,reduced_nullify_final_param_non_compilable
org/apache/commons/csv/Lexer.java,235,NullifyInputVariable,Token nextToken(final Token token) throws IOException {,Token nextToken(final Token token) throws IOException { token = null;,35,reduced_nullify_final_param_non_compilable
org/apache/commons/csv/CSVFormat.java,1854,RemoveMethod,public String[] getHeader() {,public String[] getHeader() {,312,reduced_remove_method_other
org/apache/commons/csv/CSVFormat.java,462,NullifyInputVariable,public Builder setDelimiter(final String delimiter) {,public Builder setDelimiter(final String delimiter) { delimiter = null;,180,reduced_nullify_final_param_non_compilable
org/apache/commons/csv/CSVParser.java,396,NullifyInputVariable,"public static CSVParser parse(final Reader reader, final CSVFormat format) throws IOException {","public static CSVParser parse(final Reader reader, final CSVFormat format) throws IOException { format = null;",46,reduced_nullify_final_param_non_compilable
org/apache/commons/csv/CSVParser.java,443,NullifyInputVariable,"public static CSVParser parse(final URL url, final Charset charset, final CSVFormat format) throws IOException {","public static CSVParser parse(final URL url, final Charset charset, final CSVFormat format) throws IOException { format = null;",41,reduced_nullify_final_param_non_compilable
org/apache/commons/csv/CSVFormat.java,802,NullifyInputVariable,public Builder setQuote(final Character quoteCharacter) {,public Builder setQuote(final Character quoteCharacter) { quoteCharacter = null;,170,reduced_nullify_final_param_non_compilable
org/apache/commons/csv/CSVParser.java,415,NullifyInputVariable,"public static CSVParser parse(final String string, final CSVFormat format) throws IOException {","public static CSVParser parse(final String string, final CSVFormat format) throws IOException { format = null;",44,reduced_nullify_final_param_non_compilable
org/apache/commons/csv/CSVFormat.java,1477,NullifyInputVariable,private static boolean isLineBreak(final Character c) {,private static boolean isLineBreak(final Character c) { c = null;,162,reduced_nullify_final_param_non_compilable
org/apache/commons/csv/CSVFormat.java,1807,RemoveMethod,char[] getDelimiterCharArray() {,char[] getDelimiterCharArray() {,320,reduced_remove_method_other
org/apache/commons/csv/CSVFormat.java,2934,NullifyInputVariable,public CSVFormat withHeaderComments(final Object... headerComments) {,public CSVFormat withHeaderComments(final Object... headerComments) { headerComments = null;,114,reduced_nullify_final_param_non_compilable
org/apache/commons/csv/CSVFormat.java,2283,NullifyInputVariable,public synchronized void println(final Appendable appendable) throws IOException {,public synchronized void println(final Appendable appendable) throws IOException { appendable = null;,133,reduced_nullify_final_param_non_compilable
org/apache/commons/csv/CSVFormat.java,2147,NullifyInputVariable,"public CSVPrinter print(final File out, final Charset charset) throws IOException {","public CSVPrinter print(final File out, final Charset charset) throws IOException { charset = null;",145,reduced_nullify_final_param_non_compilable
org/apache/commons/csv/CSVRecord.java,269,NullifyInputVariable,public boolean isSet(final String name) {,public boolean isSet(final String name) { name = null;,15,reduced_nullify_final_param_non_compilable
org/apache/commons/csv/CSVFormat.java,2315,NullifyInputVariable,"private void printWithEscapes(final CharSequence charSeq, final Appendable appendable) throws IOException {","private void printWithEscapes(final CharSequence charSeq, final Appendable appendable) throws IOException { charSeq = null;",130,reduced_nullify_final_param_non_compilable
org/apache/commons/csv/Lexer.java,75,NullifyInputVariable,private void appendNextEscapedCharacterToToken(final Token token) throws IOException {,private void appendNextEscapedCharacterToToken(final Token token) throws IOException { token = null;,36,reduced_nullify_final_param_non_compilable
org/apache/commons/csv/CSVFormat.java,228,NullifyInputVariable,public static Builder create(final CSVFormat csvFormat) {,public static Builder create(final CSVFormat csvFormat) { csvFormat = null;,182,reduced_nullify_final_param_non_compilable
org/apache/commons/csv/CSVFormat.java,1511,RemoveMethod,static String[] toStringArray(final Object[] values) {,static String[] toStringArray(final Object[] values) {,344,reduced_remove_method_other
org/apache/commons/csv/CSVFormat.java,2181,NullifyInputVariable,"public synchronized void print(final Object value, final Appendable out, final boolean newRecord) throws IOException {","public synchronized void print(final Object value, final Appendable out, final boolean newRecord) throws IOException { value = null;",142,reduced_nullify_final_param_non_compilable
org/apache/commons/csv/CSVFormat.java,2241,NullifyInputVariable,"public CSVPrinter print(final Path out, final Charset charset) throws IOException {","public CSVPrinter print(final Path out, final Charset charset) throws IOException { charset = null;",136,reduced_nullify_final_param_non_compilable
org/apache/commons/csv/CSVFormat.java,563,NullifyInputVariable,public Builder setHeader(final ResultSet resultSet) throws SQLException {,public Builder setHeader(final ResultSet resultSet) throws SQLException { resultSet = null;,176,reduced_nullify_final_param_non_compilable
org/apache/commons/csv/CSVFormat.java,3100,NullifyInputVariable,public CSVFormat withRecordSeparator(final String recordSeparator) {,public CSVFormat withRecordSeparator(final String recordSeparator) { recordSeparator = null;,110,reduced_nullify_final_param_non_compilable
org/apache/commons/csv/CSVPrinter.java,222,NullifyInputVariable,public synchronized void printComment(final String comment) throws IOException {,public synchronized void printComment(final String comment) throws IOException { comment = null;,25,reduced_nullify_final_param_non_compilable
