file,line,operator,before,after,mutant_id,paper_category
org/apache/commons/csv/CSVFormat.java,1808,NullifyReturnValue,return delimiter.toCharArray();,return null;,168,
org/apache/commons/csv/CSVFormat.java,592,RelationalOperatorReplacement,for (int i = 0; i < columnCount; i++) {,for (int i = 0; i <= columnCount; i++) {,224,
org/apache/commons/csv/CSVFormat.java,1435,RelationalOperatorReplacement,"return Objects.requireNonNull(source, ""source"").indexOf(searchCh) >= 0;","return Objects.requireNonNull(source, ""source"").indexOf(searchCh) > 0;",226,
org/apache/commons/csv/CSVFormat.java,1483,RelationalOperatorReplacement,return ch <= Constants.SP;,return ch < Constants.SP;,232,
org/apache/commons/csv/CSVFormat.java,1528,RelationalOperatorReplacement,"while (pos < len && isTrimChar(charSequence, pos)) {","while (pos <= len && isTrimChar(charSequence, pos)) {",234,
org/apache/commons/csv/CSVFormat.java,1531,RelationalOperatorReplacement,"while (pos < len && isTrimChar(charSequence, len - 1)) {","while (pos <= len && isTrimChar(charSequence, len - 1)) {",235,
org/apache/commons/csv/CSVFormat.java,1534,RelationalOperatorReplacement,"return pos > 0 || len < count ? charSequence.subSequence(pos, len) : charSequence;","return pos >= 0 || len < count ? charSequence.subSequence(pos, len) : charSequence;",236,
org/apache/commons/csv/CSVFormat.java,1534,RelationalOperatorReplacement,"return pos > 0 || len < count ? charSequence.subSequence(pos, len) : charSequence;","return pos > 0 || len <= count ? charSequence.subSequence(pos, len) : charSequence;",237,
org/apache/commons/csv/CSVFormat.java,2061,RelationalOperatorReplacement,if (startIndex + delimiterLength > len) {,if (startIndex + delimiterLength >= len) {,260,
org/apache/commons/csv/CSVFormat.java,2064,RelationalOperatorReplacement,for (int i = 1; i < delimiterLength; i++) {,for (int i = 1; i <= delimiterLength; i++) {,261,
org/apache/commons/csv/CSVFormat.java,2306,RelationalOperatorReplacement,for (int i = 0; i < values.length; i++) {,for (int i = 0; i <= values.length; i++) {,271,
org/apache/commons/csv/CSVFormat.java,2322,RelationalOperatorReplacement,while (pos < end) {,while (pos <= end) {,273,
org/apache/commons/csv/CSVFormat.java,2329,RelationalOperatorReplacement,if (pos > start) {,if (pos >= start) {,277,
org/apache/commons/csv/CSVFormat.java,2339,RelationalOperatorReplacement,for (int i = 1; i < delimLength; i++) {,for (int i = 1; i <= delimLength; i++) {,278,
org/apache/commons/csv/CSVFormat.java,2350,RelationalOperatorReplacement,if (pos > start) {,if (pos >= start) {,279,
org/apache/commons/csv/CSVFormat.java,2379,RelationalOperatorReplacement,if (pos > start) {,if (pos >= start) {,284,
org/apache/commons/csv/CSVFormat.java,2391,RelationalOperatorReplacement,for (int i = 1; i < delimLength; i++) {,for (int i = 1; i <= delimLength; i++) {,285,
org/apache/commons/csv/CSVFormat.java,2400,RelationalOperatorReplacement,if (pos > start) {,if (pos >= start) {,286,
org/apache/commons/csv/CSVFormat.java,2438,RelationalOperatorReplacement,if (len <= 0) {,if (len < 0) {,288,
org/apache/commons/csv/CSVFormat.java,2448,RelationalOperatorReplacement,if (c <= Constants.COMMENT) {,if (c < Constants.COMMENT) {,289,
org/apache/commons/csv/CSVFormat.java,2454,RelationalOperatorReplacement,while (pos < len) {,while (pos <= len) {,290,
