file,line,operator,before,after,mutant_id,paper_category
org/apache/commons/dbutils/AbstractQueryRunner.java,664,NullifyReturnValue,return rs;,return null;,1,
org/apache/commons/dbutils/AbstractQueryRunner.java,519,RemoveNullCheck,if (this.getDataSource() == null) {,if (false) {,10,
org/apache/commons/dbutils/AbstractQueryRunner.java,372,RelationalOperatorReplacement,for (int i = 0; i < properties.length; i++) {,for (int i = 0; i >= properties.length; i++) {,100,
org/apache/commons/dbutils/AbstractQueryRunner.java,329,RelationalOperatorReplacement,if (call != null && params[i] instanceof OutParameter) {,if (call == null && params[i] instanceof OutParameter) {,101,
org/apache/commons/dbutils/AbstractQueryRunner.java,328,RelationalOperatorReplacement,if (params[i] != null) {,if (params[i] == null) {,102,
org/apache/commons/dbutils/AbstractQueryRunner.java,327,RelationalOperatorReplacement,for (int i = 0; i < params.length; i++) {,for (int i = 0; i >= params.length; i++) {,103,
org/apache/commons/dbutils/AbstractQueryRunner.java,318,RelationalOperatorReplacement,if (params == null) {,if (params != null) {,104,
org/apache/commons/dbutils/AbstractQueryRunner.java,311,RelationalOperatorReplacement,if (stmtCount != paramsCount) {,if (stmtCount == paramsCount) {,105,
org/apache/commons/dbutils/AbstractQueryRunner.java,309,RelationalOperatorReplacement,final int paramsCount = params == null ? 0 : params.length;,final int paramsCount = params != null ? 0 : params.length;,106,
org/apache/commons/dbutils/AbstractQueryRunner.java,307,RelationalOperatorReplacement,if (!pmdKnownBroken && pmd != null) {,if (!pmdKnownBroken && pmd == null) {,107,
org/apache/commons/dbutils/AbstractQueryRunner.java,278,RelationalOperatorReplacement,if (pmd == null) { // can be returned by implementations that don't support the method,if (pmd != null) { // can be returned by implementations that don't support the method,108,
org/apache/commons/dbutils/AbstractQueryRunner.java,238,RelationalOperatorReplacement,if (stmtConfig != null) {,if (stmtConfig == null) {,109,
org/apache/commons/dbutils/AbstractQueryRunner.java,417,RemoveNullCheck,if (propertyName == null) {,if (false) {,11,
org/apache/commons/dbutils/AbstractQueryRunner.java,376,RemoveNullCheck,if (method == null) {,if (false) {,12,
org/apache/commons/dbutils/AbstractQueryRunner.java,329,RemoveNullCheck,if (call != null && params[i] instanceof OutParameter) {,if (true && params[i] instanceof OutParameter) {,13,
org/apache/commons/dbutils/AbstractQueryRunner.java,328,RemoveNullCheck,if (params[i] != null) {,if (true) {,14,
org/apache/commons/dbutils/AbstractQueryRunner.java,318,RemoveNullCheck,if (params == null) {,if (false) {,15,
org/apache/commons/dbutils/AbstractQueryRunner.java,309,RemoveNullCheck,final int paramsCount = params == null ? 0 : params.length;,final int paramsCount = false ? 0 : params.length;,16,
org/apache/commons/dbutils/AbstractQueryRunner.java,307,RemoveNullCheck,if (!pmdKnownBroken && pmd != null) {,if (!pmdKnownBroken && true) {,17,
org/apache/commons/dbutils/AbstractQueryRunner.java,278,RemoveNullCheck,if (pmd == null) { // can be returned by implementations that don't support the method,if (false) { // can be returned by implementations that don't support the method,18,
org/apache/commons/dbutils/AbstractQueryRunner.java,238,RemoveNullCheck,if (stmtConfig != null) {,if (true) {,19,
org/apache/commons/dbutils/AbstractQueryRunner.java,594,NullifyReturnValue,return ps;,return null;,2,
org/apache/commons/dbutils/AbstractQueryRunner.java,458,ConditionalOperatorDeletion,if (!pmdKnownBroken) {,if ( pmdKnownBroken) {,20,
org/apache/commons/dbutils/AbstractQueryRunner.java,428,ConditionalOperatorDeletion,if (!found) {,if ( found) {,21,
