file,line,operator,before,after,mutant_id,paper_category
org/apache/commons/dbutils/AbstractQueryRunner.java,330,ArithmeticOperatorReplacementBinary,"((OutParameter<?>) params[i]).register(call, i + 1);","((OutParameter<?>) params[i]).register(call, i - 1);",0,
org/apache/commons/dbutils/AbstractQueryRunner.java,332,ArithmeticOperatorReplacementBinary,"stmt.setObject(i + 1, params[i]);","stmt.setObject(i - 1, params[i]);",1,
org/apache/commons/dbutils/AbstractQueryRunner.java,428,ConditionalOperatorDeletion,if (!found) {,if ( found) {,10,
org/apache/commons/dbutils/AbstractQueryRunner.java,458,ConditionalOperatorDeletion,if (!pmdKnownBroken) {,if ( pmdKnownBroken) {,11,
org/apache/commons/dbutils/AbstractQueryRunner.java,307,ConditionalOperatorReplacement,if (!pmdKnownBroken && pmd != null) {,if (!pmdKnownBroken || pmd != null) {,12,
org/apache/commons/dbutils/AbstractQueryRunner.java,329,ConditionalOperatorReplacement,if (call != null && params[i] instanceof OutParameter) {,if (call != null || params[i] instanceof OutParameter) {,13,
org/apache/commons/dbutils/AbstractQueryRunner.java,312,NullifyObjectInitialization,"throw new SQLException(""Wrong number of parameters: expected """,throw null;,14,
org/apache/commons/dbutils/AbstractQueryRunner.java,377,NullifyObjectInitialization,"throw new IllegalArgumentException(""No read method for bean property "" + bean.getClass() + "" "" + property.getName());",throw null;,15,
org/apache/commons/dbutils/AbstractQueryRunner.java,382,NullifyObjectInitialization,"throw new IllegalArgumentException(""Couldn't invoke method with 0 arguments: "" + method, e);",throw null;,16,
org/apache/commons/dbutils/AbstractQueryRunner.java,384,NullifyObjectInitialization,"throw new IllegalArgumentException(""Couldn't invoke method: "" + method, e);",throw null;,17,
org/apache/commons/dbutils/AbstractQueryRunner.java,412,NullifyObjectInitialization,"throw new RuntimeException(""Couldn't introspect bean "" + bean.getClass().toString(), e);",throw null;,18,
org/apache/commons/dbutils/AbstractQueryRunner.java,418,NullifyObjectInitialization,"throw new NullPointerException(""propertyName can't be null: "" + i);",throw null;,19,
org/apache/commons/dbutils/AbstractQueryRunner.java,345,ArithmeticOperatorReplacementBinary,sqlType = pmd.getParameterType(i + 1);,sqlType = pmd.getParameterType(i - 1);,2,
org/apache/commons/dbutils/AbstractQueryRunner.java,429,NullifyObjectInitialization,"throw new IllegalStateException(""Couldn't find bean property: "" + bean.getClass() + "" "" + propertyName);",throw null;,20,
org/apache/commons/dbutils/AbstractQueryRunner.java,520,NullifyObjectInitialization,throw new SQLException(,throw null;,21,
org/apache/commons/dbutils/AbstractQueryRunner.java,621,NullifyObjectInitialization,final StringBuilder msg = new StringBuilder(causeMessage);,final StringBuilder msg = null;,22,
org/apache/commons/dbutils/AbstractQueryRunner.java,633,NullifyObjectInitialization,"final SQLException e = new SQLException(msg.toString(), cause.getSQLState(),",final SQLException e = null;,23,
org/apache/commons/dbutils/AbstractQueryRunner.java,443,NullifyReturnValue,return this.ds;,return null;,24,
org/apache/commons/dbutils/AbstractQueryRunner.java,465,NullifyReturnValue,return pmd;,return null;,25,
org/apache/commons/dbutils/AbstractQueryRunner.java,503,NullifyReturnValue,return conn.prepareCall(sql);,return null;,26,
