file,line,operator,before,after,mutant_id,paper_category
org/apache/commons/dbutils/BasicRowProcessor.java,234,NullifyInputVariable,"public <T> List<T> toBeanList(final ResultSet resultSet, final Class<? extends T> type) throws SQLException {","public <T> List<T> toBeanList(final ResultSet resultSet, final Class<? extends T> type) throws SQLException { type = null;",16,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/AsyncQueryRunner.java,430,NullifyInputVariable,"public <T> Future<T> query(final Connection conn, final String sql, final ResultSetHandler<T> rsh) throws SQLException {","public <T> Future<T> query(final Connection conn, final String sql, final ResultSetHandler<T> rsh) throws SQLException { rsh = null;",43,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/BaseResultSetHandler.java,1338,NullifyInputVariable,"protected final void updateRowId(final String columnLabel, final RowId x) throws SQLException {","protected final void updateRowId(final String columnLabel, final RowId x) throws SQLException { x = null;",72,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/BaseResultSetHandler.java,876,NullifyInputVariable,"protected final void updateAsciiStream(final String columnLabel, final InputStream x, final int length) throws SQLException {","protected final void updateAsciiStream(final String columnLabel, final InputStream x, final int length) throws SQLException { x = null;",154,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/AsyncQueryRunner.java,506,NullifyInputVariable,"public Future<Integer> update(final Connection conn, final String sql, final Object param) throws SQLException {","public Future<Integer> update(final Connection conn, final String sql, final Object param) throws SQLException { param = null;",29,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/BaseResultSetHandler.java,1079,NullifyInputVariable,"protected final void updateClob(final int columnIndex, final Reader reader) throws SQLException {","protected final void updateClob(final int columnIndex, final Reader reader) throws SQLException { reader = null;",117,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/handlers/columns/StringColumnHandler.java,27,NullifyInputVariable,"public String apply(final ResultSet resultSet, final int columnIndex) throws SQLException {","public String apply(final ResultSet resultSet, final int columnIndex) throws SQLException { resultSet = null;",3,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/wrappers/StringTrimmedResultSet.java,90,NullifyInputVariable,throws Throwable {,throws Throwable { args = null;,5,reduced_nullify_input_other_filter
org/apache/commons/dbutils/handlers/columns/StringColumnHandler.java,32,NullifyInputVariable,public boolean match(final Class<?> propType) {,public boolean match(final Class<?> propType) { propType = null;,2,reduced_nullify_final_param_non_compilable
org/apache/commons/dbutils/BeanProcessor.java,392,NullifyInputVariable,throws SQLException {,throws SQLException { propType = null;,39,reduced_nullify_input_other_filter
