file,line,operator,before,after,mutant_id,paper_category
org/apache/commons/dbutils/AbstractQueryRunner.java,327,RelationalOperatorReplacement,for (int i = 0; i < params.length; i++) {,for (int i = 0; i <= params.length; i++) {,37,
org/apache/commons/dbutils/AbstractQueryRunner.java,372,RelationalOperatorReplacement,for (int i = 0; i < properties.length; i++) {,for (int i = 0; i <= properties.length; i++) {,40,
org/apache/commons/dbutils/AbstractQueryRunner.java,415,RelationalOperatorReplacement,for (int i = 0; i < propertyNames.length; i++) {,for (int i = 0; i <= propertyNames.length; i++) {,42,
org/apache/commons/dbutils/AsyncQueryRunner.java,90,NullifyReturnValue,return ret;,return null;,81,
org/apache/commons/dbutils/BaseResultSetHandler.java,246,NullifyReturnValue,return resultSet.getBytes(columnIndex);,return null;,137,
org/apache/commons/dbutils/BaseResultSetHandler.java,253,NullifyReturnValue,return resultSet.getBytes(columnLabel);,return null;,138,
org/apache/commons/dbutils/BasicRowProcessor.java,198,RelationalOperatorReplacement,for (int i = 0; i < cols; i++) {,for (int i = 0; i <= cols; i++) {,437,
org/apache/commons/dbutils/BasicRowProcessor.java,260,RelationalOperatorReplacement,for (int i = 1; i <= cols; i++) {,for (int i = 1; i < cols; i++) {,438,
org/apache/commons/dbutils/BeanProcessor.java,259,NullifyReturnValue,return columnToProperty;,return null;,485,
org/apache/commons/dbutils/BeanProcessor.java,221,RelationalOperatorReplacement,for (int col = 1; col <= cols; col++) {,for (int col = 1; col < cols; col++) {,499,
org/apache/commons/dbutils/BeanProcessor.java,234,RelationalOperatorReplacement,for (int i = 0; i < props.length; i++) {,for (int i = 0; i <= props.length; i++) {,504,
org/apache/commons/dbutils/BeanProcessor.java,340,RelationalOperatorReplacement,for (int i = 1; i < columnToProperty.length; i++) {,for (int i = 1; i <= columnToProperty.length; i++) {,508,
org/apache/commons/dbutils/GenerousBeanProcessor.java,71,NullifyReturnValue,return columnToProperty;,return null;,602,
org/apache/commons/dbutils/GenerousBeanProcessor.java,48,RelationalOperatorReplacement,for (int col = 1; col <= cols; col++) {,for (int col = 1; col < cols; col++) {,603,
org/apache/commons/dbutils/GenerousBeanProcessor.java,59,RelationalOperatorReplacement,for (int i = 0; i < props.length; i++) {,for (int i = 0; i <= props.length; i++) {,606,
org/apache/commons/dbutils/QueryRunner.java,166,NullifyReturnValue,return rows;,return null;,683,
org/apache/commons/dbutils/QueryRunner.java,184,NullifyReturnValue,"return this.batch(conn, sql, params);",return null;,684,
org/apache/commons/dbutils/QueryRunner.java,399,RelationalOperatorReplacement,if (params != null && params.length > 0) {,if (params != null && params.length >= 0) {,713,
org/apache/commons/dbutils/QueryRunner.java,602,RelationalOperatorReplacement,if (params != null && params.length > 0) {,if (params != null && params.length >= 0) {,721,
org/apache/commons/dbutils/QueryRunner.java,716,RelationalOperatorReplacement,for (int i = 0; i < params.length; i++) {,for (int i = 0; i <= params.length; i++) {,723,
org/apache/commons/dbutils/QueryRunner.java,773,RelationalOperatorReplacement,if (params != null && params.length > 0) {,if (params != null && params.length >= 0) {,727,
org/apache/commons/dbutils/StatementConfiguration.java,129,RelationalOperatorReplacement,if (queryTimeout != null && queryTimeout.getSeconds() > Integer.MAX_VALUE) {,if (queryTimeout != null && queryTimeout.getSeconds() >= Integer.MAX_VALUE) {,817,
org/apache/commons/dbutils/wrappers/SqlNullCheckedResultSet.java,221,NullifyReturnValue,return null;,return null;,976,
org/apache/commons/dbutils/wrappers/SqlNullCheckedResultSet.java,223,NullifyReturnValue,return this.nullBytes.clone();,return null;,977,
