file,line,operator,before,after,mutant_id,paper_category
org/apache/commons/lang3/AnnotationUtils.java,265,ArithmeticOperatorReplacementBinary,final int part1 = name.hashCode() * 127;,final int part1 = name.hashCode() / 127;,0,
org/apache/commons/lang3/AnnotationUtils.java,103,ArithmeticOperatorReplacementShortcut,for (int i = 0; i < a1.length; i++) {,for (int i = 0; i < a1.length; i--) {,1,
org/apache/commons/lang3/AnnotationUtils.java,293,ConditionalOperatorReplacement,return type.isPrimitive() || type.isEnum() || type.isAnnotation(),return type.isPrimitive() || type.isEnum() || type.isAnnotation(),10,
org/apache/commons/lang3/AnnotationUtils.java,293,ConditionalOperatorReplacement,return type.isPrimitive() || type.isEnum() || type.isAnnotation(),return type.isPrimitive() || type.isEnum() || type.isAnnotation(),11,
org/apache/commons/lang3/AnnotationUtils.java,311,ConditionalOperatorReplacement,if (o1 == null || o2 == null) {,if (o1 == null && o2 == null) {,12,
org/apache/commons/lang3/AnnotationUtils.java,267,LogicalOperatorReplacement,"return part1 ^ arrayMemberHash(value.getClass().getComponentType(), value);","return part1 & arrayMemberHash(value.getClass().getComponentType(), value);",13,
org/apache/commons/lang3/AnnotationUtils.java,270,LogicalOperatorReplacement,return part1 ^ hashCode((Annotation) value);,return part1 & hashCode((Annotation) value);,14,
org/apache/commons/lang3/AnnotationUtils.java,272,LogicalOperatorReplacement,return part1 ^ value.hashCode();,return part1 & value.hashCode();,15,
org/apache/commons/lang3/AnnotationUtils.java,71,NullifyInputVariable,"protected void appendDetail(final StringBuffer buffer, final String fieldName, Object value) {","protected void appendDetail(final StringBuffer buffer, final String fieldName, Object value) { value = null;",16,
org/apache/commons/lang3/AnnotationUtils.java,286,NullifyInputVariable,public static boolean isValidAnnotationMemberType(Class<?> type) {,public static boolean isValidAnnotationMemberType(Class<?> type) { type = null;,17,
org/apache/commons/lang3/AnnotationUtils.java,246,NullifyObjectInitialization,"throw new IllegalStateException(String.format(""Annotation method %s returned null"", m));",throw null;,18,
org/apache/commons/lang3/AnnotationUtils.java,250,NullifyObjectInitialization,throw new UncheckedException(ex);,throw null;,19,
org/apache/commons/lang3/AnnotationUtils.java,248,AssignmentOperatorReplacementShortcut,"result += hashMember(m.getName(), value);","result -= hashMember(m.getName(), value);",2,
org/apache/commons/lang3/AnnotationUtils.java,332,NullifyObjectInitialization,"final ToStringBuilder builder = new ToStringBuilder(a, TO_STRING_STYLE);",final ToStringBuilder builder = null;,20,
org/apache/commons/lang3/AnnotationUtils.java,340,NullifyObjectInitialization,throw new UncheckedException(ex);,throw null;,21,
org/apache/commons/lang3/AnnotationUtils.java,84,NullifyReturnValue,return ClassUtils.getAllInterfaces(cls).stream().filter(Annotation.class::isAssignableFrom).findFirst(),return null;,22,
org/apache/commons/lang3/AnnotationUtils.java,343,NullifyReturnValue,return builder.build();,return null;,23,
org/apache/commons/lang3/AnnotationUtils.java,100,RelationalOperatorReplacement,if (a1.length != a2.length) {,if (a1.length == a2.length) {,24,
org/apache/commons/lang3/AnnotationUtils.java,103,RelationalOperatorReplacement,for (int i = 0; i < a1.length; i++) {,for (int i = 0; i <= a1.length; i++) {,25,
org/apache/commons/lang3/AnnotationUtils.java,197,RelationalOperatorReplacement,if (a1 == a2) {,if (a1 != a2) {,26,
org/apache/commons/lang3/AnnotationUtils.java,200,RelationalOperatorReplacement,if (a1 == null || a2 == null) {,if (a1 != null || a2 == null) {,27,
org/apache/commons/lang3/AnnotationUtils.java,200,RelationalOperatorReplacement,if (a1 == null || a2 == null) {,if (a1 == null || a2 != null) {,28,
org/apache/commons/lang3/AnnotationUtils.java,212,RelationalOperatorReplacement,if (m.getParameterTypes().length == 0,if (m.getParameterTypes().length != 0,29,
org/apache/commons/lang3/AnnotationUtils.java,104,ConditionalOperatorDeletion,"if (!equals(a1[i], a2[i])) {","if ( equals(a1[i], a2[i])) {",3,
org/apache/commons/lang3/AnnotationUtils.java,245,RelationalOperatorReplacement,if (value == null) {,if (value != null) {,30,
org/apache/commons/lang3/AnnotationUtils.java,287,RelationalOperatorReplacement,if (type == null) {,if (type != null) {,31,
org/apache/commons/lang3/AnnotationUtils.java,308,RelationalOperatorReplacement,if (o1 == o2) {,if (o1 != o2) {,32,
org/apache/commons/lang3/AnnotationUtils.java,311,RelationalOperatorReplacement,if (o1 == null || o2 == null) {,if (o1 != null || o2 == null) {,33,
org/apache/commons/lang3/AnnotationUtils.java,311,RelationalOperatorReplacement,if (o1 == null || o2 == null) {,if (o1 == null || o2 != null) {,34,
org/apache/commons/lang3/AnnotationUtils.java,334,RelationalOperatorReplacement,if (m.getParameterTypes().length > 0) {,if (m.getParameterTypes().length >= 0) {,35,
org/apache/commons/lang3/AnnotationUtils.java,71,RemoveMethod,"protected void appendDetail(final StringBuffer buffer, final String fieldName, Object value) {","protected void appendDetail(final StringBuffer buffer, final String fieldName, Object value) {",36,
org/apache/commons/lang3/AnnotationUtils.java,82,RemoveMethod,protected String getShortClassName(final Class<?> cls) {,protected String getShortClassName(final Class<?> cls) {,37,
org/apache/commons/lang3/AnnotationUtils.java,82,RemoveMethod,protected String getShortClassName(final Class<?> cls) {,protected String getShortClassName(final Class<?> cls) {,38,
org/apache/commons/lang3/AnnotationUtils.java,99,RemoveMethod,"private static boolean annotationArrayMemberEquals(final Annotation[] a1, final Annotation[] a2) {","private static boolean annotationArrayMemberEquals(final Annotation[] a1, final Annotation[] a2) {",39,
org/apache/commons/lang3/AnnotationUtils.java,207,ConditionalOperatorDeletion,if (!type1.equals(type2)) {,if ( type1.equals(type2)) {,4,
org/apache/commons/lang3/AnnotationUtils.java,99,RemoveMethod,"private static boolean annotationArrayMemberEquals(final Annotation[] a1, final Annotation[] a2) {","private static boolean annotationArrayMemberEquals(final Annotation[] a1, final Annotation[] a2) {",40,
org/apache/commons/lang3/AnnotationUtils.java,119,RemoveMethod,"private static boolean arrayMemberEquals(final Class<?> componentType, final Object o1, final Object o2) {","private static boolean arrayMemberEquals(final Class<?> componentType, final Object o1, final Object o2) {",41,
org/apache/commons/lang3/AnnotationUtils.java,119,RemoveMethod,"private static boolean arrayMemberEquals(final Class<?> componentType, final Object o1, final Object o2) {","private static boolean arrayMemberEquals(final Class<?> componentType, final Object o1, final Object o2) {",42,
org/apache/commons/lang3/AnnotationUtils.java,157,RemoveMethod,"private static int arrayMemberHash(final Class<?> componentType, final Object o) {","private static int arrayMemberHash(final Class<?> componentType, final Object o) {",43,
org/apache/commons/lang3/AnnotationUtils.java,157,RemoveMethod,"private static int arrayMemberHash(final Class<?> componentType, final Object o) {","private static int arrayMemberHash(final Class<?> componentType, final Object o) {",44,
org/apache/commons/lang3/AnnotationUtils.java,196,RemoveMethod,"public static boolean equals(final Annotation a1, final Annotation a2) {","public static boolean equals(final Annotation a1, final Annotation a2) {",45,
org/apache/commons/lang3/AnnotationUtils.java,196,RemoveMethod,"public static boolean equals(final Annotation a1, final Annotation a2) {","public static boolean equals(final Annotation a1, final Annotation a2) {",46,
org/apache/commons/lang3/AnnotationUtils.java,239,RemoveMethod,public static int hashCode(final Annotation a) {,public static int hashCode(final Annotation a) {,47,
org/apache/commons/lang3/AnnotationUtils.java,239,RemoveMethod,public static int hashCode(final Annotation a) {,public static int hashCode(final Annotation a) {,48,
