file,line,operator,before,after,mutant_id,paper_category
org/apache/commons/lang3/StringUtils.java,692,NullifyInputVariable,public static String chomp(final String str) {,public static String chomp(final String str) { str = null;,1225,reduced_nullify_final_param_non_compilable
org/apache/commons/lang3/AppendableJoiner.java,201,NullifyInputVariable,"final FailableBiConsumer<Appendable, T, IOException> appender, final Iterable<T> elements) {","final FailableBiConsumer<Appendable, T, IOException> appender, final Iterable<T> elements) { stringBuilder = null;",47,reduced_nullify_final_param_non_compilable
org/apache/commons/lang3/Range.java,48,NullifyInputVariable,"public int compare(final Object obj1, final Object obj2) {","public int compare(final Object obj1, final Object obj2) { obj2 = null;",69,reduced_nullify_final_param_non_compilable
org/apache/commons/lang3/builder/EqualsBuilder.java,294,NullifyInputVariable,"public static boolean reflectionEquals(final Object lhs, final Object rhs, final Collection<String> excludeFields) {","public static boolean reflectionEquals(final Object lhs, final Object rhs, final Collection<String> excludeFields) { rhs = null;",179,reduced_nullify_final_param_non_compilable
org/apache/commons/lang3/time/FastDateParser.java,584,NullifyInputVariable,"void setCalendar(final FastDateParser parser, final Calendar calendar, final String timeZone) {","void setCalendar(final FastDateParser parser, final Calendar calendar, final String timeZone) { parser = null;",125,reduced_nullify_final_param_non_compilable
org/apache/commons/lang3/StringUtils.java,3827,NullifyInputVariable,public static boolean isNumeric(final CharSequence cs) {,public static boolean isNumeric(final CharSequence cs) { cs = null;,1101,reduced_nullify_final_param_non_compilable
org/apache/commons/lang3/Validate.java,590,NullifyInputVariable,"public static void matchesPattern(final CharSequence input, final String pattern) {","public static void matchesPattern(final CharSequence input, final String pattern) { input = null;",114,reduced_nullify_final_param_non_compilable
org/apache/commons/lang3/time/DateUtils.java,344,NullifyInputVariable,"public static Calendar ceiling(final Calendar calendar, final int field) {","public static Calendar ceiling(final Calendar calendar, final int field) { calendar = null;",164,reduced_nullify_final_param_non_compilable
org/apache/commons/lang3/exception/ExceptionUtils.java,347,RemoveMethod,public static String[] getRootCauseStackTrace(final Throwable throwable) {,public static String[] getRootCauseStackTrace(final Throwable throwable) {,186,reduced_remove_method_other
org/apache/commons/lang3/exception/ExceptionUtils.java,886,NullifyInputVariable,public static <T> T rethrow(final Throwable throwable) {,public static <T> T rethrow(final Throwable throwable) { throwable = null;,91,reduced_nullify_final_param_non_compilable
org/apache/commons/lang3/text/ExtendedMessageFormat.java,391,NullifyInputVariable,"private String parseFormatDescription(final String pattern, final ParsePosition pos) {","private String parseFormatDescription(final String pattern, final ParsePosition pos) { pattern = null;",49,reduced_nullify_final_param_non_compilable
org/apache/commons/lang3/builder/HashCodeBuilder.java,338,NullifyInputVariable,"final boolean testTransients, final Class<? super T> reflectUpToClass, final String... excludeFields) {","final boolean testTransients, final Class<? super T> reflectUpToClass, final String... excludeFields) { reflectUpToClass = null;",90,reduced_nullify_final_param_non_compilable
org/apache/commons/lang3/ClassUtils.java,348,NullifyInputVariable,public static List<Class<?>> getAllInterfaces(final Class<?> cls) {,public static List<Class<?>> getAllInterfaces(final Class<?> cls) { cls = null;,240,reduced_nullify_final_param_non_compilable
org/apache/commons/lang3/builder/ToStringBuilder.java,483,NullifyInputVariable,"public ToStringBuilder append(final String fieldName, final boolean value) {","public ToStringBuilder append(final String fieldName, final boolean value) { fieldName = null;",99,reduced_nullify_final_param_non_compilable
org/apache/commons/lang3/builder/ToStringStyle.java,416,NullifyInputVariable,private boolean isJsonObject(final String valueAsString) {,private boolean isJsonObject(final String valueAsString) { valueAsString = null;,269,reduced_nullify_final_param_non_compilable
org/apache/commons/lang3/ObjectUtils.java,612,NullifyInputVariable,"public static boolean equals(final Object object1, final Object object2) {","public static boolean equals(final Object object1, final Object object2) { object1 = null;",112,reduced_nullify_final_param_non_compilable
