file,line,operator,before,after,mutant_id,paper_category
org/apache/commons/lang3/AnnotationUtils.java,103,RelationalOperatorReplacement,for (int i = 0; i < a1.length; i++) {,for (int i = 0; i <= a1.length; i++) {,25,
org/apache/commons/lang3/AnnotationUtils.java,334,RelationalOperatorReplacement,if (m.getParameterTypes().length > 0) {,if (m.getParameterTypes().length >= 0) {,35,
org/apache/commons/lang3/AppendableJoiner.java,187,RelationalOperatorReplacement,if (elements.length > 0) {,if (elements.length >= 0) {,85,
org/apache/commons/lang3/AppendableJoiner.java,190,RelationalOperatorReplacement,for (int i = 1; i < elements.length; i++) {,for (int i = 1; i <= elements.length; i++) {,86,
org/apache/commons/lang3/ArrayFill.java,41,NullifyReturnValue,return a;,return null;,137,
org/apache/commons/lang3/ArrayFill.java,56,NullifyReturnValue,return a;,return null;,138,
org/apache/commons/lang3/ArrayFill.java,71,NullifyReturnValue,return a;,return null;,139,
org/apache/commons/lang3/ArrayFill.java,86,NullifyReturnValue,return a;,return null;,140,
org/apache/commons/lang3/ArrayFill.java,101,NullifyReturnValue,return a;,return null;,141,
org/apache/commons/lang3/ArrayFill.java,116,NullifyReturnValue,return a;,return null;,142,
org/apache/commons/lang3/ArrayFill.java,131,NullifyReturnValue,return a;,return null;,143,
org/apache/commons/lang3/ArraySorter.java,41,NullifyReturnValue,return array;,return null;,169,
org/apache/commons/lang3/ArraySorter.java,55,NullifyReturnValue,return array;,return null;,170,
org/apache/commons/lang3/ArraySorter.java,69,NullifyReturnValue,return array;,return null;,171,
org/apache/commons/lang3/ArraySorter.java,83,NullifyReturnValue,return array;,return null;,172,
org/apache/commons/lang3/ArraySorter.java,97,NullifyReturnValue,return array;,return null;,173,
org/apache/commons/lang3/ArraySorter.java,111,NullifyReturnValue,return array;,return null;,174,
org/apache/commons/lang3/ArraySorter.java,125,NullifyReturnValue,return array;,return null;,175,
org/apache/commons/lang3/BooleanUtils.java,379,NullifyReturnValue,"return new boolean[] {false, true};",return null;,310,
org/apache/commons/lang3/CachedRandomBits.java,62,RelationalOperatorReplacement,if (cacheSize <= 0) {,if (cacheSize < 0) {,547,
org/apache/commons/lang3/CachedRandomBits.java,78,RelationalOperatorReplacement,if (bits > 32 || bits <= 0) {,if (bits >= 32 || bits <= 0) {,548,
org/apache/commons/lang3/CachedRandomBits.java,78,RelationalOperatorReplacement,if (bits > 32 || bits <= 0) {,if (bits > 32 || bits < 0) {,549,
org/apache/commons/lang3/CachedRandomBits.java,83,RelationalOperatorReplacement,while (generatedBits < bits) {,while (generatedBits <= bits) {,550,
org/apache/commons/lang3/CachedRandomBits.java,84,RelationalOperatorReplacement,if (bitIndex >> 3 >= cache.length) {,if (bitIndex >> 3 > cache.length) {,551,
org/apache/commons/lang3/CharRange.java,113,RelationalOperatorReplacement,} else if (current < range.end) {,} else if (current <= range.end) {,602,
org/apache/commons/lang3/CharRange.java,227,RelationalOperatorReplacement,if (start > end) {,if (start >= end) {,603,
