file,line,operator,before,after,mutant_id,paper_category
org/apache/commons/net/PrintCommandListener.java,148,RelationalOperatorReplacement,if (pos > 0) {,if (pos >= 0) {,100,
org/apache/commons/net/SocketClient.java,343,RelationalOperatorReplacement,if (getCommandSupport().getListenerCount() > 0) {,if (getCommandSupport().getListenerCount() >= 0) {,158,
org/apache/commons/net/SocketClient.java,356,RelationalOperatorReplacement,if (getCommandSupport().getListenerCount() > 0) {,if (getCommandSupport().getListenerCount() >= 0) {,159,
org/apache/commons/net/bsd/RCommandClient.java,119,RelationalOperatorReplacement,for (localPort = MAX_CLIENT_PORT; localPort >= MIN_CLIENT_PORT; --localPort) {,for (localPort = MAX_CLIENT_PORT; localPort > MIN_CLIENT_PORT; --localPort) {,256,
org/apache/commons/net/bsd/RCommandClient.java,128,RelationalOperatorReplacement,if (localPort < MIN_CLIENT_PORT) {,if (localPort <= MIN_CLIENT_PORT) {,257,
org/apache/commons/net/bsd/RCommandClient.java,152,RelationalOperatorReplacement,if (localPort < MIN_CLIENT_PORT || localPort > MAX_CLIENT_PORT) {,if (localPort <= MIN_CLIENT_PORT || localPort > MAX_CLIENT_PORT) {,258,
org/apache/commons/net/bsd/RCommandClient.java,152,RelationalOperatorReplacement,if (localPort < MIN_CLIENT_PORT || localPort > MAX_CLIENT_PORT) {,if (localPort < MIN_CLIENT_PORT || localPort >= MAX_CLIENT_PORT) {,259,
org/apache/commons/net/bsd/RCommandClient.java,211,RelationalOperatorReplacement,if (localPort < MIN_CLIENT_PORT || localPort > MAX_CLIENT_PORT) {,if (localPort <= MIN_CLIENT_PORT || localPort > MAX_CLIENT_PORT) {,260,
org/apache/commons/net/bsd/RCommandClient.java,211,RelationalOperatorReplacement,if (localPort < MIN_CLIENT_PORT || localPort > MAX_CLIENT_PORT) {,if (localPort < MIN_CLIENT_PORT || localPort >= MAX_CLIENT_PORT) {,261,
org/apache/commons/net/bsd/RCommandClient.java,239,RelationalOperatorReplacement,for (int localPort = MAX_CLIENT_PORT; localPort >= MIN_CLIENT_PORT; --localPort) {,for (int localPort = MAX_CLIENT_PORT; localPort > MIN_CLIENT_PORT; --localPort) {,262,
