file,line,operator,before,after,mutant_id,paper_category
org/apache/commons/validator/Arg.java,174,NullifyReturnValue,return new StringBuilder(),return null;,1,
org/apache/commons/validator/Arg.java,81,NullifyObjectInitialization,"throw new UnsupportedOperationException(e.toString(), e);",throw null;,10,
org/apache/commons/validator/Arg.java,172,RemoveMethod,public String toString() {,public String toString() {,11,
org/apache/commons/validator/Arg.java,172,RemoveMethod,public String toString() {,public String toString() {,12,
org/apache/commons/validator/Arg.java,163,RemoveMethod,public void setResource(final boolean resource) {,public void setResource(final boolean resource) {,13,
org/apache/commons/validator/Arg.java,155,RemoveMethod,public void setPosition(final int position) {,public void setPosition(final int position) {,14,
org/apache/commons/validator/Arg.java,147,RemoveMethod,public void setName(final String name) {,public void setName(final String name) {,15,
org/apache/commons/validator/Arg.java,139,RemoveMethod,public void setKey(final String key) {,public void setKey(final String key) {,16,
org/apache/commons/validator/Arg.java,131,RemoveMethod,public void setBundle(final String bundle) {,public void setBundle(final String bundle) {,17,
org/apache/commons/validator/Arg.java,122,RemoveMethod,public boolean isResource() {,public boolean isResource() {,18,
org/apache/commons/validator/Arg.java,122,RemoveMethod,public boolean isResource() {,public boolean isResource() {,19,
org/apache/commons/validator/Arg.java,107,NullifyReturnValue,return this.name;,return null;,2,
org/apache/commons/validator/Arg.java,114,RemoveMethod,public int getPosition() {,public int getPosition() {,20,
org/apache/commons/validator/Arg.java,114,RemoveMethod,public int getPosition() {,public int getPosition() {,21,
org/apache/commons/validator/Arg.java,106,RemoveMethod,public String getName() {,public String getName() {,22,
org/apache/commons/validator/Arg.java,106,RemoveMethod,public String getName() {,public String getName() {,23,
org/apache/commons/validator/Arg.java,98,RemoveMethod,public String getKey() {,public String getKey() {,24,
org/apache/commons/validator/Arg.java,98,RemoveMethod,public String getKey() {,public String getKey() {,25,
org/apache/commons/validator/Arg.java,90,RemoveMethod,public String getBundle() {,public String getBundle() {,26,
org/apache/commons/validator/Arg.java,90,RemoveMethod,public String getBundle() {,public String getBundle() {,27,
org/apache/commons/validator/Arg.java,77,RemoveMethod,public Object clone() {,public Object clone() {,28,
org/apache/commons/validator/Arg.java,63,ArithmeticOperatorReplacementUnary,protected int position = -1;,protected int position = +1;,29,
org/apache/commons/validator/Arg.java,99,NullifyReturnValue,return this.key;,return null;,3,
org/apache/commons/validator/Arg.java,39,ArithmeticOperatorReplacementUnary,private static final long serialVersionUID = -8922606779669839294L;,private static final long serialVersionUID = +8922606779669839294L;,30,
org/apache/commons/validator/Arg.java,91,NullifyReturnValue,return this.bundle;,return null;,4,
org/apache/commons/validator/Arg.java,79,NullifyReturnValue,return super.clone();,return null;,5,
org/apache/commons/validator/Arg.java,147,NullifyInputVariable,public void setName(final String name) {,public void setName(final String name) { name = null;,6,
org/apache/commons/validator/Arg.java,139,NullifyInputVariable,public void setKey(final String key) {,public void setKey(final String key) { key = null;,7,
org/apache/commons/validator/Arg.java,131,NullifyInputVariable,public void setBundle(final String bundle) {,public void setBundle(final String bundle) { bundle = null;,8,
org/apache/commons/validator/Arg.java,174,NullifyObjectInitialization,return new StringBuilder(),return null,9,
org/apache/commons/validator/CreditCardValidator.java,252,RelationalOperatorReplacement,return sum != 0 && sum % 10 == 0;,return sum != 0 && sum % 10 != 0;,1,
org/apache/commons/validator/CreditCardValidator.java,120,RelationalOperatorReplacement,"return card.substring(0, 1).equals(PREFIX) && (card.length() == 13 || card.length() == 16);","return card.substring(0, 1).equals(PREFIX) && (card.length() != 13 || card.length() == 16);",10,
org/apache/commons/validator/CreditCardValidator.java,106,RelationalOperatorReplacement,return PREFIX.contains(prefix2) && card.length() == 16;,return PREFIX.contains(prefix2) && card.length() != 16;,11,
org/apache/commons/validator/CreditCardValidator.java,96,RelationalOperatorReplacement,"return card.substring(0, 4).equals(PREFIX) && card.length() == 16;","return card.substring(0, 4).equals(PREFIX) && card.length() != 16;",12,
org/apache/commons/validator/CreditCardValidator.java,65,RelationalOperatorReplacement,return PREFIX.contains(prefix2) && card.length() == 15;,return PREFIX.contains(prefix2) && card.length() != 15;,13,
org/apache/commons/validator/CreditCardValidator.java,212,RemoveNullCheck,if (card == null || card.length() < 13 || card.length() > 19) {,if (false || card.length() < 13 || card.length() > 19) {,14,
org/apache/commons/validator/CreditCardValidator.java,157,ShiftOperatorReplacement,public static final int DISCOVER = 1 << 3;,public static final int DISCOVER = 1 >> 3;,15,
org/apache/commons/validator/CreditCardValidator.java,152,ShiftOperatorReplacement,public static final int MASTERCARD = 1 << 2;,public static final int MASTERCARD = 1 >> 2;,16,
org/apache/commons/validator/CreditCardValidator.java,147,ShiftOperatorReplacement,public static final int VISA = 1 << 1;,public static final int VISA = 1 >> 1;,17,
org/apache/commons/validator/CreditCardValidator.java,142,ShiftOperatorReplacement,public static final int AMEX = 1 << 0;,public static final int AMEX = 1 >> 0;,18,
org/apache/commons/validator/CreditCardValidator.java,215,ConditionalOperatorDeletion,if (!this.luhnCheck(card)) {,if ( this.luhnCheck(card)) {,19,
org/apache/commons/validator/CreditCardValidator.java,252,RelationalOperatorReplacement,return sum != 0 && sum % 10 == 0;,return sum == 0 && sum % 10 == 0;,2,
org/apache/commons/validator/CreditCardValidator.java,250,AssignmentOperatorReplacementShortcut,sum += digit;,sum -= digit;,20,
org/apache/commons/validator/CreditCardValidator.java,247,AssignmentOperatorReplacementShortcut,digit -= 9;,digit += 9;,21,
org/apache/commons/validator/CreditCardValidator.java,245,AssignmentOperatorReplacementShortcut,digit *= 2;,digit /= 2;,22,
org/apache/commons/validator/CreditCardValidator.java,252,ConditionalOperatorReplacement,return sum != 0 && sum % 10 == 0;,return sum != 0 || sum % 10 == 0;,23,
org/apache/commons/validator/CreditCardValidator.java,212,ConditionalOperatorReplacement,if (card == null || card.length() < 13 || card.length() > 19) {,if (card == null || card.length() < 13 && card.length() > 19) {,24,
org/apache/commons/validator/CreditCardValidator.java,212,ConditionalOperatorReplacement,if (card == null || card.length() < 13 || card.length() > 19) {,if (card == null && card.length() < 13 || card.length() > 19) {,25,
org/apache/commons/validator/CreditCardValidator.java,120,ConditionalOperatorReplacement,"return card.substring(0, 1).equals(PREFIX) && (card.length() == 13 || card.length() == 16);","return card.substring(0, 1).equals(PREFIX) || (card.length() == 13 || card.length() == 16);",26,
org/apache/commons/validator/CreditCardValidator.java,120,ConditionalOperatorReplacement,"return card.substring(0, 1).equals(PREFIX) && (card.length() == 13 || card.length() == 16);","return card.substring(0, 1).equals(PREFIX) && (card.length() == 13 && card.length() == 16);",27,
org/apache/commons/validator/CreditCardValidator.java,106,ConditionalOperatorReplacement,return PREFIX.contains(prefix2) && card.length() == 16;,return PREFIX.contains(prefix2) || card.length() == 16;,28,
org/apache/commons/validator/CreditCardValidator.java,96,ConditionalOperatorReplacement,"return card.substring(0, 4).equals(PREFIX) && card.length() == 16;","return card.substring(0, 4).equals(PREFIX) || card.length() == 16;",29,
org/apache/commons/validator/CreditCardValidator.java,246,RelationalOperatorReplacement,if (digit > 9) {,if (digit <= 9) {,3,
org/apache/commons/validator/CreditCardValidator.java,65,ConditionalOperatorReplacement,return PREFIX.contains(prefix2) && card.length() == 15;,return PREFIX.contains(prefix2) || card.length() == 15;,30,
org/apache/commons/validator/CreditCardValidator.java,252,ArithmeticOperatorReplacementBinary,return sum != 0 && sum % 10 == 0;,return sum != 0 && sum / 10 == 0;,31,
org/apache/commons/validator/CreditCardValidator.java,168,ArithmeticOperatorReplacementBinary,this(AMEX + VISA + MASTERCARD + DISCOVER);,this(AMEX + VISA + MASTERCARD - DISCOVER);,32,
org/apache/commons/validator/CreditCardValidator.java,168,ArithmeticOperatorReplacementBinary,this(AMEX + VISA + MASTERCARD + DISCOVER);,this(AMEX + VISA - MASTERCARD + DISCOVER);,33,
org/apache/commons/validator/CreditCardValidator.java,168,ArithmeticOperatorReplacementBinary,this(AMEX + VISA + MASTERCARD + DISCOVER);,this(AMEX - VISA + MASTERCARD + DISCOVER);,34,
org/apache/commons/validator/CreditCardValidator.java,232,NullifyInputVariable,protected boolean luhnCheck(final String cardNumber) {,protected boolean luhnCheck(final String cardNumber) { cardNumber = null;,35,
