file,line,operator,before,after,mutant_id,paper_category
org/apache/commons/validator/CreditCardValidator.java,212,RelationalOperatorReplacement,if (card == null || card.length() < 13 || card.length() > 19) {,if (card == null || card.length() <= 13 || card.length() > 19) {,59,
org/apache/commons/validator/CreditCardValidator.java,212,RelationalOperatorReplacement,if (card == null || card.length() < 13 || card.length() > 19) {,if (card == null || card.length() < 13 || card.length() >= 19) {,60,
org/apache/commons/validator/CreditCardValidator.java,237,RelationalOperatorReplacement,for (int count = 0; count < digits; count++) {,for (int count = 0; count <= digits; count++) {,61,
org/apache/commons/validator/CreditCardValidator.java,246,RelationalOperatorReplacement,if (digit > 9) {,if (digit >= 9) {,63,
org/apache/commons/validator/EmailValidator.java,130,RelationalOperatorReplacement,for (int i = 1; i <= 4; i++) { // CHECKSTYLE IGNORE MagicNumber,for (int i = 1; i < 4; i++) { // CHECKSTYLE IGNORE MagicNumber,117,
org/apache/commons/validator/EmailValidator.java,144,RelationalOperatorReplacement,if (iIpSegment > 255) { // CHECKSTYLE IGNORE MagicNumber,if (iIpSegment >= 255) { // CHECKSTYLE IGNORE MagicNumber,119,
org/apache/commons/validator/EmailValidator.java,168,RelationalOperatorReplacement,l >= domain.length(),l > domain.length(),120,
org/apache/commons/validator/EmailValidator.java,179,RelationalOperatorReplacement,if (len < 2) {,if (len <= 2) {,121,
org/apache/commons/validator/EmailValidator.java,184,RelationalOperatorReplacement,if (tld.length() <= 1) {,if (tld.length() < 1) {,122,
org/apache/commons/validator/Field.java,220,RelationalOperatorReplacement,for (int i = 0; i < this.args.length; i++) {,for (int i = 0; i <= this.args.length; i++) {,220,
org/apache/commons/validator/Field.java,244,RelationalOperatorReplacement,if (position >= 0) {,if (position > 0) {,222,
org/apache/commons/validator/Field.java,259,RelationalOperatorReplacement,for (int i = 0; i < args.length; i++) {,for (int i = 0; i <= args.length; i++) {,226,
org/apache/commons/validator/Field.java,268,RelationalOperatorReplacement,if (lastPosition < 0) {,if (lastPosition <= 0) {,229,
org/apache/commons/validator/Field.java,284,RelationalOperatorReplacement,if (arg.getPosition() >= this.args.length) {,if (arg.getPosition() > this.args.length) {,230,
org/apache/commons/validator/Field.java,325,RelationalOperatorReplacement,if (position >= this.args.length || this.args[position] == null) {,if (position > this.args.length || this.args[position] == null) {,231,
org/apache/commons/validator/Field.java,350,RelationalOperatorReplacement,for (int i = 0; i < this.args.length; i++) {,for (int i = 0; i <= this.args.length; i++) {,235,
org/apache/commons/validator/Field.java,878,RelationalOperatorReplacement,for (int fieldNumber = 0; fieldNumber < numberOfFieldsToValidate; fieldNumber++) {,for (int fieldNumber = 0; fieldNumber <= numberOfFieldsToValidate; fieldNumber++) {,248,
org/apache/commons/validator/Form.java,331,RelationalOperatorReplacement,if (field.getPage() <= page) {,if (field.getPage() < page) {,366,
org/apache/commons/validator/Form.java,339,RelationalOperatorReplacement,if (field.getPage() <= page) {,if (field.getPage() < page) {,367,
org/apache/commons/validator/FormSet.java,138,RelationalOperatorReplacement,if (results.length() > 0) {,if (results.length() >= 0) {,420,
org/apache/commons/validator/FormSet.java,145,RelationalOperatorReplacement,if (results.length() > 0) {,if (results.length() >= 0) {,422,
org/apache/commons/validator/GenericTypeValidator.java,84,RelationalOperatorReplacement,num.doubleValue() >= Byte.MIN_VALUE &&,num.doubleValue() > Byte.MIN_VALUE &&,555,
org/apache/commons/validator/GenericTypeValidator.java,85,RelationalOperatorReplacement,num.doubleValue() <= Byte.MAX_VALUE) {,num.doubleValue() < Byte.MAX_VALUE) {,556,
org/apache/commons/validator/GenericTypeValidator.java,254,RelationalOperatorReplacement,num.doubleValue() >= Double.MAX_VALUE * -1 &&,num.doubleValue() > Double.MAX_VALUE * -1 &&,567,
