file,line,operator,before,after,mutant_id,paper_category
org/apache/commons/validator/Arg.java,147,NullifyInputVariable,public void setName(final String name) {,public void setName(final String name) { name = null;,6,
org/apache/commons/validator/Arg.java,139,NullifyInputVariable,public void setKey(final String key) {,public void setKey(final String key) { key = null;,7,
org/apache/commons/validator/Arg.java,131,NullifyInputVariable,public void setBundle(final String bundle) {,public void setBundle(final String bundle) { bundle = null;,8,
org/apache/commons/validator/CreditCardValidator.java,246,RelationalOperatorReplacement,if (digit > 9) {,if (digit <= 9) {,3,
org/apache/commons/validator/CreditCardValidator.java,232,NullifyInputVariable,protected boolean luhnCheck(final String cardNumber) {,protected boolean luhnCheck(final String cardNumber) { cardNumber = null;,35,
org/apache/commons/validator/CreditCardValidator.java,211,NullifyInputVariable,public boolean isValid(final String card) {,public boolean isValid(final String card) { card = null;,36,
org/apache/commons/validator/CreditCardValidator.java,202,NullifyInputVariable,public void addAllowedCardType(final CreditCardType type){,public void addAllowedCardType(final CreditCardType type){ type = null;,37,
org/apache/commons/validator/CreditCardValidator.java,119,NullifyInputVariable,public boolean matches(final String card) {,public boolean matches(final String card) { card = null;,38,
org/apache/commons/validator/CreditCardValidator.java,104,NullifyInputVariable,public boolean matches(final String card) {,public boolean matches(final String card) { card = null;,39,
org/apache/commons/validator/CreditCardValidator.java,95,NullifyInputVariable,public boolean matches(final String card) {,public boolean matches(final String card) { card = null;,40,
org/apache/commons/validator/CreditCardValidator.java,63,NullifyInputVariable,public boolean matches(final String card) {,public boolean matches(final String card) { card = null;,41,
org/apache/commons/validator/CreditCardValidator.java,237,RelationalOperatorReplacement,for (int count = 0; count < digits; count++) {,for (int count = 0; count >= digits; count++) {,5,
org/apache/commons/validator/CreditCardValidator.java,212,RelationalOperatorReplacement,if (card == null || card.length() < 13 || card.length() > 19) {,if (card == null || card.length() < 13 || card.length() <= 19) {,6,
org/apache/commons/validator/CreditCardValidator.java,212,RelationalOperatorReplacement,if (card == null || card.length() < 13 || card.length() > 19) {,if (card == null || card.length() >= 13 || card.length() > 19) {,7,
org/apache/commons/validator/DateValidator.java,106,NullifyInputVariable,"public boolean isValid(final String value, final String datePattern, final boolean strict) {","public boolean isValid(final String value, final String datePattern, final boolean strict) { datePattern = null;",14,
org/apache/commons/validator/DateValidator.java,106,NullifyInputVariable,"public boolean isValid(final String value, final String datePattern, final boolean strict) {","public boolean isValid(final String value, final String datePattern, final boolean strict) { value = null;",15,
org/apache/commons/validator/DateValidator.java,67,NullifyInputVariable,"public boolean isValid(final String value, final Locale locale) {","public boolean isValid(final String value, final Locale locale) { locale = null;",16,
org/apache/commons/validator/DateValidator.java,67,NullifyInputVariable,"public boolean isValid(final String value, final Locale locale) {","public boolean isValid(final String value, final Locale locale) { value = null;",17,
org/apache/commons/validator/EmailValidator.java,184,RelationalOperatorReplacement,if (tld.length() <= 1) {,if (tld.length() > 1) {,1,
org/apache/commons/validator/EmailValidator.java,210,NullifyInputVariable,protected String stripComments(final String emailStr) {,protected String stripComments(final String emailStr) { emailStr = null;,17,
org/apache/commons/validator/EmailValidator.java,199,NullifyInputVariable,protected boolean isValidUser(final String user) {,protected boolean isValidUser(final String user) { user = null;,18,
org/apache/commons/validator/EmailValidator.java,179,RelationalOperatorReplacement,if (len < 2) {,if (len >= 2) {,2,
org/apache/commons/validator/EmailValidator.java,128,NullifyInputVariable,protected boolean isValidIpAddress(final String ipAddress) {,protected boolean isValidIpAddress(final String ipAddress) { ipAddress = null;,20,
org/apache/commons/validator/EmailValidator.java,96,NullifyInputVariable,protected boolean isValidDomain(final String domain) {,protected boolean isValidDomain(final String domain) { domain = null;,21,
org/apache/commons/validator/EmailValidator.java,87,NullifyInputVariable,public boolean isValid(final String email) {,public boolean isValid(final String email) { email = null;,22,
org/apache/commons/validator/EmailValidator.java,168,RelationalOperatorReplacement,l >= domain.length(),l < domain.length(),3,
org/apache/commons/validator/EmailValidator.java,144,RelationalOperatorReplacement,if (iIpSegment > 255) { // CHECKSTYLE IGNORE MagicNumber,if (iIpSegment <= 255) { // CHECKSTYLE IGNORE MagicNumber,4,
org/apache/commons/validator/EmailValidator.java,130,RelationalOperatorReplacement,for (int i = 1; i <= 4; i++) { // CHECKSTYLE IGNORE MagicNumber,for (int i = 1; i > 4; i++) { // CHECKSTYLE IGNORE MagicNumber,6,
org/apache/commons/validator/Field.java,914,NullifyInputVariable,throws ValidatorException {,throws ValidatorException { params = null;,116,
org/apache/commons/validator/Field.java,914,NullifyInputVariable,throws ValidatorException {,throws ValidatorException { actions = null;,117,
org/apache/commons/validator/Field.java,914,NullifyInputVariable,throws ValidatorException {,throws ValidatorException { results = null;,118,
org/apache/commons/validator/Field.java,914,NullifyInputVariable,throws ValidatorException {,throws ValidatorException { va = null;,119,
org/apache/commons/validator/Field.java,867,NullifyInputVariable,throws ValidatorException {,throws ValidatorException { actions = null;,120,
org/apache/commons/validator/Field.java,867,NullifyInputVariable,throws ValidatorException {,throws ValidatorException { params = null;,121,
org/apache/commons/validator/Field.java,821,NullifyInputVariable,public void setProperty(final String property) {,public void setProperty(final String property) { property = null;,122,
org/apache/commons/validator/Field.java,804,NullifyInputVariable,public void setKey(final String key) {,public void setKey(final String key) { key = null;,123,
org/apache/commons/validator/Field.java,795,NullifyInputVariable,public void setIndexedProperty(final String indexedProperty) {,public void setIndexedProperty(final String indexedProperty) { indexedProperty = null;,124,
org/apache/commons/validator/Field.java,788,NullifyInputVariable,public void setIndexedListProperty(final String indexedListProperty) {,public void setIndexedListProperty(final String indexedListProperty) { indexedListProperty = null;,125,
org/apache/commons/validator/Field.java,761,NullifyInputVariable,public void setDepends(final String depends) {,public void setDepends(final String depends) { depends = null;,126,
org/apache/commons/validator/Field.java,724,NullifyInputVariable,throws ValidatorException {,throws ValidatorException { params = null;,127,
org/apache/commons/validator/Field.java,724,NullifyInputVariable,throws ValidatorException {,throws ValidatorException { actions = null;,128,
org/apache/commons/validator/Field.java,724,NullifyInputVariable,throws ValidatorException {,throws ValidatorException { results = null;,129,
org/apache/commons/validator/Field.java,724,NullifyInputVariable,throws ValidatorException {,throws ValidatorException { va = null;,130,
org/apache/commons/validator/Field.java,700,NullifyInputVariable,"private void processVars(final String key, final String replaceValue) {","private void processVars(final String key, final String replaceValue) { replaceValue = null;",131,
org/apache/commons/validator/Field.java,700,NullifyInputVariable,"private void processVars(final String key, final String replaceValue) {","private void processVars(final String key, final String replaceValue) { key = null;",132,
org/apache/commons/validator/Field.java,685,NullifyInputVariable,"private void processMessageComponents(final String key, final String replaceValue) {","private void processMessageComponents(final String key, final String replaceValue) { replaceValue = null;",133,
org/apache/commons/validator/Field.java,685,NullifyInputVariable,"private void processMessageComponents(final String key, final String replaceValue) {","private void processMessageComponents(final String key, final String replaceValue) { key = null;",134,
org/apache/commons/validator/Field.java,669,NullifyInputVariable,"private void processArg(final String key, final String replaceValue) {","private void processArg(final String key, final String replaceValue) { replaceValue = null;",135,
org/apache/commons/validator/Field.java,669,NullifyInputVariable,"private void processArg(final String key, final String replaceValue) {","private void processArg(final String key, final String replaceValue) { key = null;",136,
org/apache/commons/validator/Field.java,621,NullifyInputVariable,"void process(final Map<String, String> globalConstants, final Map<String, String> constants) {","void process(final Map<String, String> globalConstants, final Map<String, String> constants) { constants = null;",137,
org/apache/commons/validator/Field.java,621,NullifyInputVariable,"void process(final Map<String, String> globalConstants, final Map<String, String> constants) {","void process(final Map<String, String> globalConstants, final Map<String, String> constants) { globalConstants = null;",138,
org/apache/commons/validator/Field.java,603,NullifyInputVariable,public boolean isDependency(final String validatorName) {,public boolean isDependency(final String validatorName) { validatorName = null;,139,
org/apache/commons/validator/Field.java,582,NullifyInputVariable,private void handleMissingAction(final String name) throws ValidatorException {,private void handleMissingAction(final String name) throws ValidatorException { name = null;,140,
org/apache/commons/validator/Field.java,565,NullifyInputVariable,public String getVarValue(final String mainKey) {,public String getVarValue(final String mainKey) { mainKey = null;,141,
org/apache/commons/validator/Field.java,537,NullifyInputVariable,public Var getVar(final String mainKey) {,public Var getVar(final String mainKey) { mainKey = null;,142,
org/apache/commons/validator/Field.java,500,NullifyInputVariable,public String getMsg(final String key) {,public String getMsg(final String key) { key = null;,143,
org/apache/commons/validator/Field.java,481,NullifyInputVariable,public Msg getMessage(final String key) {,public Msg getMessage(final String key) { key = null;,144,
org/apache/commons/validator/Field.java,440,NullifyInputVariable,private int getIndexedPropertySize(final Object bean) throws ValidatorException {,private int getIndexedPropertySize(final Object bean) throws ValidatorException { bean = null;,145,
org/apache/commons/validator/Field.java,411,NullifyInputVariable,Object[] getIndexedProperty(final Object bean) throws ValidatorException {,Object[] getIndexedProperty(final Object bean) throws ValidatorException { bean = null;,146,
org/apache/commons/validator/Field.java,347,NullifyInputVariable,public Arg[] getArgs(final String key) {,public Arg[] getArgs(final String key) { key = null;,147,
org/apache/commons/validator/Field.java,324,NullifyInputVariable,"public Arg getArg(final String key, final int position) {","public Arg getArg(final String key, final int position) { key = null;",148,
org/apache/commons/validator/Field.java,283,NullifyInputVariable,private void ensureArgsCapacity(final Arg arg) {,private void ensureArgsCapacity(final Arg arg) { arg = null;,149,
org/apache/commons/validator/Field.java,239,NullifyInputVariable,private void determineArgPosition(final Arg arg) {,private void determineArgPosition(final Arg arg) { arg = null;,150,
org/apache/commons/validator/Field.java,200,NullifyInputVariable,public void addVar(final Var v) {,public void addVar(final Var v) { v = null;,151,
org/apache/commons/validator/Field.java,192,NullifyInputVariable,"public void addVar(final String name, final String value, final String jsType) {","public void addVar(final String name, final String value, final String jsType) { jsType = null;",152,
org/apache/commons/validator/Field.java,192,NullifyInputVariable,"public void addVar(final String name, final String value, final String jsType) {","public void addVar(final String name, final String value, final String jsType) { value = null;",153,
org/apache/commons/validator/Field.java,192,NullifyInputVariable,"public void addVar(final String name, final String value, final String jsType) {","public void addVar(final String name, final String value, final String jsType) { name = null;",154,
org/apache/commons/validator/Field.java,181,NullifyInputVariable,public void addMsg(final Msg msg) {,public void addMsg(final Msg msg) { msg = null;,155,
org/apache/commons/validator/Field.java,154,NullifyInputVariable,public void addArg(final Arg arg) {,public void addArg(final Arg arg) { arg = null;,156,
org/apache/commons/validator/Field.java,350,RelationalOperatorReplacement,for (int i = 0; i < this.args.length; i++) {,for (int i = 0; i >= this.args.length; i++) {,16,
org/apache/commons/validator/Field.java,325,RelationalOperatorReplacement,if (position >= this.args.length || this.args[position] == null) {,if (position < this.args.length || this.args[position] == null) {,20,
org/apache/commons/validator/Field.java,284,RelationalOperatorReplacement,if (arg.getPosition() >= this.args.length) {,if (arg.getPosition() < this.args.length) {,21,
org/apache/commons/validator/Field.java,268,RelationalOperatorReplacement,if (lastPosition < 0) {,if (lastPosition >= 0) {,22,
org/apache/commons/validator/Field.java,259,RelationalOperatorReplacement,for (int i = 0; i < args.length; i++) {,for (int i = 0; i >= args.length; i++) {,25,
org/apache/commons/validator/Field.java,244,RelationalOperatorReplacement,if (position >= 0) {,if (position < 0) {,29,
org/apache/commons/validator/Field.java,878,RelationalOperatorReplacement,for (int fieldNumber = 0; fieldNumber < numberOfFieldsToValidate; fieldNumber++) {,for (int fieldNumber = 0; fieldNumber >= numberOfFieldsToValidate; fieldNumber++) {,3,
org/apache/commons/validator/Field.java,220,RelationalOperatorReplacement,for (int i = 0; i < this.args.length; i++) {,for (int i = 0; i >= this.args.length; i++) {,31,
org/apache/commons/validator/Form.java,339,RelationalOperatorReplacement,if (field.getPage() <= page) {,if (field.getPage() > page) {,1,
org/apache/commons/validator/Form.java,331,RelationalOperatorReplacement,if (field.getPage() <= page) {,if (field.getPage() > page) {,2,
org/apache/commons/validator/Form.java,318,NullifyInputVariable,throws ValidatorException {,throws ValidatorException { fieldName = null;,25,
org/apache/commons/validator/Form.java,318,NullifyInputVariable,throws ValidatorException {,throws ValidatorException { actions = null;,26,
org/apache/commons/validator/Form.java,318,NullifyInputVariable,throws ValidatorException {,throws ValidatorException { params = null;,27,
org/apache/commons/validator/Form.java,299,NullifyInputVariable,throws ValidatorException {,throws ValidatorException { actions = null;,28,
org/apache/commons/validator/Form.java,299,NullifyInputVariable,throws ValidatorException {,throws ValidatorException { params = null;,29,
org/apache/commons/validator/Form.java,259,NullifyInputVariable,public void setName(final String name) {,public void setName(final String name) { name = null;,30,
org/apache/commons/validator/Form.java,250,NullifyInputVariable,public void setExtends(final String inherit) {,public void setExtends(final String inherit) { inherit = null;,31,
org/apache/commons/validator/Form.java,211,NullifyInputVariable,"protected void process(final Map<String, String> globalConstants, final Map<String, String> constants, final Map<String, Form> forms) {","protected void process(final Map<String, String> globalConstants, final Map<String, String> constants, final Map<String, Form> forms) { forms = null;",32,
org/apache/commons/validator/Form.java,211,NullifyInputVariable,"protected void process(final Map<String, String> globalConstants, final Map<String, String> constants, final Map<String, Form> forms) {","protected void process(final Map<String, String> globalConstants, final Map<String, String> constants, final Map<String, Form> forms) { constants = null;",33,
org/apache/commons/validator/Form.java,211,NullifyInputVariable,"protected void process(final Map<String, String> globalConstants, final Map<String, String> constants, final Map<String, Form> forms) {","protected void process(final Map<String, String> globalConstants, final Map<String, String> constants, final Map<String, Form> forms) { globalConstants = null;",34,
org/apache/commons/validator/Form.java,177,NullifyInputVariable,protected void merge(final Form depends) {,protected void merge(final Form depends) { depends = null;,35,
org/apache/commons/validator/Form.java,114,NullifyInputVariable,public Field getField(final String fieldName) {,public Field getField(final String fieldName) { fieldName = null;,36,
org/apache/commons/validator/Form.java,92,NullifyInputVariable,public boolean containsField(final String fieldName) {,public boolean containsField(final String fieldName) { fieldName = null;,37,
org/apache/commons/validator/Form.java,80,NullifyInputVariable,public void addField(final Field f) {,public void addField(final Field f) { f = null;,38,
org/apache/commons/validator/FormSet.java,145,RelationalOperatorReplacement,if (results.length() > 0) {,if (results.length() <= 0) {,11,
org/apache/commons/validator/FormSet.java,138,RelationalOperatorReplacement,if (results.length() > 0) {,if (results.length() <= 0) {,13,
org/apache/commons/validator/FormSet.java,334,NullifyInputVariable,public void setVariant(final String variant) {,public void setVariant(final String variant) { variant = null;,43,
org/apache/commons/validator/FormSet.java,325,NullifyInputVariable,public void setLanguage(final String language) {,public void setLanguage(final String language) { language = null;,44,
org/apache/commons/validator/FormSet.java,316,NullifyInputVariable,public void setCountry(final String country) {,public void setCountry(final String country) { country = null;,45,
org/apache/commons/validator/FormSet.java,303,NullifyInputVariable,"synchronized void process(final Map<String, String> globalConstants) {","synchronized void process(final Map<String, String> globalConstants) { globalConstants = null;",46,
org/apache/commons/validator/FormSet.java,280,NullifyInputVariable,protected void merge(final FormSet depends) {,protected void merge(final FormSet depends) { depends = null;,47,
org/apache/commons/validator/FormSet.java,173,NullifyInputVariable,public Form getForm(final String formName) {,public Form getForm(final String formName) { formName = null;,48,
