file,line,operator,before,after,mutant_id,paper_category
com/fasterxml/jackson/core/Base64Variant.java,566,ArithmeticOperatorReplacementBinary,final StringBuilder sb = new StringBuilder(inputEnd + (inputEnd >> 2) + (inputEnd >> 3));,final StringBuilder sb = new StringBuilder(inputEnd - (inputEnd >> 2) + (inputEnd >> 3));,0,
com/fasterxml/jackson/core/Base64Variant.java,566,ArithmeticOperatorReplacementBinary,final StringBuilder sb = new StringBuilder(inputEnd + (inputEnd >> 2) + (inputEnd >> 3));,final StringBuilder sb = new StringBuilder(inputEnd + (inputEnd >> 2) - (inputEnd >> 3));,1,
com/fasterxml/jackson/core/Base64Variant.java,846,ArithmeticOperatorReplacementBinary,"base = base + "": "" + msg;","base = base + "": "" - msg;",10,
com/fasterxml/jackson/core/Base64Variant.java,635,LogicalOperatorReplacement,b24 |= (input[inputPtr++]) & 0xFF;,b24 |= (input[inputPtr++]) | 0xFF;,100,
com/fasterxml/jackson/core/Base64Variant.java,636,LogicalOperatorReplacement,b24 = (b24 << 8) | ((input[inputPtr++]) & 0xFF);,b24 = (b24 << 8) ^ ((input[inputPtr++]) & 0xFF);,101,
com/fasterxml/jackson/core/Base64Variant.java,636,LogicalOperatorReplacement,b24 = (b24 << 8) | ((input[inputPtr++]) & 0xFF);,b24 = (b24 << 8) | ((input[inputPtr++]) | 0xFF);,102,
com/fasterxml/jackson/core/Base64Variant.java,647,LogicalOperatorReplacement,b24 |= ((input[inputPtr++]) & 0xFF) << 8;,b24 |= ((input[inputPtr++]) | 0xFF) << 8;,103,
com/fasterxml/jackson/core/Base64Variant.java,723,LogicalOperatorReplacement,decodedData = (decodedData << 6) | bits;,decodedData = (decodedData << 6) ^ bits;,104,
com/fasterxml/jackson/core/Base64Variant.java,759,LogicalOperatorReplacement,decodedData = (decodedData << 6) | bits;,decodedData = (decodedData << 6) ^ bits;,105,
com/fasterxml/jackson/core/Base64Variant.java,783,LogicalOperatorReplacement,decodedData = (decodedData << 6) | bits;,decodedData = (decodedData << 6) ^ bits;,106,
com/fasterxml/jackson/core/Base64Variant.java,270,NullifyInputVariable,public Base64Variant withReadPadding(PaddingReadBehaviour readPadding) {,public Base64Variant withReadPadding(PaddingReadBehaviour readPadding) { readPadding = null;,107,
com/fasterxml/jackson/core/Base64Variant.java,425,NullifyInputVariable,{,{ sb = null;,108,
com/fasterxml/jackson/core/Base64Variant.java,462,NullifyInputVariable,{,{ sb = null;,109,
com/fasterxml/jackson/core/Base64Variant.java,164,ArithmeticOperatorReplacementShortcut,for (int i = 0; i < alphaLen; ++i) {,for (int i = 0; i < alphaLen; --i) {,11,
com/fasterxml/jackson/core/Base64Variant.java,621,NullifyInputVariable,{,{ linefeed = null;,110,
com/fasterxml/jackson/core/Base64Variant.java,672,NullifyInputVariable,{,{ input = null;,111,
com/fasterxml/jackson/core/Base64Variant.java,695,NullifyInputVariable,{,{ builder = null;,112,
com/fasterxml/jackson/core/Base64Variant.java,695,NullifyInputVariable,{,{ str = null;,113,
com/fasterxml/jackson/core/Base64Variant.java,799,NullifyInputVariable,public boolean equals(Object o) {,public boolean equals(Object o) { o = null;,114,
com/fasterxml/jackson/core/Base64Variant.java,833,NullifyInputVariable,{,{ msg = null;,115,
com/fasterxml/jackson/core/Base64Variant.java,158,NullifyObjectInitialization,"throw new IllegalArgumentException(""Base64Alphabet length must be exactly 64 (was ""+alphaLen+"")"");",throw null;,116,
com/fasterxml/jackson/core/Base64Variant.java,272,NullifyObjectInitialization,": new Base64Variant(this, readPadding);",: null;,117,
com/fasterxml/jackson/core/Base64Variant.java,284,NullifyObjectInitialization,": new Base64Variant(this, _name, writePadding, _paddingChar, _maxLineLength);",: null;,118,
com/fasterxml/jackson/core/Base64Variant.java,304,NullifyObjectInitialization,"return new Base64Variant(base,",return null;,119,
com/fasterxml/jackson/core/Base64Variant.java,417,ArithmeticOperatorReplacementShortcut,buffer[outPtr++] = _base64ToAsciiC[(b24 >> 18) & 0x3F];,buffer[outPtr--] = _base64ToAsciiC[(b24 >> 18) & 0x3F];,12,
com/fasterxml/jackson/core/Base64Variant.java,566,NullifyObjectInitialization,final StringBuilder sb = new StringBuilder(inputEnd + (inputEnd >> 2) + (inputEnd >> 3));,final StringBuilder sb = null;,120,
com/fasterxml/jackson/core/Base64Variant.java,623,NullifyObjectInitialization,final StringBuilder sb = new StringBuilder(inputEnd + (inputEnd >> 2) + (inputEnd >> 3));,final StringBuilder sb = null;,121,
com/fasterxml/jackson/core/Base64Variant.java,673,NullifyObjectInitialization,ByteArrayBuilder b = new ByteArrayBuilder();,ByteArrayBuilder b = null;,122,
com/fasterxml/jackson/core/Base64Variant.java,848,NullifyObjectInitialization,throw new IllegalArgumentException(base);,throw null;,123,
com/fasterxml/jackson/core/Base64Variant.java,852,NullifyObjectInitialization,throw new IllegalArgumentException(missingPaddingMessage());,throw null;,124,
com/fasterxml/jackson/core/Base64Variant.java,856,NullifyObjectInitialization,throw new IllegalArgumentException(unexpectedPaddingMessage());,throw null;,125,
com/fasterxml/jackson/core/Base64Variant.java,243,NullifyReturnValue,return withReadPadding(PaddingReadBehaviour.PADDING_ALLOWED);,return null;,126,
com/fasterxml/jackson/core/Base64Variant.java,251,NullifyReturnValue,return withReadPadding(PaddingReadBehaviour.PADDING_REQUIRED);,return null;,127,
com/fasterxml/jackson/core/Base64Variant.java,259,NullifyReturnValue,return withReadPadding(PaddingReadBehaviour.PADDING_FORBIDDEN);,return null;,128,
com/fasterxml/jackson/core/Base64Variant.java,271,NullifyReturnValue,return (readPadding == _paddingReadBehaviour) ? this,return null;,129,
com/fasterxml/jackson/core/Base64Variant.java,418,ArithmeticOperatorReplacementShortcut,buffer[outPtr++] = _base64ToAsciiC[(b24 >> 12) & 0x3F];,buffer[outPtr--] = _base64ToAsciiC[(b24 >> 12) & 0x3F];,13,
com/fasterxml/jackson/core/Base64Variant.java,283,NullifyReturnValue,return (writePadding == _writePadding) ? this,return null;,130,
com/fasterxml/jackson/core/Base64Variant.java,304,NullifyReturnValue,"return new Base64Variant(base,",return null;,131,
com/fasterxml/jackson/core/Base64Variant.java,307,NullifyReturnValue,return base;,return null;,132,
com/fasterxml/jackson/core/Base64Variant.java,316,NullifyReturnValue,public String getName() { return _name; },public String getName() { return null; },133,
com/fasterxml/jackson/core/Base64Variant.java,351,NullifyReturnValue,public PaddingReadBehaviour paddingReadBehaviour() { return _paddingReadBehaviour; },public PaddingReadBehaviour paddingReadBehaviour() { return null; },134,
com/fasterxml/jackson/core/Base64Variant.java,548,NullifyReturnValue,"return encode(input, false);",return null;,135,
com/fasterxml/jackson/core/Base64Variant.java,604,NullifyReturnValue,return sb.toString();,return null;,136,
com/fasterxml/jackson/core/Base64Variant.java,655,NullifyReturnValue,return sb.toString();,return null;,137,
com/fasterxml/jackson/core/Base64Variant.java,675,NullifyReturnValue,return b.toByteArray();,return null;,138,
com/fasterxml/jackson/core/Base64Variant.java,796,NullifyReturnValue,public String toString() { return _name; },public String toString() { return null; },139,
com/fasterxml/jackson/core/Base64Variant.java,419,ArithmeticOperatorReplacementShortcut,buffer[outPtr++] = _base64ToAsciiC[(b24 >> 6) & 0x3F];,buffer[outPtr--] = _base64ToAsciiC[(b24 >> 6) & 0x3F];,14,
com/fasterxml/jackson/core/Base64Variant.java,868,NullifyReturnValue,"return String.format(""Unexpected end of base64-encoded String: base64 variant '%s' expects no padding at the end while decoding. This Base64Variant might have been incorrectly configured"",",return null;,140,
com/fasterxml/jackson/core/Base64Variant.java,881,NullifyReturnValue,"return String.format(""Unexpected end of base64-encoded String: base64 variant '%s' expects padding (one or more '%c' characters) at the end. This Base64Variant might have been incorrectly configured"",",return null;,141,
com/fasterxml/jackson/core/Base64Variant.java,157,RelationalOperatorReplacement,if (alphaLen != 64) {,if (alphaLen == 64) {,142,
com/fasterxml/jackson/core/Base64Variant.java,164,RelationalOperatorReplacement,for (int i = 0; i < alphaLen; ++i) {,for (int i = 0; i <= alphaLen; ++i) {,143,
com/fasterxml/jackson/core/Base64Variant.java,271,RelationalOperatorReplacement,return (readPadding == _paddingReadBehaviour) ? this,return (readPadding != _paddingReadBehaviour) ? this,144,
com/fasterxml/jackson/core/Base64Variant.java,283,RelationalOperatorReplacement,return (writePadding == _writePadding) ? this,return (writePadding != _writePadding) ? this,145,
com/fasterxml/jackson/core/Base64Variant.java,299,RelationalOperatorReplacement,if ((_writePadding != base._writePadding),if ((_writePadding == base._writePadding),146,
com/fasterxml/jackson/core/Base64Variant.java,300,RelationalOperatorReplacement,|| (_paddingChar != base._paddingChar),|| (_paddingChar == base._paddingChar),147,
com/fasterxml/jackson/core/Base64Variant.java,301,RelationalOperatorReplacement,|| (_paddingReadBehaviour != base._paddingReadBehaviour),|| (_paddingReadBehaviour == base._paddingReadBehaviour),148,
com/fasterxml/jackson/core/Base64Variant.java,302,RelationalOperatorReplacement,|| (_maxLineLength != base._maxLineLength),|| (_maxLineLength == base._maxLineLength),149,
com/fasterxml/jackson/core/Base64Variant.java,420,ArithmeticOperatorReplacementShortcut,buffer[outPtr++] = _base64ToAsciiC[b24 & 0x3F];,buffer[outPtr--] = _base64ToAsciiC[b24 & 0x3F];,15,
com/fasterxml/jackson/core/Base64Variant.java,330,RelationalOperatorReplacement,return _paddingReadBehaviour == PaddingReadBehaviour.PADDING_REQUIRED;,return _paddingReadBehaviour != PaddingReadBehaviour.PADDING_REQUIRED;,150,
com/fasterxml/jackson/core/Base64Variant.java,339,RelationalOperatorReplacement,return _paddingReadBehaviour != PaddingReadBehaviour.PADDING_FORBIDDEN;,return _paddingReadBehaviour == PaddingReadBehaviour.PADDING_FORBIDDEN;,151,
com/fasterxml/jackson/core/Base64Variant.java,342,RelationalOperatorReplacement,public boolean usesPaddingChar(char c) { return c == _paddingChar; },public boolean usesPaddingChar(char c) { return c != _paddingChar; },152,
com/fasterxml/jackson/core/Base64Variant.java,343,RelationalOperatorReplacement,public boolean usesPaddingChar(int ch) { return ch == _paddingChar; },public boolean usesPaddingChar(int ch) { return ch != _paddingChar; },153,
com/fasterxml/jackson/core/Base64Variant.java,372,RelationalOperatorReplacement,return (ch <= 127) ? _asciiToBase64[ch] : BASE64_VALUE_INVALID;,return (ch < 127) ? _asciiToBase64[ch] : BASE64_VALUE_INVALID;,154,
com/fasterxml/jackson/core/Base64Variant.java,377,RelationalOperatorReplacement,return (ch <= 127) ? _asciiToBase64[ch] : BASE64_VALUE_INVALID;,return (ch < 127) ? _asciiToBase64[ch] : BASE64_VALUE_INVALID;,155,
com/fasterxml/jackson/core/Base64Variant.java,384,RelationalOperatorReplacement,if (ch < 0) {,if (ch <= 0) {,156,
com/fasterxml/jackson/core/Base64Variant.java,450,RelationalOperatorReplacement,buffer[outPtr++] = (outputBytes == 2) ?,buffer[outPtr++] = (outputBytes != 2) ?,157,
com/fasterxml/jackson/core/Base64Variant.java,454,RelationalOperatorReplacement,if (outputBytes == 2) {,if (outputBytes != 2) {,158,
com/fasterxml/jackson/core/Base64Variant.java,466,RelationalOperatorReplacement,sb.append((outputBytes == 2) ?,sb.append((outputBytes != 2) ?,159,
com/fasterxml/jackson/core/Base64Variant.java,447,ArithmeticOperatorReplacementShortcut,buffer[outPtr++] = _base64ToAsciiC[(bits >> 18) & 0x3F];,buffer[outPtr--] = _base64ToAsciiC[(bits >> 18) & 0x3F];,16,
com/fasterxml/jackson/core/Base64Variant.java,470,RelationalOperatorReplacement,if (outputBytes == 2) {,if (outputBytes != 2) {,160,
com/fasterxml/jackson/core/Base64Variant.java,520,RelationalOperatorReplacement,buffer[outPtr++] = (outputBytes == 2) ?,buffer[outPtr++] = (outputBytes != 2) ?,161,
com/fasterxml/jackson/core/Base64Variant.java,524,RelationalOperatorReplacement,if (outputBytes == 2) {,if (outputBytes != 2) {,162,
com/fasterxml/jackson/core/Base64Variant.java,577,RelationalOperatorReplacement,while (inputPtr <= safeInputEnd) {,while (inputPtr < safeInputEnd) {,163,
com/fasterxml/jackson/core/Base64Variant.java,583,RelationalOperatorReplacement,if (--chunksBeforeLF <= 0) {,if (--chunksBeforeLF < 0) {,164,
com/fasterxml/jackson/core/Base64Variant.java,593,RelationalOperatorReplacement,"if (inputLeft > 0) { // yes, but do we have room for output?","if (inputLeft >= 0) { // yes, but do we have room for output?",165,
com/fasterxml/jackson/core/Base64Variant.java,595,RelationalOperatorReplacement,if (inputLeft == 2) {,if (inputLeft != 2) {,166,
com/fasterxml/jackson/core/Base64Variant.java,633,RelationalOperatorReplacement,while (inputPtr <= safeInputEnd) {,while (inputPtr < safeInputEnd) {,167,
com/fasterxml/jackson/core/Base64Variant.java,638,RelationalOperatorReplacement,if (--chunksBeforeLF <= 0) {,if (--chunksBeforeLF < 0) {,168,
com/fasterxml/jackson/core/Base64Variant.java,644,RelationalOperatorReplacement,if (inputLeft > 0) {,if (inputLeft >= 0) {,169,
com/fasterxml/jackson/core/Base64Variant.java,448,ArithmeticOperatorReplacementShortcut,buffer[outPtr++] = _base64ToAsciiC[(bits >> 12) & 0x3F];,buffer[outPtr--] = _base64ToAsciiC[(bits >> 12) & 0x3F];,17,
com/fasterxml/jackson/core/Base64Variant.java,646,RelationalOperatorReplacement,if (inputLeft == 2) {,if (inputLeft != 2) {,170,
com/fasterxml/jackson/core/Base64Variant.java,704,RelationalOperatorReplacement,if (ptr >= len) {,if (ptr > len) {,171,
com/fasterxml/jackson/core/Base64Variant.java,708,RelationalOperatorReplacement,} while (ch <= INT_SPACE);,} while (ch < INT_SPACE);,172,
com/fasterxml/jackson/core/Base64Variant.java,710,RelationalOperatorReplacement,if (bits < 0) {,if (bits <= 0) {,173,
com/fasterxml/jackson/core/Base64Variant.java,715,RelationalOperatorReplacement,if (ptr >= len) {,if (ptr > len) {,174,
com/fasterxml/jackson/core/Base64Variant.java,720,RelationalOperatorReplacement,if (bits < 0) {,if (bits <= 0) {,175,
com/fasterxml/jackson/core/Base64Variant.java,725,RelationalOperatorReplacement,if (ptr >= len) {,if (ptr > len) {,176,
com/fasterxml/jackson/core/Base64Variant.java,738,RelationalOperatorReplacement,if (bits < 0) {,if (bits <= 0) {,177,
com/fasterxml/jackson/core/Base64Variant.java,739,RelationalOperatorReplacement,if (bits != Base64Variant.BASE64_VALUE_PADDING) {,if (bits == Base64Variant.BASE64_VALUE_PADDING) {,178,
com/fasterxml/jackson/core/Base64Variant.java,746,RelationalOperatorReplacement,if (ptr >= len) {,if (ptr > len) {,179,
