file,line,operator,before,after,mutant_id,paper_category
com/fasterxml/jackson/core/base/ParserMinimalBase.java,857,NullifyInputVariable,protected final JsonToken _nullSafeUpdateToken(final JsonToken token) throws StreamConstraintsException {,protected final JsonToken _nullSafeUpdateToken(final JsonToken token) throws StreamConstraintsException { token = null;,60,reduced_nullify_final_param_non_compilable
com/fasterxml/jackson/core/util/BufferRecycler.java,159,RemoveMethod,"public byte[] allocByteBuffer(int ix, int minSize) {","public byte[] allocByteBuffer(int ix, int minSize) {",34,reduced_remove_method_other
com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java,2052,RemoveMethod,private char[] _allocateCopyBuffer() {,private char[] _allocateCopyBuffer() {,231,reduced_remove_method_other
com/fasterxml/jackson/core/util/BufferRecycler.java,231,RemoveMethod,protected byte[] balloc(int size) { return new byte[size]; },protected byte[] balloc(int size) {,22,reduced_remove_method_other
com/fasterxml/jackson/core/io/CharTypes.java,258,RemoveMethod,"public static int[] get7BitOutputEscapes(int quoteChar, boolean escapeSlash) {","public static int[] get7BitOutputEscapes(int quoteChar, boolean escapeSlash) {",32,reduced_remove_method_other
com/fasterxml/jackson/core/base/ParserMinimalBase.java,848,NullifyInputVariable,protected final JsonToken _updateToken(final JsonToken token) throws StreamConstraintsException {,protected final JsonToken _updateToken(final JsonToken token) throws StreamConstraintsException { token = null;,61,reduced_nullify_final_param_non_compilable
com/fasterxml/jackson/core/io/CharTypes.java,332,RemoveMethod,public static char[] copyHexChars(boolean uppercase) {,public static char[] copyHexChars(boolean uppercase) {,23,reduced_remove_method_other
com/fasterxml/jackson/core/util/BufferRecyclers.java,192,RemoveMethod,public static byte[] quoteAsJsonUTF8(String rawText) {,public static byte[] quoteAsJsonUTF8(String rawText) {,16,reduced_remove_method_other
com/fasterxml/jackson/core/io/CharTypes.java,239,RemoveMethod,public static int[] get7BitOutputEscapes(int quoteChar) {,public static int[] get7BitOutputEscapes(int quoteChar) {,34,reduced_remove_method_other
com/fasterxml/jackson/core/util/BufferRecycler.java,155,RemoveMethod,public final byte[] allocByteBuffer(int ix) {,public final byte[] allocByteBuffer(int ix) {,36,reduced_remove_method_other
com/fasterxml/jackson/core/util/TextBuffer.java,340,RemoveMethod,public char[] getBufferWithoutReset() {,public char[] getBufferWithoutReset() {,196,reduced_remove_method_other
com/fasterxml/jackson/core/json/async/NonBlockingJsonParserBase.java,549,RemoveMethod,{,{,149,reduced_remove_method_other
com/fasterxml/jackson/core/util/TextBuffer.java,930,RemoveMethod,{,{,157,reduced_remove_method_other
com/fasterxml/jackson/core/io/NumberInput.java,598,NullifyInputVariable,"public static BigInteger parseBigInteger(final String s, final boolean useFastParser) throws NumberFormatException {","public static BigInteger parseBigInteger(final String s, final boolean useFastParser) throws NumberFormatException { s = null;",80,reduced_nullify_final_param_non_compilable
com/fasterxml/jackson/core/json/UTF8StreamJsonParser.java,425,RemoveMethod,{,{,596,reduced_remove_method_other
com/fasterxml/jackson/core/json/UTF8DataInputJsonParser.java,281,RemoveMethod,{,{,447,reduced_remove_method_other
com/fasterxml/jackson/core/base/ParserBase.java,1611,RemoveMethod,"protected int[] _growNameDecodeBuffer(int[] arr, int more) throws StreamConstraintsException {","protected int[] _growNameDecodeBuffer(int[] arr, int more) throws StreamConstraintsException {",157,reduced_remove_method_other
com/fasterxml/jackson/core/io/JsonStringEncoder.java,416,RemoveMethod,{,{,103,reduced_remove_method_other
