file,line,operator,before,after,mutant_id,paper_category
com/fasterxml/jackson/core/Base64Variant.java,675,NullifyReturnValue,return b.toByteArray();,return null;,138,
com/fasterxml/jackson/core/Base64Variant.java,164,RelationalOperatorReplacement,for (int i = 0; i < alphaLen; ++i) {,for (int i = 0; i <= alphaLen; ++i) {,143,
com/fasterxml/jackson/core/Base64Variant.java,372,RelationalOperatorReplacement,return (ch <= 127) ? _asciiToBase64[ch] : BASE64_VALUE_INVALID;,return (ch < 127) ? _asciiToBase64[ch] : BASE64_VALUE_INVALID;,154,
com/fasterxml/jackson/core/Base64Variant.java,377,RelationalOperatorReplacement,return (ch <= 127) ? _asciiToBase64[ch] : BASE64_VALUE_INVALID;,return (ch < 127) ? _asciiToBase64[ch] : BASE64_VALUE_INVALID;,155,
com/fasterxml/jackson/core/Base64Variant.java,384,RelationalOperatorReplacement,if (ch < 0) {,if (ch <= 0) {,156,
com/fasterxml/jackson/core/Base64Variant.java,577,RelationalOperatorReplacement,while (inputPtr <= safeInputEnd) {,while (inputPtr < safeInputEnd) {,163,
com/fasterxml/jackson/core/Base64Variant.java,583,RelationalOperatorReplacement,if (--chunksBeforeLF <= 0) {,if (--chunksBeforeLF < 0) {,164,
com/fasterxml/jackson/core/Base64Variant.java,593,RelationalOperatorReplacement,"if (inputLeft > 0) { // yes, but do we have room for output?","if (inputLeft >= 0) { // yes, but do we have room for output?",165,
com/fasterxml/jackson/core/Base64Variant.java,633,RelationalOperatorReplacement,while (inputPtr <= safeInputEnd) {,while (inputPtr < safeInputEnd) {,167,
com/fasterxml/jackson/core/Base64Variant.java,638,RelationalOperatorReplacement,if (--chunksBeforeLF <= 0) {,if (--chunksBeforeLF < 0) {,168,
com/fasterxml/jackson/core/Base64Variant.java,644,RelationalOperatorReplacement,if (inputLeft > 0) {,if (inputLeft >= 0) {,169,
com/fasterxml/jackson/core/Base64Variant.java,704,RelationalOperatorReplacement,if (ptr >= len) {,if (ptr > len) {,171,
com/fasterxml/jackson/core/Base64Variant.java,708,RelationalOperatorReplacement,} while (ch <= INT_SPACE);,} while (ch < INT_SPACE);,172,
com/fasterxml/jackson/core/Base64Variant.java,710,RelationalOperatorReplacement,if (bits < 0) {,if (bits <= 0) {,173,
com/fasterxml/jackson/core/Base64Variant.java,715,RelationalOperatorReplacement,if (ptr >= len) {,if (ptr > len) {,174,
com/fasterxml/jackson/core/Base64Variant.java,720,RelationalOperatorReplacement,if (bits < 0) {,if (bits <= 0) {,175,
com/fasterxml/jackson/core/Base64Variant.java,725,RelationalOperatorReplacement,if (ptr >= len) {,if (ptr > len) {,176,
com/fasterxml/jackson/core/Base64Variant.java,738,RelationalOperatorReplacement,if (bits < 0) {,if (bits <= 0) {,177,
com/fasterxml/jackson/core/Base64Variant.java,746,RelationalOperatorReplacement,if (ptr >= len) {,if (ptr > len) {,179,
com/fasterxml/jackson/core/Base64Variant.java,761,RelationalOperatorReplacement,if (ptr >= len) {,if (ptr > len) {,180,
com/fasterxml/jackson/core/Base64Variant.java,772,RelationalOperatorReplacement,if (bits < 0) {,if (bits <= 0) {,181,
com/fasterxml/jackson/core/Base64Variant.java,835,RelationalOperatorReplacement,if (ch <= INT_SPACE) {,if (ch < INT_SPACE) {,190,
com/fasterxml/jackson/core/ErrorReportConfiguration.java,198,RelationalOperatorReplacement,if (maxErrorTokenLength < 0) {,if (maxErrorTokenLength <= 0) {,330,
com/fasterxml/jackson/core/ErrorReportConfiguration.java,205,RelationalOperatorReplacement,if (maxRawContentLength < 0) {,if (maxRawContentLength <= 0) {,331,
com/fasterxml/jackson/core/JsonFactory.java,1349,RelationalOperatorReplacement,if ((_inputDecorator != null) || (strLen > 0x8000) || !canUseCharArrays()) {,if ((_inputDecorator != null) || (strLen >= 0x8000) || !canUseCharArrays()) {,605,
com/fasterxml/jackson/core/JsonFactory.java,2016,RelationalOperatorReplacement,if (_maximumNonEscapedChar > 0) {,if (_maximumNonEscapedChar >= 0) {,609,
com/fasterxml/jackson/core/JsonFactory.java,2049,RelationalOperatorReplacement,if (_maximumNonEscapedChar > 0) {,if (_maximumNonEscapedChar >= 0) {,612,
com/fasterxml/jackson/core/JsonFactoryBuilder.java,195,RelationalOperatorReplacement,"_maximumNonEscapedChar = (maxNonEscaped <= 0) ? 0 : Math.max(127, maxNonEscaped);","_maximumNonEscapedChar = (maxNonEscaped < 0) ? 0 : Math.max(127, maxNonEscaped);",830,
com/fasterxml/jackson/core/JsonFactoryBuilder.java,217,RelationalOperatorReplacement,if (ch > 0x7F) {,if (ch >= 0x7F) {,831,
com/fasterxml/jackson/core/JsonGenerator.java,2928,RelationalOperatorReplacement,if ((offset < 0) || (offset + length) > arrayLength) {,if ((offset <= 0) || (offset + length) > arrayLength) {,1016,
com/fasterxml/jackson/core/JsonGenerator.java,2928,RelationalOperatorReplacement,if ((offset < 0) || (offset + length) > arrayLength) {,if ((offset < 0) || (offset + length) >= arrayLength) {,1017,
