file,line,operator,before,after,mutant_id,paper_category
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,930,NullifyReturnValue,return result;,return null;,14958,added_other
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,845,NullifyReturnValue,"return builder.completeAndClearBuffer(chunk, ix);",return null;,14950,added_other
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,470,NullifyReturnValue,return p.getBinaryValue(ctxt.getBase64Variant());,return null;,14919,added_other
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,478,NullifyReturnValue,"return (byte[]) ctxt.handleWeirdStringValue(byte[].class,",return null;,14920,added_other
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,890,NullifyReturnValue,"return handleNonArray(p, ctxt);",return null;,14955,added_other
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,369,NullifyReturnValue,return new boolean[0];,return null;,14911,added_other
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,486,NullifyReturnValue,if (ob == null) return null;,if (ob == null) return null;,14921,added_other
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,324,NullifyReturnValue,"return (char[]) ctxt.handleUnexpectedToken(_valueClass, p);",return null;,14907,added_other
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,545,NullifyReturnValue,return null;,return null;,14926,added_other
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,624,NullifyReturnValue,"return new short[] { _parseShortPrimitive(p, ctxt) };",return null;,14933,added_other
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,819,NullifyReturnValue,"return handleNonArray(p, ctxt);",return null;,14949,added_other
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,812,NullifyReturnValue,return new float[0];,return null;,14948,added_other
com/fasterxml/jackson/databind/JsonNode.java,512,NullifyReturnValue,return null;,return null;,1883,added_other
com/fasterxml/jackson/databind/util/ArrayBuilders.java,109,NullifyReturnValue,public final short[] _constructArray(int len) { return new short[len]; },public final short[] _constructArray(int len) { return null; },33844,added_other
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,488,NullifyReturnValue,return (byte[]) ob;,return null;,14922,added_other
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,425,NullifyReturnValue,return result;,return null;,14915,added_other
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,696,NullifyReturnValue,"return builder.completeAndClearBuffer(chunk, ix);",return null;,14938,added_other
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,711,NullifyReturnValue,return result;,return null;,14940,added_other
com/fasterxml/jackson/databind/util/ArrayBuilders.java,116,NullifyReturnValue,public final int[] _constructArray(int len) { return new int[len]; },public final int[] _constructArray(int len) { return null; },33845,added_other
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,743,NullifyReturnValue,"return handleNonArray(p, ctxt);",return null;,14943,added_other
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,526,NullifyReturnValue,"return builder.completeAndClearBuffer(chunk, ix);",return null;,14924,added_other
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,851,NullifyReturnValue,"return new float[] { _parseFloatPrimitive(p, ctxt) };",return null;,14951,added_other
com/fasterxml/jackson/databind/node/TreeTraversingParser.java,235,NullifyReturnValue,return getText().toCharArray();,return null;,26509,added_other
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,340,NullifyReturnValue,return result;,return null;,14909,added_other
com/fasterxml/jackson/databind/node/InternalNodeMapper.java,51,NullifyReturnValue,return JSON_MAPPER.writeValueAsBytes(value);,return null;,25591,added_other
com/fasterxml/jackson/databind/node/TreeTraversingParser.java,376,NullifyReturnValue,return null;,return null;,26523,added_other
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,320,NullifyReturnValue,"return Base64Variants.getDefaultVariant().encode((byte[]) ob, false).toCharArray();",return null;,14906,added_other
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,306,NullifyReturnValue,return sb.toString().toCharArray();,return null;,14902,added_other
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,915,NullifyReturnValue,"return builder.completeAndClearBuffer(chunk, ix);",return null;,14956,added_other
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,736,NullifyReturnValue,return new long[0];,return null;,14942,added_other
