file,line,operator,before,after,mutant_id,paper_category
com/fasterxml/jackson/databind/jsontype/BasicPolymorphicTypeValidator.java,104,NullifyInputVariable,public Builder allowIfBaseType(final Class<?> baseOfBase) {,public Builder allowIfBaseType(final Class<?> baseOfBase) { baseOfBase = null;,76,reduced_nullify_final_param_non_compilable
com/fasterxml/jackson/databind/PropertyNamingStrategies.java,132,NullifyInputVariable,{,{ input = null;,61,reduced_nullify_input_other_filter
com/fasterxml/jackson/databind/ser/impl/SimpleBeanPropertyFilter.java,97,NullifyInputVariable,{,{ src = null;,44,reduced_nullify_input_other_filter
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,779,RemoveMethod,DeserializationContext ctxt) throws IOException {,DeserializationContext ctxt) throws IOException {,236,reduced_remove_method_other
com/fasterxml/jackson/databind/jsontype/BasicPolymorphicTypeValidator.java,130,NullifyInputVariable,public Builder allowIfBaseType(final Pattern patternForBase) {,public Builder allowIfBaseType(final Pattern patternForBase) { patternForBase = null;,73,reduced_nullify_final_param_non_compilable
com/fasterxml/jackson/databind/util/ArrayBuilders.java,109,RemoveMethod,public final short[] _constructArray(int len) { return new short[len]; },public final short[] _constructArray(int len) {,74,reduced_remove_method_other
com/fasterxml/jackson/databind/util/BeanUtil.java,257,NullifyInputVariable,{,{ basename = null;,60,reduced_nullify_input_other_filter
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,335,RemoveMethod,"protected char[] _concat(char[] oldValue, char[] newValue) {","protected char[] _concat(char[] oldValue, char[] newValue) {",280,reduced_remove_method_other
com/fasterxml/jackson/databind/deser/std/PrimitiveArrayDeserializers.java,628,RemoveMethod,"protected short[] _concat(short[] oldValue, short[] newValue) {","protected short[] _concat(short[] oldValue, short[] newValue) {",252,reduced_remove_method_other
com/fasterxml/jackson/databind/deser/std/MapDeserializer.java,864,NullifyInputVariable,{,{ result = null;,193,reduced_nullify_input_other_filter
com/fasterxml/jackson/databind/deser/std/FactoryBasedEnumDeserializer.java,224,NullifyInputVariable,{,{ p = null;,67,reduced_nullify_input_other_filter
