file,line,operator,before,after,mutant_id,paper_category
com/fasterxml/jackson/databind/DatabindContext.java,191,RelationalOperatorReplacement,if (subClassName.indexOf('<') > 0) {,if (subClassName.indexOf('<') >= 0) {,547,
com/fasterxml/jackson/databind/DatabindContext.java,231,RelationalOperatorReplacement,if (ltIndex > 0) {,if (ltIndex >= 0) {,548,
com/fasterxml/jackson/databind/DatabindContext.java,433,RelationalOperatorReplacement,if (msgArgs.length > 0) {,if (msgArgs.length >= 0) {,563,
com/fasterxml/jackson/databind/DatabindContext.java,446,RelationalOperatorReplacement,if (desc.length() <= MAX_ERROR_STR_LEN) {,if (desc.length() < MAX_ERROR_STR_LEN) {,565,
com/fasterxml/jackson/databind/DeserializationConfig.java,599,RelationalOperatorReplacement,if (features.length > 0 && (features[0] instanceof JsonReadFeature)) {,if (features.length >= 0 && (features[0] instanceof JsonReadFeature)) {,802,
com/fasterxml/jackson/databind/DeserializationConfig.java,644,RelationalOperatorReplacement,if (features.length > 0 && (features[0] instanceof JsonReadFeature)) {,if (features.length >= 0 && (features[0] instanceof JsonReadFeature)) {,807,
com/fasterxml/jackson/databind/DeserializationContext.java,795,RelationalOperatorReplacement,|| buf.initialCapacity() >= _objectBuffer.initialCapacity()) {,|| buf.initialCapacity() > _objectBuffer.initialCapacity()) {,1217,
com/fasterxml/jackson/databind/EnumNamingStrategies.java,93,RelationalOperatorReplacement,for (int i = start; i < length; i++) {,for (int i = start; i <= length; i++) {,1456,
com/fasterxml/jackson/databind/EnumNamingStrategies.java,115,RelationalOperatorReplacement,for (int i = 0; i < length; i++) {,for (int i = 0; i <= length; i++) {,1459,
com/fasterxml/jackson/databind/JavaType.java,434,RelationalOperatorReplacement,public boolean hasGenericTypes() { return containedTypeCount() > 0; },public boolean hasGenericTypes() { return containedTypeCount() >= 0; },1535,
com/fasterxml/jackson/databind/JsonMappingException.java,139,RelationalOperatorReplacement,while (--arrays >= 0) {,while (--arrays > 0) {,1763,
