file,line,operator,before,after,mutant_id,paper_category
com/fasterxml/jackson/databind/AnnotationIntrospector.java,1311,NullifyInputVariable,{,{ baseType = null;,110,
com/fasterxml/jackson/databind/AnnotationIntrospector.java,1311,NullifyInputVariable,{,{ a = null;,111,
com/fasterxml/jackson/databind/AnnotationIntrospector.java,1311,NullifyInputVariable,{,{ config = null;,112,
com/fasterxml/jackson/databind/AnnotationIntrospector.java,930,NullifyInputVariable,{,{ baseType = null;,148,
com/fasterxml/jackson/databind/AnnotationIntrospector.java,930,NullifyInputVariable,{,{ a = null;,149,
com/fasterxml/jackson/databind/AnnotationIntrospector.java,930,NullifyInputVariable,{,{ config = null;,150,
com/fasterxml/jackson/databind/DatabindContext.java,231,RelationalOperatorReplacement,if (ltIndex > 0) {,if (ltIndex <= 0) {,21,
com/fasterxml/jackson/databind/DatabindContext.java,191,RelationalOperatorReplacement,if (subClassName.indexOf('<') > 0) {,if (subClassName.indexOf('<') <= 0) {,22,
com/fasterxml/jackson/databind/DatabindContext.java,446,RelationalOperatorReplacement,if (desc.length() <= MAX_ERROR_STR_LEN) {,if (desc.length() > MAX_ERROR_STR_LEN) {,4,
com/fasterxml/jackson/databind/DatabindContext.java,433,RelationalOperatorReplacement,if (msgArgs.length > 0) {,if (msgArgs.length <= 0) {,6,
com/fasterxml/jackson/databind/DeserializationConfig.java,644,RelationalOperatorReplacement,if (features.length > 0 && (features[0] instanceof JsonReadFeature)) {,if (features.length <= 0 && (features[0] instanceof JsonReadFeature)) {,30,
com/fasterxml/jackson/databind/DeserializationConfig.java,599,RelationalOperatorReplacement,if (features.length > 0 && (features[0] instanceof JsonReadFeature)) {,if (features.length <= 0 && (features[0] instanceof JsonReadFeature)) {,35,
com/fasterxml/jackson/databind/DeserializationContext.java,795,RelationalOperatorReplacement,|| buf.initialCapacity() >= _objectBuffer.initialCapacity()) {,|| buf.initialCapacity() < _objectBuffer.initialCapacity()) {,45,
com/fasterxml/jackson/databind/EnumNamingStrategies.java,115,RelationalOperatorReplacement,for (int i = 0; i < length; i++) {,for (int i = 0; i >= length; i++) {,1,
com/fasterxml/jackson/databind/EnumNamingStrategies.java,93,RelationalOperatorReplacement,for (int i = start; i < length; i++) {,for (int i = start; i >= length; i++) {,4,
com/fasterxml/jackson/databind/JavaType.java,434,RelationalOperatorReplacement,public boolean hasGenericTypes() { return containedTypeCount() > 0; },public boolean hasGenericTypes() { return containedTypeCount() <= 0; },5,
com/fasterxml/jackson/databind/JsonMappingException.java,148,RelationalOperatorReplacement,} else if (_index >= 0) {,} else if (_index < 0) {,10,
com/fasterxml/jackson/databind/JsonMappingException.java,139,RelationalOperatorReplacement,while (--arrays >= 0) {,while (--arrays < 0) {,12,
com/fasterxml/jackson/databind/JsonMappingException.java,475,RelationalOperatorReplacement,if (_path.size() < MAX_REFS_TO_LIST) {,if (_path.size() >= MAX_REFS_TO_LIST) {,4,
com/fasterxml/jackson/databind/JsonNode.java,890,NullifyInputVariable,public final JsonNode requiredAt(final JsonPointer path) throws IllegalArgumentException {,public final JsonNode requiredAt(final JsonPointer path) throws IllegalArgumentException { path = null;,93,
com/fasterxml/jackson/databind/ObjectMapper.java,1166,NullifyInputVariable,"private static <T> ServiceLoader<T> secureGetServiceLoader(final Class<T> clazz, final ClassLoader classLoader) {","private static <T> ServiceLoader<T> secureGetServiceLoader(final Class<T> clazz, final ClassLoader classLoader) { classLoader = null;",664,
