file,line,operator,before,after,mutant_id,paper_category
com/fasterxml/jackson/dataformat/xml/DefaultingXmlTypeResolverBuilder.java,68,RelationalOperatorReplacement,if (_customIdResolver != null) {,if (_customIdResolver == null) {,1,
com/fasterxml/jackson/dataformat/xml/DefaultingXmlTypeResolverBuilder.java,49,NullifyReturnValue,return this;,return null;,10,
com/fasterxml/jackson/dataformat/xml/DefaultingXmlTypeResolverBuilder.java,68,RemoveNullCheck,if (_customIdResolver != null) {,if (true) {,11,
com/fasterxml/jackson/dataformat/xml/DefaultingXmlTypeResolverBuilder.java,56,RemoveNullCheck,if (typeIdPropName == null || typeIdPropName.length() == 0) {,if (false || typeIdPropName.length() == 0) {,12,
com/fasterxml/jackson/dataformat/xml/DefaultingXmlTypeResolverBuilder.java,46,RemoveNullCheck,if (_typeProperty != null) {,if (true) {,13,
com/fasterxml/jackson/dataformat/xml/DefaultingXmlTypeResolverBuilder.java,56,ConditionalOperatorReplacement,if (typeIdPropName == null || typeIdPropName.length() == 0) {,if (typeIdPropName == null && typeIdPropName.length() == 0) {,14,
com/fasterxml/jackson/dataformat/xml/DefaultingXmlTypeResolverBuilder.java,67,NullifyInputVariable,{,{ subtypes = null;,15,
com/fasterxml/jackson/dataformat/xml/DefaultingXmlTypeResolverBuilder.java,67,NullifyInputVariable,{,{ subtypeValidator = null;,16,
com/fasterxml/jackson/dataformat/xml/DefaultingXmlTypeResolverBuilder.java,67,NullifyInputVariable,{,{ baseType = null;,17,
com/fasterxml/jackson/dataformat/xml/DefaultingXmlTypeResolverBuilder.java,67,NullifyInputVariable,{,{ config = null;,18,
com/fasterxml/jackson/dataformat/xml/DefaultingXmlTypeResolverBuilder.java,54,NullifyInputVariable,{,{ typeIdPropName = null;,19,
com/fasterxml/jackson/dataformat/xml/DefaultingXmlTypeResolverBuilder.java,56,RelationalOperatorReplacement,if (typeIdPropName == null || typeIdPropName.length() == 0) {,if (typeIdPropName == null || typeIdPropName.length() != 0) {,2,
com/fasterxml/jackson/dataformat/xml/DefaultingXmlTypeResolverBuilder.java,44,NullifyInputVariable,{,{ idRes = null;,20,
com/fasterxml/jackson/dataformat/xml/DefaultingXmlTypeResolverBuilder.java,44,NullifyInputVariable,{,{ idType = null;,21,
com/fasterxml/jackson/dataformat/xml/DefaultingXmlTypeResolverBuilder.java,77,NullifyObjectInitialization,"return new XmlTypeResolverBuilder.XmlMinimalClassNameIdResolver(baseType, config.getTypeFactory(),",return null;,22,
