file,line,operator,before,after,mutant_id,paper_category
com/fasterxml/jackson/dataformat/xml/DefaultingXmlTypeResolverBuilder.java,56,ConditionalOperatorReplacement,if (typeIdPropName == null || typeIdPropName.length() == 0) {,if (typeIdPropName == null && typeIdPropName.length() == 0) {,0,
com/fasterxml/jackson/dataformat/xml/DefaultingXmlTypeResolverBuilder.java,44,NullifyInputVariable,{,{ idRes = null;,1,
com/fasterxml/jackson/dataformat/xml/DefaultingXmlTypeResolverBuilder.java,49,NullifyReturnValue,return this;,return null;,10,
com/fasterxml/jackson/dataformat/xml/DefaultingXmlTypeResolverBuilder.java,60,NullifyReturnValue,return this;,return null;,11,
com/fasterxml/jackson/dataformat/xml/DefaultingXmlTypeResolverBuilder.java,69,NullifyReturnValue,return _customIdResolver;,return null;,12,
com/fasterxml/jackson/dataformat/xml/DefaultingXmlTypeResolverBuilder.java,74,NullifyReturnValue,"return new XmlTypeResolverBuilder.XmlClassNameIdResolver(baseType, config.getTypeFactory(),",return null;,13,
com/fasterxml/jackson/dataformat/xml/DefaultingXmlTypeResolverBuilder.java,77,NullifyReturnValue,"return new XmlTypeResolverBuilder.XmlMinimalClassNameIdResolver(baseType, config.getTypeFactory(),",return null;,14,
com/fasterxml/jackson/dataformat/xml/DefaultingXmlTypeResolverBuilder.java,81,NullifyReturnValue,"return super.idResolver(config, baseType, subtypeValidator, subtypes, forSer, forDeser);",return null;,15,
com/fasterxml/jackson/dataformat/xml/DefaultingXmlTypeResolverBuilder.java,46,RelationalOperatorReplacement,if (_typeProperty != null) {,if (_typeProperty == null) {,16,
com/fasterxml/jackson/dataformat/xml/DefaultingXmlTypeResolverBuilder.java,56,RelationalOperatorReplacement,if (typeIdPropName == null || typeIdPropName.length() == 0) {,if (typeIdPropName != null || typeIdPropName.length() == 0) {,17,
com/fasterxml/jackson/dataformat/xml/DefaultingXmlTypeResolverBuilder.java,56,RelationalOperatorReplacement,if (typeIdPropName == null || typeIdPropName.length() == 0) {,if (typeIdPropName == null || typeIdPropName.length() != 0) {,18,
com/fasterxml/jackson/dataformat/xml/DefaultingXmlTypeResolverBuilder.java,68,RelationalOperatorReplacement,if (_customIdResolver != null) {,if (_customIdResolver == null) {,19,
com/fasterxml/jackson/dataformat/xml/DefaultingXmlTypeResolverBuilder.java,44,NullifyInputVariable,{,{ idType = null;,2,
com/fasterxml/jackson/dataformat/xml/DefaultingXmlTypeResolverBuilder.java,44,RemoveMethod,{,{,20,
com/fasterxml/jackson/dataformat/xml/DefaultingXmlTypeResolverBuilder.java,54,RemoveMethod,{,{,21,
com/fasterxml/jackson/dataformat/xml/DefaultingXmlTypeResolverBuilder.java,67,RemoveMethod,{,{,22,
com/fasterxml/jackson/dataformat/xml/DefaultingXmlTypeResolverBuilder.java,46,RemoveNullCheck,if (_typeProperty != null) {,if (true) {,23,
com/fasterxml/jackson/dataformat/xml/DefaultingXmlTypeResolverBuilder.java,56,RemoveNullCheck,if (typeIdPropName == null || typeIdPropName.length() == 0) {,if (false || typeIdPropName.length() == 0) {,24,
com/fasterxml/jackson/dataformat/xml/DefaultingXmlTypeResolverBuilder.java,68,RemoveNullCheck,if (_customIdResolver != null) {,if (true) {,25,
com/fasterxml/jackson/dataformat/xml/DefaultingXmlTypeResolverBuilder.java,54,NullifyInputVariable,{,{ typeIdPropName = null;,3,
com/fasterxml/jackson/dataformat/xml/DefaultingXmlTypeResolverBuilder.java,67,NullifyInputVariable,{,{ subtypes = null;,4,
com/fasterxml/jackson/dataformat/xml/DefaultingXmlTypeResolverBuilder.java,67,NullifyInputVariable,{,{ subtypeValidator = null;,5,
com/fasterxml/jackson/dataformat/xml/DefaultingXmlTypeResolverBuilder.java,67,NullifyInputVariable,{,{ baseType = null;,6,
com/fasterxml/jackson/dataformat/xml/DefaultingXmlTypeResolverBuilder.java,67,NullifyInputVariable,{,{ config = null;,7,
com/fasterxml/jackson/dataformat/xml/DefaultingXmlTypeResolverBuilder.java,74,NullifyObjectInitialization,"return new XmlTypeResolverBuilder.XmlClassNameIdResolver(baseType, config.getTypeFactory(),",return null;,8,
com/fasterxml/jackson/dataformat/xml/DefaultingXmlTypeResolverBuilder.java,77,NullifyObjectInitialization,"return new XmlTypeResolverBuilder.XmlMinimalClassNameIdResolver(baseType, config.getTypeFactory(),",return null;,9,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,174,RemoveMethod,{,{,100,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,183,RemoveMethod,"public Boolean isOutputAsCData(MapperConfig<?> config, Annotated ann) {","public Boolean isOutputAsCData(MapperConfig<?> config, Annotated ann) {",101,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,199,RemoveMethod,{,{,102,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,212,RemoveMethod,{,{,103,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,234,RemoveMethod,protected StdTypeResolverBuilder _constructStdTypeResolverBuilder() {,protected StdTypeResolverBuilder _constructStdTypeResolverBuilder() {,104,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,239,RemoveMethod,"protected TypeResolverBuilder<?> _constructStdTypeResolverBuilder(MapperConfig<?> config, JsonTypeInfo.Value typeInfo, JavaType baseType) {","protected TypeResolverBuilder<?> _constructStdTypeResolverBuilder(MapperConfig<?> config, JsonTypeInfo.Value typeInfo, JavaType baseType) {",105,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,250,RemoveMethod,{,{,106,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,75,RemoveNullCheck,if (w != null) {,if (true) {,107,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,82,RemoveNullCheck,if (localName == null || localName.length() == 0) {,if (false || localName.length() == 0) {,108,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,99,RemoveNullCheck,if (root != null) {,if (true) {,109,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,122,RemoveNullCheck,if (xmlProp != null) {,if (true) {,110,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,128,RemoveNullCheck,if (jprop != null) {,if (true) {,111,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,131,RemoveNullCheck,if (ns1 == null) {,if (false) {,112,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,134,RemoveNullCheck,if (ns2 == null) {,if (false) {,113,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,166,RemoveNullCheck,if (prop != null) {,if (true) {,114,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,176,RemoveNullCheck,if (prop != null) {,if (true) {,115,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,185,RemoveNullCheck,if (prop != null) {,if (true) {,116,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,202,RemoveNullCheck,if (pn == null) {,if (false) {,117,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,215,RemoveNullCheck,if (pn == null) {,if (false) {,118,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,252,RemoveNullCheck,if (pann != null) {,if (true) {,119,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,77,ConditionalOperatorDeletion,if (!w.useWrapping()) {,if ( w.useWrapping()) {,26,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,82,ConditionalOperatorReplacement,if (localName == null || localName.length() == 0) {,if (localName == null && localName.length() == 0) {,27,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,103,ConditionalOperatorReplacement,if (local.length() == 0 && ns.length() == 0) {,if (local.length() == 0 || ns.length() == 0) {,28,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,73,NullifyInputVariable,{,{ ann = null;,29,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,97,NullifyInputVariable,{,{ ac = null;,30,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,119,NullifyInputVariable,{,{ ann = null;,31,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,119,NullifyInputVariable,{,{ config = null;,32,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,152,NullifyInputVariable,List<BeanPropertyWriter> properties) {,List<BeanPropertyWriter> properties) { properties = null;,33,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,152,NullifyInputVariable,List<BeanPropertyWriter> properties) {,List<BeanPropertyWriter> properties) { ac = null;,34,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,152,NullifyInputVariable,List<BeanPropertyWriter> properties) {,List<BeanPropertyWriter> properties) { config = null;,35,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,164,NullifyInputVariable,{,{ ann = null;,36,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,164,NullifyInputVariable,{,{ config = null;,37,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,174,NullifyInputVariable,{,{ ann = null;,38,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,174,NullifyInputVariable,{,{ config = null;,39,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,183,NullifyInputVariable,"public Boolean isOutputAsCData(MapperConfig<?> config, Annotated ann) {","public Boolean isOutputAsCData(MapperConfig<?> config, Annotated ann) { ann = null;",40,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,183,NullifyInputVariable,"public Boolean isOutputAsCData(MapperConfig<?> config, Annotated ann) {","public Boolean isOutputAsCData(MapperConfig<?> config, Annotated ann) { config = null;",41,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,199,NullifyInputVariable,{,{ a = null;,42,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,212,NullifyInputVariable,{,{ a = null;,43,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,239,NullifyInputVariable,"protected TypeResolverBuilder<?> _constructStdTypeResolverBuilder(MapperConfig<?> config, JsonTypeInfo.Value typeInfo, JavaType baseType) {","protected TypeResolverBuilder<?> _constructStdTypeResolverBuilder(MapperConfig<?> config, JsonTypeInfo.Value typeInfo, JavaType baseType) { baseType = null;",44,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,239,NullifyInputVariable,"protected TypeResolverBuilder<?> _constructStdTypeResolverBuilder(MapperConfig<?> config, JsonTypeInfo.Value typeInfo, JavaType baseType) {","protected TypeResolverBuilder<?> _constructStdTypeResolverBuilder(MapperConfig<?> config, JsonTypeInfo.Value typeInfo, JavaType baseType) { typeInfo = null;",45,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,239,NullifyInputVariable,"protected TypeResolverBuilder<?> _constructStdTypeResolverBuilder(MapperConfig<?> config, JsonTypeInfo.Value typeInfo, JavaType baseType) {","protected TypeResolverBuilder<?> _constructStdTypeResolverBuilder(MapperConfig<?> config, JsonTypeInfo.Value typeInfo, JavaType baseType) { config = null;",46,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,250,NullifyInputVariable,{,{ a = null;,47,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,106,NullifyObjectInitialization,"return new PropertyName(local, ns);",return null;,48,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,235,NullifyObjectInitialization,return new XmlTypeResolverBuilder();,return null;,49,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,240,NullifyObjectInitialization,return new XmlTypeResolverBuilder(typeInfo);,return null;,50,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,78,NullifyReturnValue,return PropertyName.NO_NAME;,return null;,51,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,83,NullifyReturnValue,return PropertyName.USE_DEFAULT;,return null;,52,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,85,NullifyReturnValue,"return PropertyName.construct(w.localName(), w.namespace());",return null;,53,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,90,NullifyReturnValue,return PropertyName.USE_DEFAULT;,return null;,54,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,92,NullifyReturnValue,return null;,return null;,55,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,104,NullifyReturnValue,return PropertyName.USE_DEFAULT;,return null;,56,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,106,NullifyReturnValue,"return new PropertyName(local, ns);",return null;,57,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,108,NullifyReturnValue,return super.findRootName(ac);,return null;,58,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,132,NullifyReturnValue,return ns2;,return null;,59,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,135,NullifyReturnValue,return ns1;,return null;,60,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,138,NullifyReturnValue,return ns2;,return null;,61,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,140,NullifyReturnValue,return ns1;,return null;,62,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,167,NullifyReturnValue,return prop.isAttribute() ? Boolean.TRUE : Boolean.FALSE;,return null;,63,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,169,NullifyReturnValue,return null;,return null;,64,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,177,NullifyReturnValue,return prop.value() ? Boolean.TRUE : Boolean.FALSE;,return null;,65,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,179,NullifyReturnValue,return null;,return null;,66,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,186,NullifyReturnValue,return prop.value() ? Boolean.TRUE : Boolean.FALSE;,return null;,67,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,188,NullifyReturnValue,return null;,return null;,68,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,204,NullifyReturnValue,return PropertyName.USE_DEFAULT;,return null;,69,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,207,NullifyReturnValue,return pn;,return null;,70,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,217,NullifyReturnValue,return PropertyName.USE_DEFAULT;,return null;,71,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,220,NullifyReturnValue,return pn;,return null;,72,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,235,NullifyReturnValue,return new XmlTypeResolverBuilder();,return null;,73,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,240,NullifyReturnValue,return new XmlTypeResolverBuilder(typeInfo);,return null;,74,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,253,NullifyReturnValue,"return PropertyName.construct(pann.localName(), pann.namespace());",return null;,75,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,255,NullifyReturnValue,return null;,return null;,76,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,75,RelationalOperatorReplacement,if (w != null) {,if (w == null) {,77,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,82,RelationalOperatorReplacement,if (localName == null || localName.length() == 0) {,if (localName != null || localName.length() == 0) {,78,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,82,RelationalOperatorReplacement,if (localName == null || localName.length() == 0) {,if (localName == null || localName.length() != 0) {,79,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,99,RelationalOperatorReplacement,if (root != null) {,if (root == null) {,80,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,103,RelationalOperatorReplacement,if (local.length() == 0 && ns.length() == 0) {,if (local.length() != 0 && ns.length() == 0) {,81,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,103,RelationalOperatorReplacement,if (local.length() == 0 && ns.length() == 0) {,if (local.length() == 0 && ns.length() != 0) {,82,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,122,RelationalOperatorReplacement,if (xmlProp != null) {,if (xmlProp == null) {,83,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,128,RelationalOperatorReplacement,if (jprop != null) {,if (jprop == null) {,84,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,131,RelationalOperatorReplacement,if (ns1 == null) {,if (ns1 != null) {,85,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,134,RelationalOperatorReplacement,if (ns2 == null) {,if (ns2 != null) {,86,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,166,RelationalOperatorReplacement,if (prop != null) {,if (prop == null) {,87,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,176,RelationalOperatorReplacement,if (prop != null) {,if (prop == null) {,88,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,185,RelationalOperatorReplacement,if (prop != null) {,if (prop == null) {,89,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,202,RelationalOperatorReplacement,if (pn == null) {,if (pn != null) {,90,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,215,RelationalOperatorReplacement,if (pn == null) {,if (pn != null) {,91,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,252,RelationalOperatorReplacement,if (pann != null) {,if (pann == null) {,92,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,61,RemoveMethod,public void setDefaultUseWrapper(boolean b) {,public void setDefaultUseWrapper(boolean b) {,93,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,73,RemoveMethod,{,{,94,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,97,RemoveMethod,{,{,95,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,119,RemoveMethod,{,{,96,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,119,RemoveMethod,{,{,97,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,152,RemoveMethod,List<BeanPropertyWriter> properties) {,List<BeanPropertyWriter> properties) {,98,
com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java,164,RemoveMethod,{,{,99,
com/fasterxml/jackson/dataformat/xml/JacksonXmlModule.java,72,NullifyInputVariable,{,{ context = null;,120,
com/fasterxml/jackson/dataformat/xml/JacksonXmlModule.java,128,NullifyInputVariable,public void setXMLTextElementName(String name) {,public void setXMLTextElementName(String name) { name = null;,121,
com/fasterxml/jackson/dataformat/xml/JacksonXmlModule.java,137,NullifyInputVariable,public JacksonXmlModule overrideSerializerFactory(SerializerFactory factory) {,public JacksonXmlModule overrideSerializerFactory(SerializerFactory factory) { factory = null;,122,
com/fasterxml/jackson/dataformat/xml/JacksonXmlModule.java,74,NullifyObjectInitialization,context.addBeanSerializerModifier(new XmlBeanSerializerModifier());,context.addBeanSerializerModifier(null);,123,
com/fasterxml/jackson/dataformat/xml/JacksonXmlModule.java,75,NullifyObjectInitialization,context.addBeanDeserializerModifier(new XmlBeanDeserializerModifier(_cfgNameForTextElement));,context.addBeanDeserializerModifier(null);,124,
com/fasterxml/jackson/dataformat/xml/JacksonXmlModule.java,162,NullifyObjectInitialization,return new JacksonXmlAnnotationIntrospector(_cfgDefaultUseWrapper);,return null;,125,
com/fasterxml/jackson/dataformat/xml/JacksonXmlModule.java,139,NullifyReturnValue,return this;,return null;,126,
com/fasterxml/jackson/dataformat/xml/JacksonXmlModule.java,152,NullifyReturnValue,return _serializerFactoryOverride;,return null;,127,
com/fasterxml/jackson/dataformat/xml/JacksonXmlModule.java,162,NullifyReturnValue,return new JacksonXmlAnnotationIntrospector(_cfgDefaultUseWrapper);,return null;,128,
com/fasterxml/jackson/dataformat/xml/JacksonXmlModule.java,81,RelationalOperatorReplacement,if (_cfgNameForTextElement != FromXmlParser.DEFAULT_UNNAMED_TEXT_PROPERTY) {,if (_cfgNameForTextElement == FromXmlParser.DEFAULT_UNNAMED_TEXT_PROPERTY) {,129,
com/fasterxml/jackson/dataformat/xml/JacksonXmlModule.java,72,RemoveMethod,{,{,130,
com/fasterxml/jackson/dataformat/xml/JacksonXmlModule.java,111,RemoveMethod,public void setDefaultUseWrapper(boolean state) {,public void setDefaultUseWrapper(boolean state) {,131,
com/fasterxml/jackson/dataformat/xml/JacksonXmlModule.java,128,RemoveMethod,public void setXMLTextElementName(String name) {,public void setXMLTextElementName(String name) {,132,
com/fasterxml/jackson/dataformat/xml/JacksonXmlModule.java,137,RemoveMethod,public JacksonXmlModule overrideSerializerFactory(SerializerFactory factory) {,public JacksonXmlModule overrideSerializerFactory(SerializerFactory factory) {,133,
com/fasterxml/jackson/dataformat/xml/JacksonXmlModule.java,151,RemoveMethod,public SerializerFactory serializerFactoryOverride() {,public SerializerFactory serializerFactoryOverride() {,134,
com/fasterxml/jackson/dataformat/xml/JacksonXmlModule.java,161,RemoveMethod,protected AnnotationIntrospector _constructIntrospector() {,protected AnnotationIntrospector _constructIntrospector() {,135,
com/fasterxml/jackson/dataformat/xml/XmlAnnotationIntrospector.java,58,ConditionalOperatorReplacement,if ((value == null) && (_xmlSecondary != null)) {,if ((value == null) || (_xmlSecondary != null)) {,136,
com/fasterxml/jackson/dataformat/xml/XmlAnnotationIntrospector.java,68,ConditionalOperatorReplacement,if ((value == null) && (_xmlSecondary != null)) {,if ((value == null) || (_xmlSecondary != null)) {,137,
com/fasterxml/jackson/dataformat/xml/XmlAnnotationIntrospector.java,78,ConditionalOperatorReplacement,if ((value == null) && (_xmlSecondary != null)) {,if ((value == null) || (_xmlSecondary != null)) {,138,
com/fasterxml/jackson/dataformat/xml/XmlAnnotationIntrospector.java,87,ConditionalOperatorReplacement,if ((value == null) && (_xmlSecondary != null)) {,if ((value == null) || (_xmlSecondary != null)) {,139,
com/fasterxml/jackson/dataformat/xml/XmlAnnotationIntrospector.java,50,NullifyInputVariable,"public static XmlAnnotationIntrospector.Pair instance(AnnotationIntrospector a1, AnnotationIntrospector a2) {","public static XmlAnnotationIntrospector.Pair instance(AnnotationIntrospector a1, AnnotationIntrospector a2) { a2 = null;",140,
com/fasterxml/jackson/dataformat/xml/XmlAnnotationIntrospector.java,50,NullifyInputVariable,"public static XmlAnnotationIntrospector.Pair instance(AnnotationIntrospector a1, AnnotationIntrospector a2) {","public static XmlAnnotationIntrospector.Pair instance(AnnotationIntrospector a1, AnnotationIntrospector a2) { a1 = null;",141,
com/fasterxml/jackson/dataformat/xml/XmlAnnotationIntrospector.java,56,NullifyInputVariable,{,{ ann = null;,142,
com/fasterxml/jackson/dataformat/xml/XmlAnnotationIntrospector.java,56,NullifyInputVariable,{,{ config = null;,143,
com/fasterxml/jackson/dataformat/xml/XmlAnnotationIntrospector.java,66,NullifyInputVariable,{,{ ann = null;,144,
com/fasterxml/jackson/dataformat/xml/XmlAnnotationIntrospector.java,66,NullifyInputVariable,{,{ config = null;,145,
com/fasterxml/jackson/dataformat/xml/XmlAnnotationIntrospector.java,76,NullifyInputVariable,{,{ ann = null;,146,
com/fasterxml/jackson/dataformat/xml/XmlAnnotationIntrospector.java,76,NullifyInputVariable,{,{ config = null;,147,
com/fasterxml/jackson/dataformat/xml/XmlAnnotationIntrospector.java,85,NullifyInputVariable,"public Boolean isOutputAsCData(MapperConfig<?> config, Annotated ann) {","public Boolean isOutputAsCData(MapperConfig<?> config, Annotated ann) { ann = null;",148,
com/fasterxml/jackson/dataformat/xml/XmlAnnotationIntrospector.java,85,NullifyInputVariable,"public Boolean isOutputAsCData(MapperConfig<?> config, Annotated ann) {","public Boolean isOutputAsCData(MapperConfig<?> config, Annotated ann) { config = null;",149,
com/fasterxml/jackson/dataformat/xml/XmlAnnotationIntrospector.java,51,NullifyObjectInitialization,"return new XmlAnnotationIntrospector.Pair(a1, a2);",return null;,150,
com/fasterxml/jackson/dataformat/xml/XmlAnnotationIntrospector.java,51,NullifyReturnValue,"return new XmlAnnotationIntrospector.Pair(a1, a2);",return null;,151,
com/fasterxml/jackson/dataformat/xml/XmlAnnotationIntrospector.java,61,NullifyReturnValue,return value;,return null;,152,
