file,line,operator,before,after,mutant_id,paper_category
com/fasterxml/jackson/dataformat/xml/XmlFactory.java,884,RelationalOperatorReplacement,"for (int i = 0, len = matchStr.length(); i < len; ++i) {","for (int i = 0, len = matchStr.length(); i >= len; ++i) {",15,
com/fasterxml/jackson/dataformat/xml/XmlFactory.java,874,RelationalOperatorReplacement,"if (ch >= 'A') { // in theory, colon could be; in practice it should never be valid (wrt namespace)","if (ch < 'A') { // in theory, colon could be; in practice it should never be valid (wrt namespace)",16,
com/fasterxml/jackson/dataformat/xml/XmlFactory.java,809,RelationalOperatorReplacement,if (ch < 0) {,if (ch >= 0) {,26,
com/fasterxml/jackson/dataformat/xml/XmlTypeResolverBuilder.java,116,RelationalOperatorReplacement,} while (ix >= 0);,} while (ix < 0);,1,
com/fasterxml/jackson/dataformat/xml/XmlTypeResolverBuilder.java,111,RelationalOperatorReplacement,if (ix >= 0) {,if (ix < 0) {,2,
com/fasterxml/jackson/dataformat/xml/XmlTypeResolverBuilder.java,98,RelationalOperatorReplacement,} while (ix >= 0);,} while (ix < 0);,3,
com/fasterxml/jackson/dataformat/xml/XmlTypeResolverBuilder.java,93,RelationalOperatorReplacement,if (ix >= 0) {,if (ix < 0) {,4,
com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,634,RelationalOperatorReplacement,if (len <= 18) { // definitely in long range,if (len > 18) { // definitely in long range,106,
com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,628,RelationalOperatorReplacement,if (len <= 9) {,if (len > 9) {,107,
com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,627,RelationalOperatorReplacement,if (len > 0) {,if (len <= 0) {,108,
com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,1334,RelationalOperatorReplacement,|| BI_MAX_LONG.compareTo(_numberBigInt) < 0) {,|| BI_MAX_LONG.compareTo(_numberBigInt) >= 0) {,47,
com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,1333,RelationalOperatorReplacement,if (BI_MIN_LONG.compareTo(_numberBigInt) > 0,if (BI_MIN_LONG.compareTo(_numberBigInt) <= 0,48,
com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,1318,RelationalOperatorReplacement,|| BI_MAX_INT.compareTo(_numberBigInt) < 0) {,|| BI_MAX_INT.compareTo(_numberBigInt) >= 0) {,51,
com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,1317,RelationalOperatorReplacement,if (BI_MIN_INT.compareTo(_numberBigInt) > 0,if (BI_MIN_INT.compareTo(_numberBigInt) <= 0,52,
com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,1297,RelationalOperatorReplacement,if (ch > '9' || ch < '0') {,if (ch > '9' || ch >= '0') {,56,
com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,1297,RelationalOperatorReplacement,if (ch > '9' || ch < '0') {,if (ch <= '9' || ch < '0') {,57,
com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,1295,RelationalOperatorReplacement,for (int i = start; i < len; ++i) {,for (int i = start; i >= len; ++i) {,58,
com/fasterxml/jackson/dataformat/xml/deser/FromXmlParser.java,1291,RelationalOperatorReplacement,if (len > 0) {,if (len <= 0) {,60,
com/fasterxml/jackson/dataformat/xml/deser/XmlBeanDeserializerModifier.java,38,RelationalOperatorReplacement,"for (int i = 0, propCount = propDefs.size(); i < propCount; ++i) {","for (int i = 0, propCount = propDefs.size(); i >= propCount; ++i) {",12,
com/fasterxml/jackson/dataformat/xml/deser/XmlBeanDeserializerModifier.java,64,RelationalOperatorReplacement,if ((localName != null && localName.length() > 0),if ((localName != null && localName.length() <= 0),5,
com/fasterxml/jackson/dataformat/xml/deser/XmlTokenStream.java,839,RelationalOperatorReplacement,if (str.charAt(i) > ' ') {,if (str.charAt(i) <= ' ') {,1,
com/fasterxml/jackson/dataformat/xml/deser/XmlTokenStream.java,697,RelationalOperatorReplacement,if (count >= 1) {,if (count < 1) {,12,
com/fasterxml/jackson/dataformat/xml/deser/XmlTokenStream.java,838,RelationalOperatorReplacement,for (int i = 0; i < len; ++i) {,for (int i = 0; i >= len; ++i) {,2,
com/fasterxml/jackson/dataformat/xml/deser/XmlTokenStream.java,465,RelationalOperatorReplacement,if (_nextAttributeIndex < _attributeCount) {,if (_nextAttributeIndex >= _attributeCount) {,20,
com/fasterxml/jackson/dataformat/xml/deser/XmlTokenStream.java,204,RelationalOperatorReplacement,&& _attributeCount < 1) {,&& _attributeCount >= 1) {,26,
com/fasterxml/jackson/dataformat/xml/deser/XmlTokenStream.java,837,RelationalOperatorReplacement,if (len > 0) {,if (len <= 0) {,3,
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator.java,1242,RelationalOperatorReplacement,"writeNumber(f > 0f ? ""INF"" : ""-INF"");","writeNumber(f <= 0f ? ""INF"" : ""-INF"");",15,
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator.java,1209,RelationalOperatorReplacement,"writeNumber(d > 0d ? ""INF"" : ""-INF"");","writeNumber(d <= 0d ? ""INF"" : ""-INF"");",18,
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator.java,1065,RelationalOperatorReplacement,if (count < 0) {,if (count >= 0) {,27,
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator.java,1063,RelationalOperatorReplacement,for (; offset < len; ) {,for (; offset >= len; ) {,28,
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator.java,1052,RelationalOperatorReplacement,if (len > 0) {,if (len <= 0) {,29,
com/fasterxml/jackson/dataformat/xml/ser/ToXmlGenerator.java,1040,RelationalOperatorReplacement,if(offset > 0) {,if(offset <= 0) {,32,
com/fasterxml/jackson/dataformat/xml/ser/XmlBeanSerializerBase.java,276,RelationalOperatorReplacement,for (final int len = props.length; i < len; ++i) {,for (final int len = props.length; i >= len; ++i) {,19,
com/fasterxml/jackson/dataformat/xml/ser/XmlBeanSerializerBase.java,398,RelationalOperatorReplacement,if (moveBy > 0) {,if (moveBy <= 0) {,2,
com/fasterxml/jackson/dataformat/xml/ser/XmlBeanSerializerBase.java,267,RelationalOperatorReplacement,if (attrCount > 0) {,if (attrCount <= 0) {,20,
com/fasterxml/jackson/dataformat/xml/ser/XmlBeanSerializerBase.java,389,RelationalOperatorReplacement,"for (int i = 0, len = properties.length; i < len; ++i) {","for (int i = 0, len = properties.length; i >= len; ++i) {",3,
com/fasterxml/jackson/dataformat/xml/ser/XmlBeanSerializerBase.java,194,RelationalOperatorReplacement,for (final int len = props.length; i < len; ++i) {,for (final int len = props.length; i >= len; ++i) {,32,
com/fasterxml/jackson/dataformat/xml/ser/XmlBeanSerializerBase.java,185,RelationalOperatorReplacement,if (attrCount > 0) {,if (attrCount <= 0) {,33,
com/fasterxml/jackson/dataformat/xml/ser/XmlBeanSerializerBase.java,99,RelationalOperatorReplacement,if (textIndex < 0 && info.isText()) {,if (textIndex >= 0 && info.isText()) {,37,
com/fasterxml/jackson/dataformat/xml/ser/XmlBeanSerializerBase.java,93,RelationalOperatorReplacement,"for (int i = 0, len = _props.length; i < len; ++i) {","for (int i = 0, len = _props.length; i >= len; ++i) {",39,
com/fasterxml/jackson/dataformat/xml/ser/XmlBeanSerializerBase.java,79,RelationalOperatorReplacement,"for (int i = 0, len = _props.length; i < len; ++i) {","for (int i = 0, len = _props.length; i >= len; ++i) {",41,
com/fasterxml/jackson/dataformat/xml/ser/XmlBeanSerializerModifier.java,41,RelationalOperatorReplacement,"for (int i = 0, len = beanProperties.size(); i < len; ++i) {","for (int i = 0, len = beanProperties.size(); i >= len; ++i) {",5,
com/fasterxml/jackson/dataformat/xml/ser/XmlSerializerProvider.java,283,RelationalOperatorReplacement,if (ns != null && ns.length() > 0) {,if (ns != null && ns.length() <= 0) {,6,
com/fasterxml/jackson/dataformat/xml/util/DefaultXmlPrettyPrinter.java,552,RelationalOperatorReplacement,while (level > SPACE_COUNT) { // should never happen but...,while (level <= SPACE_COUNT) { // should never happen but...,1,
com/fasterxml/jackson/dataformat/xml/util/DefaultXmlPrettyPrinter.java,540,RelationalOperatorReplacement,while (level > SPACE_COUNT) { // should never happen but...,while (level <= SPACE_COUNT) { // should never happen but...,2,
com/fasterxml/jackson/dataformat/xml/util/DefaultXmlPrettyPrinter.java,216,RelationalOperatorReplacement,if (_nesting > 0) {,if (_nesting <= 0) {,3,
com/fasterxml/jackson/dataformat/xml/util/StaxUtil.java,90,RelationalOperatorReplacement,if (c >= 'A' && c <= 'Z') continue;,if (c < 'A' && c <= 'Z') continue;,10,
com/fasterxml/jackson/dataformat/xml/util/StaxUtil.java,89,RelationalOperatorReplacement,if (c >= 'a' && c <= 'z') continue;,if (c >= 'a' && c > 'z') continue;,11,
com/fasterxml/jackson/dataformat/xml/util/StaxUtil.java,89,RelationalOperatorReplacement,if (c >= 'a' && c <= 'z') continue;,if (c < 'a' && c <= 'z') continue;,12,
com/fasterxml/jackson/dataformat/xml/util/StaxUtil.java,88,RelationalOperatorReplacement,if (c > 127) continue;,if (c <= 127) continue;,13,
com/fasterxml/jackson/dataformat/xml/util/StaxUtil.java,86,RelationalOperatorReplacement,"for (int i = 0, len = name.length(); i < len; ++i) {","for (int i = 0, len = name.length(); i >= len; ++i) {",14,
com/fasterxml/jackson/dataformat/xml/util/StaxUtil.java,91,RelationalOperatorReplacement,if (c >= '0' && c <= '9') continue;,if (c >= '0' && c > '9') continue;,7,
