file,line,operator,before,after,mutant_id,paper_category
org/codehaus/jettison/AbstractDOMDocumentParser.java,50,NullifyInputVariable,public Document parse(InputStream input) throws IOException {,public Document parse(InputStream input) throws IOException { input = null;,1,
org/codehaus/jettison/AbstractDOMDocumentParser.java,91,NullifyObjectInitialization,"throw new RuntimeException(""Failed to create DocumentBuilder"", e);",throw null;,2,
org/codehaus/jettison/AbstractDOMDocumentParser.java,76,NullifyObjectInitialization,"IOException ioex = new IOException(""Cannot parse input stream"");",IOException ioex = null;,3,
org/codehaus/jettison/AbstractDOMDocumentParser.java,70,NullifyObjectInitialization,ByteArrayInputStream bais = new ByteArrayInputStream(baos.toByteArray());,ByteArrayInputStream bais = null;,4,
org/codehaus/jettison/AbstractDOMDocumentParser.java,62,NullifyObjectInitialization,ByteArrayOutputStream baos = new ByteArrayOutputStream();,ByteArrayOutputStream baos = null;,5,
org/codehaus/jettison/AbstractDOMDocumentParser.java,82,RemoveMethod,private DocumentBuilder getDocumentBuilder() {,private DocumentBuilder getDocumentBuilder() {,6,
org/codehaus/jettison/AbstractDOMDocumentParser.java,50,RemoveMethod,public Document parse(InputStream input) throws IOException {,public Document parse(InputStream input) throws IOException {,7,
org/codehaus/jettison/AbstractDOMDocumentParser.java,89,NullifyReturnValue,return builder;,return null;,8,
org/codehaus/jettison/AbstractDOMDocumentParser.java,71,NullifyReturnValue,return getDocumentBuilder().parse(bais);,return null;,9,
org/codehaus/jettison/AbstractDOMDocumentSerializer.java,49,RemoveNullCheck,if (output == null),if (false),1,
org/codehaus/jettison/AbstractDOMDocumentSerializer.java,48,NullifyInputVariable,public void serialize(Element el) throws IOException {,public void serialize(Element el) throws IOException { el = null;,2,
org/codehaus/jettison/AbstractDOMDocumentSerializer.java,65,NullifyObjectInitialization,"IOException ioex = new IOException(""Cannot serialize: "" + el);",IOException ioex = null;,3,
org/codehaus/jettison/AbstractDOMDocumentSerializer.java,53,NullifyObjectInitialization,DOMSource source = new DOMSource(el);,DOMSource source = null;,4,
org/codehaus/jettison/AbstractDOMDocumentSerializer.java,50,NullifyObjectInitialization,"throw new IllegalStateException(""OutputStream cannot be null"");",throw null;,5,
org/codehaus/jettison/AbstractDOMDocumentSerializer.java,48,RemoveMethod,public void serialize(Element el) throws IOException {,public void serialize(Element el) throws IOException {,6,
org/codehaus/jettison/AbstractDOMDocumentSerializer.java,49,RelationalOperatorReplacement,if (output == null),if (output != null),7,
org/codehaus/jettison/AbstractXMLEventWriter.java,76,ConditionalOperatorReplacement,if (atQName.getPrefix().length() > 0,if (atQName.getPrefix().length() > 0,1,
org/codehaus/jettison/AbstractXMLEventWriter.java,94,NullifyObjectInitialization,"throw new XMLStreamException(""Unsupported event type: "" + event);",throw null;,10,
org/codehaus/jettison/AbstractXMLEventWriter.java,131,RemoveMethod,"public void setPrefix(String prefix, String uri) throws XMLStreamException {","public void setPrefix(String prefix, String uri) throws XMLStreamException {",11,
org/codehaus/jettison/AbstractXMLEventWriter.java,127,RemoveMethod,throws XMLStreamException {,throws XMLStreamException {,12,
org/codehaus/jettison/AbstractXMLEventWriter.java,122,RemoveMethod,public void setDefaultNamespace(String namespace) throws XMLStreamException {,public void setDefaultNamespace(String namespace) throws XMLStreamException {,13,
org/codehaus/jettison/AbstractXMLEventWriter.java,118,RemoveMethod,public String getPrefix(String prefix) throws XMLStreamException {,public String getPrefix(String prefix) throws XMLStreamException {,14,
org/codehaus/jettison/AbstractXMLEventWriter.java,118,RemoveMethod,public String getPrefix(String prefix) throws XMLStreamException {,public String getPrefix(String prefix) throws XMLStreamException {,15,
org/codehaus/jettison/AbstractXMLEventWriter.java,114,RemoveMethod,public NamespaceContext getNamespaceContext() {,public NamespaceContext getNamespaceContext() {,16,
org/codehaus/jettison/AbstractXMLEventWriter.java,110,RemoveMethod,public void flush() throws XMLStreamException {,public void flush() throws XMLStreamException {,17,
org/codehaus/jettison/AbstractXMLEventWriter.java,106,RemoveMethod,public void close() throws XMLStreamException {,public void close() throws XMLStreamException {,18,
org/codehaus/jettison/AbstractXMLEventWriter.java,98,RemoveMethod,public void add(XMLEventReader eventReader) throws XMLStreamException {,public void add(XMLEventReader eventReader) throws XMLStreamException {,19,
org/codehaus/jettison/AbstractXMLEventWriter.java,51,ConditionalOperatorReplacement,if (elQName.getPrefix().length() > 0,if (elQName.getPrefix().length() > 0,2,
org/codehaus/jettison/AbstractXMLEventWriter.java,45,RemoveMethod,public void add(XMLEvent event) throws XMLStreamException {,public void add(XMLEvent event) throws XMLStreamException {,20,
org/codehaus/jettison/AbstractXMLEventWriter.java,80,RelationalOperatorReplacement,else if (atQName.getNamespaceURI().length() > 0),else if (atQName.getNamespaceURI().length() <= 0),21,
org/codehaus/jettison/AbstractXMLEventWriter.java,77,RelationalOperatorReplacement,&& atQName.getNamespaceURI().length() > 0),&& atQName.getNamespaceURI().length() <= 0),22,
org/codehaus/jettison/AbstractXMLEventWriter.java,76,RelationalOperatorReplacement,if (atQName.getPrefix().length() > 0,if (atQName.getPrefix().length() <= 0,23,
org/codehaus/jettison/AbstractXMLEventWriter.java,55,RelationalOperatorReplacement,else if (elQName.getNamespaceURI().length() > 0),else if (elQName.getNamespaceURI().length() <= 0),24,
org/codehaus/jettison/AbstractXMLEventWriter.java,52,RelationalOperatorReplacement,&& elQName.getNamespaceURI().length() > 0),&& elQName.getNamespaceURI().length() <= 0),25,
org/codehaus/jettison/AbstractXMLEventWriter.java,51,RelationalOperatorReplacement,if (elQName.getPrefix().length() > 0,if (elQName.getPrefix().length() <= 0,26,
org/codehaus/jettison/AbstractXMLEventWriter.java,119,NullifyReturnValue,return streamWriter.getPrefix(prefix);,return null;,27,
org/codehaus/jettison/AbstractXMLEventWriter.java,115,NullifyReturnValue,return streamWriter.getNamespaceContext();,return null;,28,
org/codehaus/jettison/AbstractXMLEventWriter.java,131,NullifyInputVariable,"public void setPrefix(String prefix, String uri) throws XMLStreamException {","public void setPrefix(String prefix, String uri) throws XMLStreamException { uri = null;",3,
org/codehaus/jettison/AbstractXMLEventWriter.java,131,NullifyInputVariable,"public void setPrefix(String prefix, String uri) throws XMLStreamException {","public void setPrefix(String prefix, String uri) throws XMLStreamException { prefix = null;",4,
org/codehaus/jettison/AbstractXMLEventWriter.java,127,NullifyInputVariable,throws XMLStreamException {,throws XMLStreamException { nsContext = null;,5,
org/codehaus/jettison/AbstractXMLEventWriter.java,122,NullifyInputVariable,public void setDefaultNamespace(String namespace) throws XMLStreamException {,public void setDefaultNamespace(String namespace) throws XMLStreamException { namespace = null;,6,
