file,line,operator,before,after,mutant_id,paper_category
org/codehaus/jettison/AbstractDOMDocumentParser.java,50,NullifyInputVariable,public Document parse(InputStream input) throws IOException {,public Document parse(InputStream input) throws IOException { input = null;,0,
org/codehaus/jettison/AbstractDOMDocumentParser.java,62,NullifyObjectInitialization,ByteArrayOutputStream baos = new ByteArrayOutputStream();,ByteArrayOutputStream baos = null;,1,
org/codehaus/jettison/AbstractDOMDocumentParser.java,70,NullifyObjectInitialization,ByteArrayInputStream bais = new ByteArrayInputStream(baos.toByteArray());,ByteArrayInputStream bais = null;,2,
org/codehaus/jettison/AbstractDOMDocumentParser.java,76,NullifyObjectInitialization,"IOException ioex = new IOException(""Cannot parse input stream"");",IOException ioex = null;,3,
org/codehaus/jettison/AbstractDOMDocumentParser.java,91,NullifyObjectInitialization,"throw new RuntimeException(""Failed to create DocumentBuilder"", e);",throw null;,4,
org/codehaus/jettison/AbstractDOMDocumentParser.java,71,NullifyReturnValue,return getDocumentBuilder().parse(bais);,return null;,5,
org/codehaus/jettison/AbstractDOMDocumentParser.java,89,NullifyReturnValue,return builder;,return null;,6,
org/codehaus/jettison/AbstractDOMDocumentParser.java,50,RemoveMethod,public Document parse(InputStream input) throws IOException {,public Document parse(InputStream input) throws IOException {,7,
org/codehaus/jettison/AbstractDOMDocumentParser.java,82,RemoveMethod,private DocumentBuilder getDocumentBuilder() {,private DocumentBuilder getDocumentBuilder() {,8,
org/codehaus/jettison/AbstractDOMDocumentSerializer.java,50,NullifyObjectInitialization,"throw new IllegalStateException(""OutputStream cannot be null"");",throw null;,10,
org/codehaus/jettison/AbstractDOMDocumentSerializer.java,53,NullifyObjectInitialization,DOMSource source = new DOMSource(el);,DOMSource source = null;,11,
org/codehaus/jettison/AbstractDOMDocumentSerializer.java,65,NullifyObjectInitialization,"IOException ioex = new IOException(""Cannot serialize: "" + el);",IOException ioex = null;,12,
org/codehaus/jettison/AbstractDOMDocumentSerializer.java,49,RelationalOperatorReplacement,if (output == null),if (output != null),13,
org/codehaus/jettison/AbstractDOMDocumentSerializer.java,48,RemoveMethod,public void serialize(Element el) throws IOException {,public void serialize(Element el) throws IOException {,14,
org/codehaus/jettison/AbstractDOMDocumentSerializer.java,49,RemoveNullCheck,if (output == null),if (false),15,
org/codehaus/jettison/AbstractDOMDocumentSerializer.java,48,NullifyInputVariable,public void serialize(Element el) throws IOException {,public void serialize(Element el) throws IOException { el = null;,9,
