file,line,operator,before,after,mutant_id,paper_category
org/codehaus/jettison/AbstractXMLEventWriter.java,51,RelationalOperatorReplacement,if (elQName.getPrefix().length() > 0,if (elQName.getPrefix().length() >= 0,28,
org/codehaus/jettison/AbstractXMLEventWriter.java,52,RelationalOperatorReplacement,&& elQName.getNamespaceURI().length() > 0),&& elQName.getNamespaceURI().length() >= 0),29,
org/codehaus/jettison/AbstractXMLEventWriter.java,55,RelationalOperatorReplacement,else if (elQName.getNamespaceURI().length() > 0),else if (elQName.getNamespaceURI().length() >= 0),30,
org/codehaus/jettison/AbstractXMLEventWriter.java,76,RelationalOperatorReplacement,if (atQName.getPrefix().length() > 0,if (atQName.getPrefix().length() >= 0,31,
org/codehaus/jettison/AbstractXMLEventWriter.java,77,RelationalOperatorReplacement,&& atQName.getNamespaceURI().length() > 0),&& atQName.getNamespaceURI().length() >= 0),32,
org/codehaus/jettison/AbstractXMLEventWriter.java,80,RelationalOperatorReplacement,else if (atQName.getNamespaceURI().length() > 0),else if (atQName.getNamespaceURI().length() >= 0),33,
org/codehaus/jettison/AbstractXMLInputFactory.java,137,RelationalOperatorReplacement,if (count < 0) { // EOF,if (count <= 0) { // EOF,120,
org/codehaus/jettison/AbstractXMLInputFactory.java,146,RelationalOperatorReplacement,if (count < 64) {,if (count <= 64) {,122,
org/codehaus/jettison/AbstractXMLInputFactory.java,180,RelationalOperatorReplacement,if (count < 0) { // Got it all,if (count <= 0) { // Got it all,125,
org/codehaus/jettison/AbstractXMLInputFactory.java,184,RelationalOperatorReplacement,} while (len < buf.length);,} while (len <= buf.length);,127,
org/codehaus/jettison/AbstractXMLStreamReader.java,211,NullifyReturnValue,return text != null ? text.toCharArray() : new char[]{};,return null;,252,
org/codehaus/jettison/AbstractXMLStreamReader.java,79,RelationalOperatorReplacement,for (int i = 0; i <= n; i++) {,for (int i = 0; i < n; i++) {,258,
org/codehaus/jettison/AbstractXMLStreamReader.java,96,RelationalOperatorReplacement,for (int i = 0; i <= n; i++) {,for (int i = 0; i < n; i++) {,259,
org/codehaus/jettison/Node.java,88,RelationalOperatorReplacement,if (index < 0 || index >= getNamespaceCount()) {,if (index <= 0 || index >= getNamespaceCount()) {,429,
org/codehaus/jettison/Node.java,88,RelationalOperatorReplacement,if (index < 0 || index >= getNamespaceCount()) {,if (index < 0 || index > getNamespaceCount()) {,430,
org/codehaus/jettison/Node.java,92,RelationalOperatorReplacement,while (--index >= 0) {,while (--index > 0) {,431,
org/codehaus/jettison/Node.java,114,RelationalOperatorReplacement,if (index < 0 || index >= getNamespaceCount()) {,if (index <= 0 || index >= getNamespaceCount()) {,435,
org/codehaus/jettison/Node.java,114,RelationalOperatorReplacement,if (index < 0 || index >= getNamespaceCount()) {,if (index < 0 || index > getNamespaceCount()) {,436,
org/codehaus/jettison/Node.java,118,RelationalOperatorReplacement,while (--index >= 0) {,while (--index > 0) {,437,
org/codehaus/jettison/badgerfish/BadgerFishXMLStreamReader.java,52,RelationalOperatorReplacement,&& node.getArray().length() > node.getArrayIndex()) {,&& node.getArray().length() >= node.getArrayIndex()) {,547,
org/codehaus/jettison/badgerfish/BadgerFishXMLStreamReader.java,98,RelationalOperatorReplacement,for (int i = 0; i < arr.length(); i++) {,for (int i = 0; i <= arr.length(); i++) {,550,
org/codehaus/jettison/badgerfish/BadgerFishXMLStreamWriter.java,148,RelationalOperatorReplacement,if (getNodes().size() > 1) {,if (getNodes().size() >= 1) {,631,
org/codehaus/jettison/json/JSONArray.java,189,RelationalOperatorReplacement,if (recursionDepth > JSONObject.getGlobalRecursionDepthLimit()) {,if (recursionDepth >= JSONObject.getGlobalRecursionDepthLimit()) {,757,
org/codehaus/jettison/json/JSONArray.java,368,RelationalOperatorReplacement,for (int i = 0; i < len; i += 1) {,for (int i = 0; i <= len; i += 1) {,760,
org/codehaus/jettison/json/JSONArray.java,369,RelationalOperatorReplacement,if (i > 0) {,if (i >= 0) {,761,
org/codehaus/jettison/json/JSONArray.java,395,RelationalOperatorReplacement,return (index < 0 || index >= length()) ?,return (index <= 0 || index >= length()) ?,762,
org/codehaus/jettison/json/JSONArray.java,395,RelationalOperatorReplacement,return (index < 0 || index >= length()) ?,return (index < 0 || index > length()) ?,763,
org/codehaus/jettison/json/JSONArray.java,775,RelationalOperatorReplacement,if (index < 0) {,if (index <= 0) {,765,
org/codehaus/jettison/json/JSONArray.java,778,RelationalOperatorReplacement,if (index < length()) {,if (index <= length()) {,766,
org/codehaus/jettison/json/JSONArray.java,804,RelationalOperatorReplacement,for (int i = 0; i < names.length(); i += 1) {,for (int i = 0; i <= names.length(); i += 1) {,771,
org/codehaus/jettison/json/JSONArray.java,870,RelationalOperatorReplacement,for (i = 0; i < len; i += 1) {,for (i = 0; i <= len; i += 1) {,774,
org/codehaus/jettison/json/JSONArray.java,871,RelationalOperatorReplacement,if (i > 0) {,if (i >= 0) {,775,
org/codehaus/jettison/json/JSONArray.java,874,RelationalOperatorReplacement,for (int j = 0; j < newindent; j += 1) {,for (int j = 0; j <= newindent; j += 1) {,776,
org/codehaus/jettison/json/JSONArray.java,881,RelationalOperatorReplacement,for (i = 0; i < indent; i += 1) {,for (i = 0; i <= indent; i += 1) {,777,
org/codehaus/jettison/json/JSONArray.java,920,RelationalOperatorReplacement,for (int i = 0; i < len; i += 1) {,for (int i = 0; i <= len; i += 1) {,778,
org/codehaus/jettison/json/JSONObject.java,197,RelationalOperatorReplacement,for (int i = 0; i < sa.length; i += 1) {,for (int i = 0; i <= sa.length; i += 1) {,1069,
