file,line,operator,before,after,mutant_id,paper_category
org/codehaus/jettison/AbstractXMLEventWriter.java,80,RelationalOperatorReplacement,else if (atQName.getNamespaceURI().length() > 0),else if (atQName.getNamespaceURI().length() <= 0),21,
org/codehaus/jettison/AbstractXMLEventWriter.java,77,RelationalOperatorReplacement,&& atQName.getNamespaceURI().length() > 0),&& atQName.getNamespaceURI().length() <= 0),22,
org/codehaus/jettison/AbstractXMLEventWriter.java,76,RelationalOperatorReplacement,if (atQName.getPrefix().length() > 0,if (atQName.getPrefix().length() <= 0,23,
org/codehaus/jettison/AbstractXMLEventWriter.java,55,RelationalOperatorReplacement,else if (elQName.getNamespaceURI().length() > 0),else if (elQName.getNamespaceURI().length() <= 0),24,
org/codehaus/jettison/AbstractXMLEventWriter.java,52,RelationalOperatorReplacement,&& elQName.getNamespaceURI().length() > 0),&& elQName.getNamespaceURI().length() <= 0),25,
org/codehaus/jettison/AbstractXMLEventWriter.java,51,RelationalOperatorReplacement,if (elQName.getPrefix().length() > 0,if (elQName.getPrefix().length() <= 0,26,
org/codehaus/jettison/AbstractXMLInputFactory.java,137,RelationalOperatorReplacement,if (count < 0) { // EOF,if (count >= 0) { // EOF,100,
org/codehaus/jettison/AbstractXMLInputFactory.java,184,RelationalOperatorReplacement,} while (len < buf.length);,} while (len >= buf.length);,93,
org/codehaus/jettison/AbstractXMLInputFactory.java,180,RelationalOperatorReplacement,if (count < 0) { // Got it all,if (count >= 0) { // Got it all,95,
org/codehaus/jettison/AbstractXMLInputFactory.java,146,RelationalOperatorReplacement,if (count < 64) {,if (count >= 64) {,98,
org/codehaus/jettison/AbstractXMLStreamReader.java,96,RelationalOperatorReplacement,for (int i = 0; i <= n; i++) {,for (int i = 0; i > n; i++) {,106,
org/codehaus/jettison/AbstractXMLStreamReader.java,79,RelationalOperatorReplacement,for (int i = 0; i <= n; i++) {,for (int i = 0; i > n; i++) {,107,
org/codehaus/jettison/Node.java,118,RelationalOperatorReplacement,while (--index >= 0) {,while (--index < 0) {,60,
org/codehaus/jettison/Node.java,114,RelationalOperatorReplacement,if (index < 0 || index >= getNamespaceCount()) {,if (index < 0 || index < getNamespaceCount()) {,61,
org/codehaus/jettison/Node.java,114,RelationalOperatorReplacement,if (index < 0 || index >= getNamespaceCount()) {,if (index >= 0 || index >= getNamespaceCount()) {,62,
org/codehaus/jettison/Node.java,92,RelationalOperatorReplacement,while (--index >= 0) {,while (--index < 0) {,66,
org/codehaus/jettison/Node.java,88,RelationalOperatorReplacement,if (index < 0 || index >= getNamespaceCount()) {,if (index < 0 || index < getNamespaceCount()) {,67,
org/codehaus/jettison/Node.java,88,RelationalOperatorReplacement,if (index < 0 || index >= getNamespaceCount()) {,if (index >= 0 || index >= getNamespaceCount()) {,68,
org/codehaus/jettison/badgerfish/BadgerFishXMLStreamReader.java,98,RelationalOperatorReplacement,for (int i = 0; i < arr.length(); i++) {,for (int i = 0; i >= arr.length(); i++) {,35,
org/codehaus/jettison/badgerfish/BadgerFishXMLStreamReader.java,52,RelationalOperatorReplacement,&& node.getArray().length() > node.getArrayIndex()) {,&& node.getArray().length() <= node.getArrayIndex()) {,38,
org/codehaus/jettison/badgerfish/BadgerFishXMLStreamWriter.java,148,RelationalOperatorReplacement,if (getNodes().size() > 1) {,if (getNodes().size() <= 1) {,83,
org/codehaus/jettison/json/JSONArray.java,920,RelationalOperatorReplacement,for (int i = 0; i < len; i += 1) {,for (int i = 0; i >= len; i += 1) {,130,
org/codehaus/jettison/json/JSONArray.java,881,RelationalOperatorReplacement,for (i = 0; i < indent; i += 1) {,for (i = 0; i >= indent; i += 1) {,131,
org/codehaus/jettison/json/JSONArray.java,874,RelationalOperatorReplacement,for (int j = 0; j < newindent; j += 1) {,for (int j = 0; j >= newindent; j += 1) {,132,
org/codehaus/jettison/json/JSONArray.java,871,RelationalOperatorReplacement,if (i > 0) {,if (i <= 0) {,133,
org/codehaus/jettison/json/JSONArray.java,870,RelationalOperatorReplacement,for (i = 0; i < len; i += 1) {,for (i = 0; i >= len; i += 1) {,134,
org/codehaus/jettison/json/JSONArray.java,804,RelationalOperatorReplacement,for (int i = 0; i < names.length(); i += 1) {,for (int i = 0; i >= names.length(); i += 1) {,137,
org/codehaus/jettison/json/JSONArray.java,778,RelationalOperatorReplacement,if (index < length()) {,if (index >= length()) {,142,
org/codehaus/jettison/json/JSONArray.java,775,RelationalOperatorReplacement,if (index < 0) {,if (index >= 0) {,143,
org/codehaus/jettison/json/JSONArray.java,395,RelationalOperatorReplacement,return (index < 0 || index >= length()) ?,return (index < 0 || index < length()) ?,145,
org/codehaus/jettison/json/JSONArray.java,395,RelationalOperatorReplacement,return (index < 0 || index >= length()) ?,return (index >= 0 || index >= length()) ?,146,
org/codehaus/jettison/json/JSONArray.java,369,RelationalOperatorReplacement,if (i > 0) {,if (i <= 0) {,147,
org/codehaus/jettison/json/JSONArray.java,368,RelationalOperatorReplacement,for (int i = 0; i < len; i += 1) {,for (int i = 0; i >= len; i += 1) {,148,
org/codehaus/jettison/json/JSONArray.java,189,RelationalOperatorReplacement,if (recursionDepth > JSONObject.getGlobalRecursionDepthLimit()) {,if (recursionDepth <= JSONObject.getGlobalRecursionDepthLimit()) {,151,
org/codehaus/jettison/json/JSONObject.java,1416,RelationalOperatorReplacement,mayBeDropSimpleElement = hashMapSize > 1,mayBeDropSimpleElement = hashMapSize <= 1,286,
org/codehaus/jettison/json/JSONObject.java,1247,RelationalOperatorReplacement,for (i = 0; i < indent; i += 1) {,for (i = 0; i >= indent; i += 1) {,292,
org/codehaus/jettison/json/JSONObject.java,1245,RelationalOperatorReplacement,if (sb.length() > 1) {,if (sb.length() <= 1) {,293,
org/codehaus/jettison/json/JSONObject.java,1237,RelationalOperatorReplacement,for (i = 0; i < newindent; i += 1) {,for (i = 0; i >= newindent; i += 1) {,294,
org/codehaus/jettison/json/JSONObject.java,1232,RelationalOperatorReplacement,if (sb.length() > 1) {,if (sb.length() <= 1) {,295,
org/codehaus/jettison/json/JSONObject.java,1175,RelationalOperatorReplacement,if (sb.length() > 1) {,if (sb.length() <= 1) {,297,
org/codehaus/jettison/json/JSONObject.java,1137,RelationalOperatorReplacement,for (int i = 0; i < names.length(); i += 1) {,for (int i = 0; i >= names.length(); i += 1) {,298,
org/codehaus/jettison/json/JSONObject.java,1079,RelationalOperatorReplacement,if (c < ' ') {,if (c >= ' ') {,302,
org/codehaus/jettison/json/JSONObject.java,1052,RelationalOperatorReplacement,if (escapeForwardSlashAlways || i > 0 && string.charAt(i - 1) == '<') {,if (escapeForwardSlashAlways || i <= 0 && string.charAt(i - 1) == '<') {,304,
org/codehaus/jettison/json/JSONObject.java,1042,RelationalOperatorReplacement,for (i = 0; i < len; i += 1) {,for (i = 0; i >= len; i += 1) {,305,
org/codehaus/jettison/json/JSONObject.java,977,RelationalOperatorReplacement,if (threshold > 0 && myHashMap.size() >= threshold) {,if (threshold > 0 && myHashMap.size() < threshold) {,310,
org/codehaus/jettison/json/JSONObject.java,977,RelationalOperatorReplacement,if (threshold > 0 && myHashMap.size() >= threshold) {,if (threshold <= 0 && myHashMap.size() >= threshold) {,311,
org/codehaus/jettison/json/JSONObject.java,639,RelationalOperatorReplacement,if (s.indexOf('.') > 0 && s.indexOf('e') < 0 && s.indexOf('E') < 0) {,if (s.indexOf('.') > 0 && s.indexOf('e') < 0 && s.indexOf('E') >= 0) {,320,
org/codehaus/jettison/json/JSONObject.java,639,RelationalOperatorReplacement,if (s.indexOf('.') > 0 && s.indexOf('e') < 0 && s.indexOf('E') < 0) {,if (s.indexOf('.') > 0 && s.indexOf('e') >= 0 && s.indexOf('E') < 0) {,321,
org/codehaus/jettison/json/JSONObject.java,639,RelationalOperatorReplacement,if (s.indexOf('.') > 0 && s.indexOf('e') < 0 && s.indexOf('E') < 0) {,if (s.indexOf('.') <= 0 && s.indexOf('e') < 0 && s.indexOf('E') < 0) {,322,
org/codehaus/jettison/json/JSONObject.java,404,RelationalOperatorReplacement,if (s.indexOf('.') > 0 && s.indexOf('e') < 0 && s.indexOf('E') < 0) {,if (s.indexOf('.') > 0 && s.indexOf('e') < 0 && s.indexOf('E') >= 0) {,326,
org/codehaus/jettison/json/JSONObject.java,404,RelationalOperatorReplacement,if (s.indexOf('.') > 0 && s.indexOf('e') < 0 && s.indexOf('E') < 0) {,if (s.indexOf('.') > 0 && s.indexOf('e') >= 0 && s.indexOf('E') < 0) {,327,
org/codehaus/jettison/json/JSONObject.java,404,RelationalOperatorReplacement,if (s.indexOf('.') > 0 && s.indexOf('e') < 0 && s.indexOf('E') < 0) {,if (s.indexOf('.') <= 0 && s.indexOf('e') < 0 && s.indexOf('E') < 0) {,328,
org/codehaus/jettison/json/JSONObject.java,310,RelationalOperatorReplacement,for (int i = 0; i < names.length; i += 1) {,for (int i = 0; i >= names.length; i += 1) {,331,
org/codehaus/jettison/json/JSONObject.java,277,RelationalOperatorReplacement,if (recursionDepth > RECURSION_DEPTH_LIMIT) {,if (recursionDepth <= RECURSION_DEPTH_LIMIT) {,334,
org/codehaus/jettison/json/JSONObject.java,197,RelationalOperatorReplacement,for (int i = 0; i < sa.length; i += 1) {,for (int i = 0; i >= sa.length; i += 1) {,340,
org/codehaus/jettison/json/JSONTokener.java,309,RelationalOperatorReplacement,if (delimiters.indexOf(c) >= 0 || c == 0 ||,if (delimiters.indexOf(c) < 0 || c == 0 ||,102,
org/codehaus/jettison/json/JSONTokener.java,211,RelationalOperatorReplacement,} else if (c == 0 || c > ' ') {,} else if (c == 0 || c <= ' ') {,109,
org/codehaus/jettison/json/JSONTokener.java,163,RelationalOperatorReplacement,if (j >= this.mySource.length()) {,if (j < this.mySource.length()) {,122,
org/codehaus/jettison/json/JSONTokener.java,115,RelationalOperatorReplacement,return this.myIndex < this.mySource.length();,return this.myIndex >= this.mySource.length();,124,
org/codehaus/jettison/json/JSONTokener.java,102,RelationalOperatorReplacement,if (c >= 'a' && c <= 'f') {,if (c >= 'a' && c > 'f') {,125,
org/codehaus/jettison/json/JSONTokener.java,102,RelationalOperatorReplacement,if (c >= 'a' && c <= 'f') {,if (c < 'a' && c <= 'f') {,126,
org/codehaus/jettison/json/JSONTokener.java,99,RelationalOperatorReplacement,if (c >= 'A' && c <= 'F') {,if (c >= 'A' && c > 'F') {,127,
org/codehaus/jettison/json/JSONTokener.java,99,RelationalOperatorReplacement,if (c >= 'A' && c <= 'F') {,if (c < 'A' && c <= 'F') {,128,
org/codehaus/jettison/json/JSONTokener.java,96,RelationalOperatorReplacement,if (c >= '0' && c <= '9') {,if (c >= '0' && c > '9') {,129,
org/codehaus/jettison/json/JSONTokener.java,96,RelationalOperatorReplacement,if (c >= '0' && c <= '9') {,if (c < '0' && c <= '9') {,130,
org/codehaus/jettison/json/JSONTokener.java,82,RelationalOperatorReplacement,if (this.myIndex > 0) {,if (this.myIndex <= 0) {,131,
org/codehaus/jettison/json/JSONTokener.java,477,RelationalOperatorReplacement,if (this.myIndex < 0) {,if (this.myIndex >= 0) {,83,
org/codehaus/jettison/json/JSONTokener.java,443,RelationalOperatorReplacement,if (recursionDepth > JSONObject.RECURSION_DEPTH_LIMIT) {,if (recursionDepth <= JSONObject.RECURSION_DEPTH_LIMIT) {,86,
org/codehaus/jettison/json/JSONTokener.java,390,RelationalOperatorReplacement,if (s.length() > 2 &&,if (s.length() <= 2 &&,89,
org/codehaus/jettison/json/JSONTokener.java,388,RelationalOperatorReplacement,if ((b >= '0' && b <= '9') || b == '.' || b == '-' || b == '+') {,if ((b >= '0' && b > '9') || b == '.' || b == '-' || b == '+') {,94,
org/codehaus/jettison/json/JSONTokener.java,388,RelationalOperatorReplacement,if ((b >= '0' && b <= '9') || b == '.' || b == '-' || b == '+') {,if ((b < '0' && b <= '9') || b == '.' || b == '-' || b == '+') {,95,
org/codehaus/jettison/json/JSONTokener.java,356,RelationalOperatorReplacement,"while (c >= ' ' && "",:]}/\\\""[{;=#"".indexOf(c) < 0) {","while (c >= ' ' && "",:]}/\\\""[{;=#"".indexOf(c) >= 0) {",96,
org/codehaus/jettison/json/JSONTokener.java,356,RelationalOperatorReplacement,"while (c >= ' ' && "",:]}/\\\""[{;=#"".indexOf(c) < 0) {","while (c < ' ' && "",:]}/\\\""[{;=#"".indexOf(c) < 0) {",97,
org/codehaus/jettison/json/JSONWriter.java,274,RelationalOperatorReplacement,if (this.top >= maxdepth) {,if (this.top < maxdepth) {,42,
org/codehaus/jettison/json/JSONWriter.java,261,RelationalOperatorReplacement,if (this.top <= 0 || this.stack[this.top - 1] != c) {,if (this.top > 0 || this.stack[this.top - 1] != c) {,45,
org/codehaus/jettison/mapped/Configuration.java,40,RelationalOperatorReplacement,if( userSpecifiedClass != null && userSpecifiedClass.length() > 0 ) {,if( userSpecifiedClass != null && userSpecifiedClass.length() <= 0 ) {,61,
org/codehaus/jettison/mapped/DefaultConverter.java,202,RelationalOperatorReplacement,for (; i < text.length(); i++) {,for (; i >= text.length(); i++) {,34,
org/codehaus/jettison/mapped/DefaultConverter.java,195,RelationalOperatorReplacement,if (text.length() > 1),if (text.length() <= 1),35,
org/codehaus/jettison/mapped/DefaultConverter.java,166,RelationalOperatorReplacement,for (; i < text.length(); i++) {,for (; i >= text.length(); i++) {,37,
org/codehaus/jettison/mapped/DefaultConverter.java,158,RelationalOperatorReplacement,if (text.length() > 1) {,if (text.length() <= 1) {,38,
org/codehaus/jettison/mapped/DefaultConverter.java,151,RelationalOperatorReplacement,else if (text.length() > MAX_LENGTH_INTEGER) {,else if (text.length() <= MAX_LENGTH_INTEGER) {,40,
org/codehaus/jettison/mapped/DefaultConverter.java,147,RelationalOperatorReplacement,if (text.length() > MAX_LENGTH_INTEGER_NEGATIVE) {,if (text.length() <= MAX_LENGTH_INTEGER_NEGATIVE) {,41,
org/codehaus/jettison/mapped/DefaultConverter.java,120,RelationalOperatorReplacement,for (; i < text.length(); i++) {,for (; i >= text.length(); i++) {,43,
org/codehaus/jettison/mapped/DefaultConverter.java,112,RelationalOperatorReplacement,if (text.length() > 1) {,if (text.length() <= 1) {,44,
org/codehaus/jettison/mapped/DefaultConverter.java,105,RelationalOperatorReplacement,} else if (text.length() > MAX_LENGTH_LONG) {,} else if (text.length() <= MAX_LENGTH_LONG) {,46,
org/codehaus/jettison/mapped/DefaultConverter.java,102,RelationalOperatorReplacement,if (text.length() > MAX_LENGTH_LONG_NEGATIVE) {,if (text.length() <= MAX_LENGTH_LONG_NEGATIVE) {,47,
org/codehaus/jettison/mapped/DefaultConverter.java,43,RelationalOperatorReplacement,if ((first < '0' || first > '9') && first != '-') {,if ((first < '0' || first <= '9') && first != '-') {,55,
org/codehaus/jettison/mapped/DefaultConverter.java,43,RelationalOperatorReplacement,if ((first < '0' || first > '9') && first != '-') {,if ((first >= '0' || first > '9') && first != '-') {,56,
org/codehaus/jettison/mapped/DefaultConverter.java,38,RelationalOperatorReplacement,if (text.length() >= 1) {,if (text.length() < 1) {,57,
org/codehaus/jettison/mapped/MappedNamespaceConvention.java,291,RelationalOperatorReplacement,if (jns == null && providedPrefix != null && providedPrefix.length() > 0) {,if (jns == null && providedPrefix != null && providedPrefix.length() <= 0) {,113,
org/codehaus/jettison/mapped/MappedNamespaceConvention.java,233,RelationalOperatorReplacement,for (int i = 0; i < array.length(); i++) {,for (int i = 0; i >= array.length(); i++) {,122,
org/codehaus/jettison/mapped/MappedXMLStreamReader.java,218,RelationalOperatorReplacement,for (int i = 0; i < depth; i++) {,for (int i = 0; i >= depth; i++) {,76,
org/codehaus/jettison/mapped/MappedXMLStreamReader.java,198,RelationalOperatorReplacement,for (int i = arrayLength - 1; i >= 0; i--) {,for (int i = arrayLength - 1; i < 0; i--) {,80,
org/codehaus/jettison/mapped/MappedXMLStreamReader.java,130,RelationalOperatorReplacement,if (popArrayNodes > 0) {,if (popArrayNodes <= 0) {,81,
org/codehaus/jettison/mapped/MappedXMLStreamReader.java,117,RelationalOperatorReplacement,if (index >= node.getArray().length()) {,if (index < node.getArray().length()) {,85,
org/codehaus/jettison/mapped/MappedXMLStreamReader.java,101,RelationalOperatorReplacement,if (nodes.size() > 0) {,if (nodes.size() <= 0) {,88,
org/codehaus/jettison/mapped/MappedXMLStreamReader.java,92,RelationalOperatorReplacement,if (nodes.size() > 0) {,if (nodes.size() <= 0) {,89,
org/codehaus/jettison/mapped/MappedXMLStreamReader.java,78,RelationalOperatorReplacement,if (popArrayNodes > 0) {,if (popArrayNodes <= 0) {,94,
org/codehaus/jettison/mapped/MappedXMLStreamReader.java,76,RelationalOperatorReplacement,if (event == END_ELEMENT && nodes.size() > 0) {,if (event == END_ELEMENT && nodes.size() <= 0) {,95,
org/codehaus/jettison/mapped/MappedXMLStreamWriter.java,106,RelationalOperatorReplacement,if (strValue.length() > 0) {,if (strValue.length() <= 0) {,127,
org/codehaus/jettison/util/StringIndenter.java,350,RelationalOperatorReplacement,for (int i= startFrom; i<length;i++) {,for (int i= startFrom; i>=length;i++) {,100,
org/codehaus/jettison/util/StringIndenter.java,326,RelationalOperatorReplacement,for (int i= startFrom; i<length;i++) {,for (int i= startFrom; i>=length;i++) {,102,
org/codehaus/jettison/util/StringIndenter.java,294,RelationalOperatorReplacement,for (int i=0;i<2;i++) {,for (int i=0;i>=2;i++) {,104,
org/codehaus/jettison/util/StringIndenter.java,283,RelationalOperatorReplacement,for (int i = 0; i < times; i++) {,for (int i = 0; i >= times; i++) {,105,
org/codehaus/jettison/util/StringIndenter.java,180,RelationalOperatorReplacement,for (int i=this.result.length()-1;i>=0;i--) {,for (int i=this.result.length()-1;i<0;i--) {,115,
org/codehaus/jettison/util/StringIndenter.java,161,RelationalOperatorReplacement,if (this.endTagIndex >= this.json.length()-1) {,if (this.endTagIndex < this.json.length()-1) {,117,
