file,line,operator,before,after,mutant_id,paper_category
org/codehaus/jra/ResourceUtil.java,37,ArithmeticOperatorReplacementBinary,i = next + 1;,i = next - 1;,0,
org/codehaus/jra/ResourceUtil.java,42,ArithmeticOperatorReplacementBinary,return start-1;,return start+1;,1,
org/codehaus/jra/ResourceUtil.java,33,ArithmeticOperatorReplacementUnary,if (next == -1) {,if (next == +1) {,10,
org/codehaus/jra/ResourceUtil.java,49,ArithmeticOperatorReplacementUnary,if (endMatch == -1) {,if (endMatch == +1) {,11,
org/codehaus/jra/ResourceUtil.java,51,ArithmeticOperatorReplacementUnary,return -1;,return +1;,12,
org/codehaus/jra/ResourceUtil.java,59,ArithmeticOperatorReplacementUnary,return -1;,return +1;,13,
org/codehaus/jra/ResourceUtil.java,63,ArithmeticOperatorReplacementUnary,return -1;,return +1;,14,
org/codehaus/jra/ResourceUtil.java,79,ArithmeticOperatorReplacementUnary,if (next == -1) {,if (next == +1) {,15,
org/codehaus/jra/ResourceUtil.java,96,ArithmeticOperatorReplacementUnary,if (endMatch == -1) {,if (endMatch == +1) {,16,
org/codehaus/jra/ResourceUtil.java,27,NullifyInputVariable,"public static int getMatchScore(String reqUri, String resource) {","public static int getMatchScore(String reqUri, String resource) { resource = null;",17,
org/codehaus/jra/ResourceUtil.java,27,NullifyInputVariable,"public static int getMatchScore(String reqUri, String resource) {","public static int getMatchScore(String reqUri, String resource) { reqUri = null;",18,
org/codehaus/jra/ResourceUtil.java,70,NullifyInputVariable,"public static Map<String, String> getURIParameters(String reqUri, String resource) {","public static Map<String, String> getURIParameters(String reqUri, String resource) { resource = null;",19,
org/codehaus/jra/ResourceUtil.java,53,ArithmeticOperatorReplacementBinary,reqIdx = endMatch + 1;,reqIdx = endMatch - 1;,2,
org/codehaus/jra/ResourceUtil.java,70,NullifyInputVariable,"public static Map<String, String> getURIParameters(String reqUri, String resource) {","public static Map<String, String> getURIParameters(String reqUri, String resource) { reqUri = null;",20,
org/codehaus/jra/ResourceUtil.java,34,NullifyObjectInitialization,"throw new IllegalStateException(""Missing end bracket in URI "" + resource);",throw null;,21,
org/codehaus/jra/ResourceUtil.java,71,NullifyObjectInitialization,"Map<String, String> params = new HashMap<String, String>();","Map<String, String> params = null;",22,
org/codehaus/jra/ResourceUtil.java,80,NullifyObjectInitialization,"throw new IllegalStateException(""Missing end bracket in URI "" + resource);",throw null;,23,
org/codehaus/jra/ResourceUtil.java,98,NullifyObjectInitialization,"throw new IllegalStateException(""Could not fully match the expression!"");",throw null;,24,
org/codehaus/jra/ResourceUtil.java,107,NullifyObjectInitialization,"throw new IllegalStateException(""Could not fully match the expression!"");",throw null;,25,
org/codehaus/jra/ResourceUtil.java,111,NullifyObjectInitialization,"throw new IllegalStateException(""Could not fully match the expression! "" + reqIdx);",throw null;,26,
org/codehaus/jra/ResourceUtil.java,89,NullifyReturnValue,return params;,return null;,27,
org/codehaus/jra/ResourceUtil.java,116,NullifyReturnValue,return params;,return null;,28,
org/codehaus/jra/ResourceUtil.java,29,RelationalOperatorReplacement,for (int i = 0; i < resource.length(); i++) {,for (int i = 0; i <= resource.length(); i++) {,29,
org/codehaus/jra/ResourceUtil.java,82,ArithmeticOperatorReplacementBinary,"String id = resource.substring(i + 1, next);","String id = resource.substring(i - 1, next);",3,
org/codehaus/jra/ResourceUtil.java,31,RelationalOperatorReplacement,if (c == '{') {,if (c != '{') {,30,
org/codehaus/jra/ResourceUtil.java,33,RelationalOperatorReplacement,if (next == -1) {,if (next != -1) {,31,
org/codehaus/jra/ResourceUtil.java,39,RelationalOperatorReplacement,if (i == resource.length()) {,if (i != resource.length()) {,32,
org/codehaus/jra/ResourceUtil.java,49,RelationalOperatorReplacement,if (endMatch == -1) {,if (endMatch != -1) {,33,
org/codehaus/jra/ResourceUtil.java,58,RelationalOperatorReplacement,if (reqUri.length() <= reqIdx) {,if (reqUri.length() < reqIdx) {,34,
org/codehaus/jra/ResourceUtil.java,60,RelationalOperatorReplacement,} else if (c == reqUri.charAt(reqIdx)) {,} else if (c != reqUri.charAt(reqIdx)) {,35,
org/codehaus/jra/ResourceUtil.java,74,RelationalOperatorReplacement,for (int i = 0; i < resource.length(); i++) {,for (int i = 0; i <= resource.length(); i++) {,36,
org/codehaus/jra/ResourceUtil.java,76,RelationalOperatorReplacement,if (c == '{') {,if (c != '{') {,37,
org/codehaus/jra/ResourceUtil.java,79,RelationalOperatorReplacement,if (next == -1) {,if (next != -1) {,38,
org/codehaus/jra/ResourceUtil.java,85,RelationalOperatorReplacement,if (i == resource.length()) {,if (i != resource.length()) {,39,
org/codehaus/jra/ResourceUtil.java,83,ArithmeticOperatorReplacementBinary,i = next + 1;,i = next - 1;,4,
org/codehaus/jra/ResourceUtil.java,96,RelationalOperatorReplacement,if (endMatch == -1) {,if (endMatch != -1) {,40,
org/codehaus/jra/ResourceUtil.java,106,RelationalOperatorReplacement,if (reqUri.length() <= reqIdx) {,if (reqUri.length() < reqIdx) {,41,
org/codehaus/jra/ResourceUtil.java,108,RelationalOperatorReplacement,} else if (c == reqUri.charAt(reqIdx)) {,} else if (c != reqUri.charAt(reqIdx)) {,42,
org/codehaus/jra/ResourceUtil.java,27,RemoveMethod,"public static int getMatchScore(String reqUri, String resource) {","public static int getMatchScore(String reqUri, String resource) {",43,
org/codehaus/jra/ResourceUtil.java,27,RemoveMethod,"public static int getMatchScore(String reqUri, String resource) {","public static int getMatchScore(String reqUri, String resource) {",44,
org/codehaus/jra/ResourceUtil.java,70,RemoveMethod,"public static Map<String, String> getURIParameters(String reqUri, String resource) {","public static Map<String, String> getURIParameters(String reqUri, String resource) {",45,
org/codehaus/jra/ResourceUtil.java,101,ArithmeticOperatorReplacementBinary,reqIdx = endMatch + 1;,reqIdx = endMatch - 1;,5,
org/codehaus/jra/ResourceUtil.java,29,ArithmeticOperatorReplacementShortcut,for (int i = 0; i < resource.length(); i++) {,for (int i = 0; i < resource.length(); i--) {,6,
org/codehaus/jra/ResourceUtil.java,61,ArithmeticOperatorReplacementShortcut,reqIdx++;,reqIdx--;,7,
org/codehaus/jra/ResourceUtil.java,74,ArithmeticOperatorReplacementShortcut,for (int i = 0; i < resource.length(); i++) {,for (int i = 0; i < resource.length(); i--) {,8,
org/codehaus/jra/ResourceUtil.java,109,ArithmeticOperatorReplacementShortcut,reqIdx++;,reqIdx--;,9,
