file,line,operator,before,after,mutant_id,paper_category
com/grahamedgecombe/jterminal/AbstractTerminalModel.java,46,ArithmeticOperatorReplacementBinary,int cursorColumn = getCursorColumn() - n;,int cursorColumn = getCursorColumn() + n;,0,
com/grahamedgecombe/jterminal/AbstractTerminalModel.java,59,ArithmeticOperatorReplacementBinary,int cursorColumn = getCursorColumn() + n;,int cursorColumn = getCursorColumn() - n;,1,
com/grahamedgecombe/jterminal/AbstractTerminalModel.java,69,NullifyObjectInitialization,"throw new IllegalArgumentException(""n must be positive"");",throw null;,10,
com/grahamedgecombe/jterminal/AbstractTerminalModel.java,82,NullifyObjectInitialization,"throw new IllegalArgumentException(""n must be positive"");",throw null;,11,
com/grahamedgecombe/jterminal/AbstractTerminalModel.java,34,RelationalOperatorReplacement,for (int column = 0; column < columns; column++) {,for (int column = 0; column <= columns; column++) {,12,
com/grahamedgecombe/jterminal/AbstractTerminalModel.java,35,RelationalOperatorReplacement,for (int row = 0; row < rows; row++) {,for (int row = 0; row <= rows; row++) {,13,
com/grahamedgecombe/jterminal/AbstractTerminalModel.java,43,RelationalOperatorReplacement,if (n < 0) {,if (n <= 0) {,14,
com/grahamedgecombe/jterminal/AbstractTerminalModel.java,47,RelationalOperatorReplacement,if (cursorColumn < 0) {,if (cursorColumn <= 0) {,15,
com/grahamedgecombe/jterminal/AbstractTerminalModel.java,55,RelationalOperatorReplacement,if (n < 0) {,if (n <= 0) {,16,
com/grahamedgecombe/jterminal/AbstractTerminalModel.java,60,RelationalOperatorReplacement,if (cursorColumn >= columns) {,if (cursorColumn > columns) {,17,
com/grahamedgecombe/jterminal/AbstractTerminalModel.java,68,RelationalOperatorReplacement,if (n < 0) {,if (n <= 0) {,18,
com/grahamedgecombe/jterminal/AbstractTerminalModel.java,73,RelationalOperatorReplacement,if (cursorRow >= bufferSize) {,if (cursorRow > bufferSize) {,19,
com/grahamedgecombe/jterminal/AbstractTerminalModel.java,61,ArithmeticOperatorReplacementBinary,cursorColumn = columns - 1;,cursorColumn = columns + 1;,2,
com/grahamedgecombe/jterminal/AbstractTerminalModel.java,81,RelationalOperatorReplacement,if (n < 0) {,if (n <= 0) {,20,
com/grahamedgecombe/jterminal/AbstractTerminalModel.java,85,RelationalOperatorReplacement,if (cursorRow < 0) {,if (cursorRow <= 0) {,21,
com/grahamedgecombe/jterminal/AbstractTerminalModel.java,32,RemoveMethod,public void clear() {,public void clear() {,22,
com/grahamedgecombe/jterminal/AbstractTerminalModel.java,42,RemoveMethod,public void moveCursorBack(int n) {,public void moveCursorBack(int n) {,23,
com/grahamedgecombe/jterminal/AbstractTerminalModel.java,54,RemoveMethod,public void moveCursorForward(int n) {,public void moveCursorForward(int n) {,24,
com/grahamedgecombe/jterminal/AbstractTerminalModel.java,67,RemoveMethod,public void moveCursorDown(int n) {,public void moveCursorDown(int n) {,25,
com/grahamedgecombe/jterminal/AbstractTerminalModel.java,80,RemoveMethod,public void moveCursorUp(int n) {,public void moveCursorUp(int n) {,26,
com/grahamedgecombe/jterminal/AbstractTerminalModel.java,72,ArithmeticOperatorReplacementBinary,int cursorRow = getCursorRow() + n;,int cursorRow = getCursorRow() - n;,3,
com/grahamedgecombe/jterminal/AbstractTerminalModel.java,74,ArithmeticOperatorReplacementBinary,cursorRow = bufferSize - 1;,cursorRow = bufferSize + 1;,4,
com/grahamedgecombe/jterminal/AbstractTerminalModel.java,84,ArithmeticOperatorReplacementBinary,int cursorRow = getCursorRow() - n;,int cursorRow = getCursorRow() + n;,5,
com/grahamedgecombe/jterminal/AbstractTerminalModel.java,34,ArithmeticOperatorReplacementShortcut,for (int column = 0; column < columns; column++) {,for (int column = 0; column < columns; column--) {,6,
