file,line,operator,before,after,mutant_id,paper_category
com/grahamedgecombe/jterminal/AbstractTerminalModel.java,34,RelationalOperatorReplacement,for (int column = 0; column < columns; column++) {,for (int column = 0; column <= columns; column++) {,12,
com/grahamedgecombe/jterminal/AbstractTerminalModel.java,35,RelationalOperatorReplacement,for (int row = 0; row < rows; row++) {,for (int row = 0; row <= rows; row++) {,13,
com/grahamedgecombe/jterminal/AbstractTerminalModel.java,43,RelationalOperatorReplacement,if (n < 0) {,if (n <= 0) {,14,
com/grahamedgecombe/jterminal/AbstractTerminalModel.java,47,RelationalOperatorReplacement,if (cursorColumn < 0) {,if (cursorColumn <= 0) {,15,
com/grahamedgecombe/jterminal/AbstractTerminalModel.java,55,RelationalOperatorReplacement,if (n < 0) {,if (n <= 0) {,16,
com/grahamedgecombe/jterminal/AbstractTerminalModel.java,60,RelationalOperatorReplacement,if (cursorColumn >= columns) {,if (cursorColumn > columns) {,17,
com/grahamedgecombe/jterminal/AbstractTerminalModel.java,68,RelationalOperatorReplacement,if (n < 0) {,if (n <= 0) {,18,
com/grahamedgecombe/jterminal/AbstractTerminalModel.java,73,RelationalOperatorReplacement,if (cursorRow >= bufferSize) {,if (cursorRow > bufferSize) {,19,
com/grahamedgecombe/jterminal/AbstractTerminalModel.java,81,RelationalOperatorReplacement,if (n < 0) {,if (n <= 0) {,20,
com/grahamedgecombe/jterminal/AbstractTerminalModel.java,85,RelationalOperatorReplacement,if (cursorRow < 0) {,if (cursorRow <= 0) {,21,
com/grahamedgecombe/jterminal/JTerminal.java,102,RelationalOperatorReplacement,for (int y = start; y < height; y++) {,for (int y = start; y <= height; y++) {,59,
com/grahamedgecombe/jterminal/JTerminal.java,103,RelationalOperatorReplacement,for (int x = 0; x < width; x++) {,for (int x = 0; x <= width; x++) {,60,
com/grahamedgecombe/jterminal/JTerminal.java,167,RelationalOperatorReplacement,if (bufferSize > rows) {,if (bufferSize >= rows) {,65,
com/grahamedgecombe/jterminal/vt100/AnsiControlSequenceParser.java,69,RelationalOperatorReplacement,if (buffer.length() > 0) {,if (buffer.length() >= 0) {,123,
com/grahamedgecombe/jterminal/vt100/AnsiControlSequenceParser.java,113,RelationalOperatorReplacement,if (text.length() > 0) {,if (text.length() >= 0) {,129,
com/grahamedgecombe/jterminal/vt100/AnsiControlSequenceParser.java,121,RelationalOperatorReplacement,if (text.length() > 0) {,if (text.length() >= 0) {,130,
com/grahamedgecombe/jterminal/vt100/AnsiControlSequenceParser.java,136,RelationalOperatorReplacement,if ((character >= 'a' && character <= 'z') || (character >= 'A' && character <= 'Z')) {,if ((character > 'a' && character <= 'z') || (character >= 'A' && character <= 'Z')) {,132,
com/grahamedgecombe/jterminal/vt100/AnsiControlSequenceParser.java,136,RelationalOperatorReplacement,if ((character >= 'a' && character <= 'z') || (character >= 'A' && character <= 'Z')) {,if ((character >= 'a' && character < 'z') || (character >= 'A' && character <= 'Z')) {,133,
com/grahamedgecombe/jterminal/vt100/AnsiControlSequenceParser.java,136,RelationalOperatorReplacement,if ((character >= 'a' && character <= 'z') || (character >= 'A' && character <= 'Z')) {,if ((character >= 'a' && character <= 'z') || (character > 'A' && character <= 'Z')) {,134,
com/grahamedgecombe/jterminal/vt100/AnsiControlSequenceParser.java,136,RelationalOperatorReplacement,if ((character >= 'a' && character <= 'z') || (character >= 'A' && character <= 'Z')) {,if ((character >= 'a' && character <= 'z') || (character >= 'A' && character < 'Z')) {,135,
com/grahamedgecombe/jterminal/vt100/Vt100TerminalModel.java,104,RelationalOperatorReplacement,if (parameters[0].length() > 0) {,if (parameters[0].length() >= 0) {,225,
com/grahamedgecombe/jterminal/vt100/Vt100TerminalModel.java,107,RelationalOperatorReplacement,if (parameters[1].length() > 0) {,if (parameters[1].length() >= 0) {,226,
com/grahamedgecombe/jterminal/vt100/Vt100TerminalModel.java,122,RelationalOperatorReplacement,while(row < rows) {,while(row <= rows) {,229,
com/grahamedgecombe/jterminal/vt100/Vt100TerminalModel.java,123,RelationalOperatorReplacement,while(column < columns) {,while(column <= columns) {,230,
com/grahamedgecombe/jterminal/vt100/Vt100TerminalModel.java,133,RelationalOperatorReplacement,while(row >= 0) {,while(row > 0) {,232,
com/grahamedgecombe/jterminal/vt100/Vt100TerminalModel.java,134,RelationalOperatorReplacement,while(column >= 0) {,while(column > 0) {,233,
com/grahamedgecombe/jterminal/vt100/Vt100TerminalModel.java,151,RelationalOperatorReplacement,for (int row = cursorRow; row < rows; row++) {,for (int row = cursorRow; row <= rows; row++) {,237,
com/grahamedgecombe/jterminal/vt100/Vt100TerminalModel.java,155,RelationalOperatorReplacement,for (int row = cursorRow; row >= 0; row--) {,for (int row = cursorRow; row > 0; row--) {,239,
com/grahamedgecombe/jterminal/vt100/Vt100TerminalModel.java,159,RelationalOperatorReplacement,for (int column = 0; column < columns; column++) {,for (int column = 0; column <= columns; column++) {,241,
com/grahamedgecombe/jterminal/vt100/Vt100TerminalModel.java,220,RelationalOperatorReplacement,if (cursorColumn > 0) {,if (cursorColumn >= 0) {,247,
com/grahamedgecombe/jterminal/vt100/Vt100TerminalModel.java,229,RelationalOperatorReplacement,if (cursorColumn >= columns) {,if (cursorColumn > columns) {,248,
com/grahamedgecombe/jterminal/vt100/Vt100TerminalModel.java,234,RelationalOperatorReplacement,if (cursorRow >= bufferSize) {,if (cursorRow > bufferSize) {,249,
com/grahamedgecombe/jterminal/vt100/Vt100TerminalModel.java,235,RelationalOperatorReplacement,for (int i = 1; i < bufferSize; i++) {,for (int i = 1; i <= bufferSize; i++) {,250,
com/grahamedgecombe/jterminal/vt100/Vt100TerminalModel.java,238,RelationalOperatorReplacement,for (int i = 0; i < columns; i++) {,for (int i = 0; i <= columns; i++) {,251,
com/grahamedgecombe/jterminal/vt100/Vt100TerminalModel.java,382,RelationalOperatorReplacement,if (columns < 0 || rows < 0 || bufferSize < 0) {,if (columns <= 0 || rows < 0 || bufferSize < 0) {,252,
com/grahamedgecombe/jterminal/vt100/Vt100TerminalModel.java,382,RelationalOperatorReplacement,if (columns < 0 || rows < 0 || bufferSize < 0) {,if (columns < 0 || rows <= 0 || bufferSize < 0) {,253,
com/grahamedgecombe/jterminal/vt100/Vt100TerminalModel.java,382,RelationalOperatorReplacement,if (columns < 0 || rows < 0 || bufferSize < 0) {,if (columns < 0 || rows < 0 || bufferSize <= 0) {,254,
com/grahamedgecombe/jterminal/vt100/Vt100TerminalModel.java,385,RelationalOperatorReplacement,if (bufferSize < rows) {,if (bufferSize <= rows) {,255,
com/grahamedgecombe/jterminal/vt100/Vt100TerminalModel.java,408,RelationalOperatorReplacement,if (row < 0 || row >= bufferSize) {,if (row <= 0 || row >= bufferSize) {,256,
com/grahamedgecombe/jterminal/vt100/Vt100TerminalModel.java,408,RelationalOperatorReplacement,if (row < 0 || row >= bufferSize) {,if (row < 0 || row > bufferSize) {,257,
com/grahamedgecombe/jterminal/vt100/Vt100TerminalModel.java,421,RelationalOperatorReplacement,if (column < 0 || column >= columns) {,if (column <= 0 || column >= columns) {,258,
com/grahamedgecombe/jterminal/vt100/Vt100TerminalModel.java,421,RelationalOperatorReplacement,if (column < 0 || column >= columns) {,if (column < 0 || column > columns) {,259,
com/grahamedgecombe/jterminal/vt100/Vt100TerminalModel.java,429,RelationalOperatorReplacement,if (column < 0 || row < 0 || column >= columns || row >= bufferSize) {,if (column <= 0 || row < 0 || column >= columns || row >= bufferSize) {,260,
com/grahamedgecombe/jterminal/vt100/Vt100TerminalModel.java,429,RelationalOperatorReplacement,if (column < 0 || row < 0 || column >= columns || row >= bufferSize) {,if (column < 0 || row <= 0 || column >= columns || row >= bufferSize) {,261,
com/grahamedgecombe/jterminal/vt100/Vt100TerminalModel.java,429,RelationalOperatorReplacement,if (column < 0 || row < 0 || column >= columns || row >= bufferSize) {,if (column < 0 || row < 0 || column > columns || row >= bufferSize) {,262,
com/grahamedgecombe/jterminal/vt100/Vt100TerminalModel.java,429,RelationalOperatorReplacement,if (column < 0 || row < 0 || column >= columns || row >= bufferSize) {,if (column < 0 || row < 0 || column >= columns || row > bufferSize) {,263,
