file,line,operator,before,after,mutant_id,paper_category
com/grahamedgecombe/jterminal/AbstractTerminalModel.java,85,RelationalOperatorReplacement,if (cursorRow < 0) {,if (cursorRow >= 0) {,18,
com/grahamedgecombe/jterminal/AbstractTerminalModel.java,81,RelationalOperatorReplacement,if (n < 0) {,if (n >= 0) {,19,
com/grahamedgecombe/jterminal/AbstractTerminalModel.java,73,RelationalOperatorReplacement,if (cursorRow >= bufferSize) {,if (cursorRow < bufferSize) {,20,
com/grahamedgecombe/jterminal/AbstractTerminalModel.java,68,RelationalOperatorReplacement,if (n < 0) {,if (n >= 0) {,21,
com/grahamedgecombe/jterminal/AbstractTerminalModel.java,60,RelationalOperatorReplacement,if (cursorColumn >= columns) {,if (cursorColumn < columns) {,22,
com/grahamedgecombe/jterminal/AbstractTerminalModel.java,55,RelationalOperatorReplacement,if (n < 0) {,if (n >= 0) {,23,
com/grahamedgecombe/jterminal/AbstractTerminalModel.java,47,RelationalOperatorReplacement,if (cursorColumn < 0) {,if (cursorColumn >= 0) {,24,
com/grahamedgecombe/jterminal/AbstractTerminalModel.java,43,RelationalOperatorReplacement,if (n < 0) {,if (n >= 0) {,25,
com/grahamedgecombe/jterminal/AbstractTerminalModel.java,35,RelationalOperatorReplacement,for (int row = 0; row < rows; row++) {,for (int row = 0; row >= rows; row++) {,26,
com/grahamedgecombe/jterminal/AbstractTerminalModel.java,34,RelationalOperatorReplacement,for (int column = 0; column < columns; column++) {,for (int column = 0; column >= columns; column++) {,27,
com/grahamedgecombe/jterminal/JTerminal.java,167,RelationalOperatorReplacement,if (bufferSize > rows) {,if (bufferSize <= rows) {,45,
com/grahamedgecombe/jterminal/JTerminal.java,103,RelationalOperatorReplacement,for (int x = 0; x < width; x++) {,for (int x = 0; x >= width; x++) {,50,
com/grahamedgecombe/jterminal/JTerminal.java,102,RelationalOperatorReplacement,for (int y = start; y < height; y++) {,for (int y = start; y >= height; y++) {,51,
com/grahamedgecombe/jterminal/vt100/AnsiControlSequenceParser.java,136,RelationalOperatorReplacement,if ((character >= 'a' && character <= 'z') || (character >= 'A' && character <= 'Z')) {,if ((character >= 'a' && character <= 'z') || (character >= 'A' && character > 'Z')) {,21,
com/grahamedgecombe/jterminal/vt100/AnsiControlSequenceParser.java,136,RelationalOperatorReplacement,if ((character >= 'a' && character <= 'z') || (character >= 'A' && character <= 'Z')) {,if ((character >= 'a' && character <= 'z') || (character < 'A' && character <= 'Z')) {,22,
com/grahamedgecombe/jterminal/vt100/AnsiControlSequenceParser.java,136,RelationalOperatorReplacement,if ((character >= 'a' && character <= 'z') || (character >= 'A' && character <= 'Z')) {,if ((character >= 'a' && character > 'z') || (character >= 'A' && character <= 'Z')) {,23,
com/grahamedgecombe/jterminal/vt100/AnsiControlSequenceParser.java,136,RelationalOperatorReplacement,if ((character >= 'a' && character <= 'z') || (character >= 'A' && character <= 'Z')) {,if ((character < 'a' && character <= 'z') || (character >= 'A' && character <= 'Z')) {,24,
com/grahamedgecombe/jterminal/vt100/AnsiControlSequenceParser.java,121,RelationalOperatorReplacement,if (text.length() > 0) {,if (text.length() <= 0) {,26,
com/grahamedgecombe/jterminal/vt100/AnsiControlSequenceParser.java,113,RelationalOperatorReplacement,if (text.length() > 0) {,if (text.length() <= 0) {,27,
