file,line,operator,before,after,mutant_id,paper_category
com/example/Triangle.java,13,ArithmeticOperatorReplacementBinary,trian = trian + 1;,trian = trian - 1;,0,
com/example/Triangle.java,16,ArithmeticOperatorReplacementBinary,trian = trian + 2;,trian = trian - 2;,1,
com/example/Triangle.java,8,ConditionalOperatorReplacement,if ((a <= 0) || (b <= 0) || (c <= 0)) {,if ((a <= 0) || (b <= 0) && (c <= 0)) {,10,
com/example/Triangle.java,22,ConditionalOperatorReplacement,if (((a + b) < c) || ((a + c) < b) || ((b + c) < a)) {,if (((a + b) < c) && ((a + c) < b) || ((b + c) < a)) {,11,
com/example/Triangle.java,22,ConditionalOperatorReplacement,if (((a + b) < c) || ((a + c) < b) || ((b + c) < a)) {,if (((a + b) < c) || ((a + c) < b) && ((b + c) < a)) {,12,
com/example/Triangle.java,31,ConditionalOperatorReplacement,if ((trian == 1) && ((a + b) > c)) {,if ((trian == 1) || ((a + b) > c)) {,13,
com/example/Triangle.java,33,ConditionalOperatorReplacement,} else if ((trian == 2) && ((a + c) > b)) {,} else if ((trian == 2) || ((a + c) > b)) {,14,
com/example/Triangle.java,35,ConditionalOperatorReplacement,} else if ((trian == 3) && ((b + c) > a)) {,} else if ((trian == 3) || ((b + c) > a)) {,15,
com/example/Triangle.java,9,NullifyReturnValue,return TriangleType.INVALID;,return null;,16,
com/example/Triangle.java,23,NullifyReturnValue,return TriangleType.INVALID;,return null;,17,
com/example/Triangle.java,25,NullifyReturnValue,return TriangleType.SCALENE;,return null;,18,
com/example/Triangle.java,29,NullifyReturnValue,return TriangleType.EQUILATERAL;,return null;,19,
com/example/Triangle.java,19,ArithmeticOperatorReplacementBinary,trian = trian + 3;,trian = trian - 3;,2,
com/example/Triangle.java,32,NullifyReturnValue,return TriangleType.ISOSCELES;,return null;,20,
com/example/Triangle.java,34,NullifyReturnValue,return TriangleType.ISOSCELES;,return null;,21,
com/example/Triangle.java,36,NullifyReturnValue,return TriangleType.ISOSCELES;,return null;,22,
com/example/Triangle.java,38,NullifyReturnValue,return TriangleType.INVALID;,return null;,23,
com/example/Triangle.java,8,RelationalOperatorReplacement,if ((a <= 0) || (b <= 0) || (c <= 0)) {,if ((a < 0) || (b <= 0) || (c <= 0)) {,24,
com/example/Triangle.java,8,RelationalOperatorReplacement,if ((a <= 0) || (b <= 0) || (c <= 0)) {,if ((a <= 0) || (b < 0) || (c <= 0)) {,25,
com/example/Triangle.java,8,RelationalOperatorReplacement,if ((a <= 0) || (b <= 0) || (c <= 0)) {,if ((a <= 0) || (b <= 0) || (c < 0)) {,26,
com/example/Triangle.java,12,RelationalOperatorReplacement,if (a == b) {,if (a != b) {,27,
com/example/Triangle.java,15,RelationalOperatorReplacement,if (a == c) {,if (a != c) {,28,
com/example/Triangle.java,18,RelationalOperatorReplacement,if (b == c) {,if (b != c) {,29,
com/example/Triangle.java,22,ArithmeticOperatorReplacementBinary,if (((a + b) < c) || ((a + c) < b) || ((b + c) < a)) {,if (((a - b) < c) || ((a + c) < b) || ((b + c) < a)) {,3,
com/example/Triangle.java,21,RelationalOperatorReplacement,if (trian == 0) {,if (trian != 0) {,30,
com/example/Triangle.java,22,RelationalOperatorReplacement,if (((a + b) < c) || ((a + c) < b) || ((b + c) < a)) {,if (((a + b) <= c) || ((a + c) < b) || ((b + c) < a)) {,31,
